Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,132.89,135.78,132.68,135.13,3605400,0.0,0
2019-03-22,134.68,135.13,132.7,133.23,3877200,0.0,0
2019-03-25,132.85,133.67,132.18,132.97,2839800,0.0,0
2019-03-26,133.69,134.73,133.2,133.96,2553700,0.0,0
2019-03-27,134.14,134.22,132.22,133.03,3098200,0.0,0
2019-03-28,133.67,134.17,132.89,133.68,2663900,0.0,0
2019-03-29,134.23,134.92,133.9,134.8,3101400,0.0,0
2019-04-01,135.2,137.01,135.2,136.91,3984300,0.0,0
2019-04-02,136.95,137.53,136.24,136.62,2404800,0.0,0
2019-04-03,137.24,137.78,136.63,137.22,2681200,0.0,0
2019-04-04,137.21,137.71,136.18,136.41,2771100,0.0,0
2019-04-05,136.9,137.1,136.1,136.89,2731800,0.0,0
2019-04-08,136.64,137.02,136.49,136.99,2118200,0.0,0
2019-04-09,136.29,136.57,135.51,135.77,3038500,0.0,0
2019-04-10,135.85,137.1,135.64,136.64,2678000,0.0,0
2019-04-11,137.38,137.68,136.65,137.36,2942000,0.0,0
2019-04-12,137.82,137.99,137.29,137.91,2898900,0.0,0
2019-04-15,137.96,138.01,136.88,137.48,3603200,0.0,0
2019-04-16,137.96,138.9,137.59,138.66,6301700,0.0,0
2019-04-17,131.24,135.64,130.18,132.9,12525700,0.0,0
2019-04-18,132.8,134.22,132.51,134.07,4960000,0.0,0
2019-04-22,133.2,134.29,132.3,132.69,4494000,0.0,0
2019-04-23,132.94,134.63,132.74,134.17,4462200,0.0,0
2019-04-24,134.33,135.0,133.54,133.7,2774900,0.0,0
2019-04-25,133.47,133.51,131.56,132.44,2910100,0.0,0
2019-04-26,133.12,133.65,132.62,133.22,2319800,0.0,0
2019-04-29,132.94,133.4,132.62,132.84,2958300,0.0,0
2019-04-30,132.9,134.17,132.49,134.01,4638800,0.0,0
2019-05-01,134.28,135.48,133.91,134.29,3053700,0.0,0
2019-05-02,134.23,134.98,133.19,133.36,3541400,0.0,0
2019-05-03,133.47,134.71,133.4,133.99,2579900,0.0,0
2019-05-06,132.13,134.41,131.75,134.12,2793300,0.0,0
2019-05-07,132.94,133.28,130.11,131.5,4726800,0.0,0
2019-05-08,131.62,132.51,131.01,131.84,3818900,0.0,0
2019-05-09,130.4,131.07,128.6,130.84,4192700,1.62,0
2019-05-10,130.39,131.23,128.01,130.82,3977600,0.0,0
2019-05-13,128.84,129.13,126.6,127.05,4958000,0.0,0
2019-05-14,127.43,129.85,127.3,128.87,3280400,0.0,0
2019-05-15,128.18,130.11,127.97,129.93,2551000,0.0,0
