Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,121.58,124.47,120.97,123.61,1671300,0.0,0
2019-03-22,123.26,123.72,121.81,122.59,1167200,0.73,0
2019-03-25,121.8,122.53,120.57,121.63,1104200,0.0,0
2019-03-26,122.3,123.71,122.28,123.21,880600,0.0,0
2019-03-27,123.21,125.33,122.97,124.68,1210400,0.0,0
2019-03-28,125.36,127.71,125.25,127.52,1312600,0.0,0
2019-03-29,127.68,127.86,125.68,126.62,985400,0.0,0
2019-04-01,127.47,128.68,126.99,128.61,744300,0.0,0
2019-04-02,128.79,129.87,127.77,128.33,929500,0.0,0
2019-04-03,129.14,129.14,127.93,128.56,774600,0.0,0
2019-04-04,128.93,130.62,128.71,129.64,1014000,0.0,0
2019-04-05,129.96,130.49,129.28,129.99,693300,0.0,0
2019-04-08,129.99,130.12,128.96,129.73,534100,0.0,0
2019-04-09,128.54,129.84,128.09,128.98,915000,0.0,0
2019-04-10,129.5,129.5,127.06,128.29,962500,0.0,0
2019-04-11,128.27,129.16,127.86,128.93,821700,0.0,0
2019-04-12,129.42,131.47,129.06,131.26,1346800,0.0,0
2019-04-15,131.74,132.17,131.4,131.74,1402300,0.0,0
2019-04-16,132.52,133.09,130.84,133.06,1144600,0.0,0
2019-04-17,134.06,134.06,132.36,132.69,633700,0.0,0
2019-04-18,132.43,133.76,132.27,133.71,890800,0.0,0
2019-04-22,133.04,133.78,132.59,132.97,475500,0.0,0
2019-04-23,133.02,135.38,133.02,134.08,714100,0.0,0
2019-04-24,134.1,134.82,133.26,133.99,583300,0.0,0
2019-04-25,133.63,134.29,132.75,134.13,750400,0.0,0
2019-04-26,134.34,135.88,134.07,135.25,548000,0.0,0
2019-04-29,135.56,135.6,134.48,135.09,499100,0.0,0
2019-04-30,135.41,136.18,134.48,135.47,734200,0.0,0
2019-05-01,135.52,136.39,134.45,135.5,726400,0.0,0
2019-05-02,135.31,136.37,134.45,136.31,1024800,0.0,0
2019-05-03,136.58,138.3,136.13,137.55,1239700,0.0,0
2019-05-06,134.59,135.67,134.18,135.4,1263900,0.0,0
2019-05-07,136.43,140.47,131.53,132.73,2636600,0.0,0
2019-05-08,132.25,133.34,131.01,132.87,1870400,0.0,0
2019-05-09,132.82,134.04,132.09,133.72,952000,0.0,0
2019-05-10,133.46,134.48,131.76,133.84,676100,0.0,0
2019-05-13,131.44,132.64,130.9,132.21,1198900,0.0,0
2019-05-14,132.31,134.95,132.31,133.72,1197700,0.0,0
2019-05-15,133.09,133.58,132.46,133.31,878300,0.0,0
2019-05-16,133.76,135.93,133.02,134.65,1013300,0.0,0
2019-05-17,133.53,135.07,133.26,134.37,573900,0.0,0
2019-05-20,133.5,134.08,132.12,132.52,851800,0.0,0
2019-05-21,132.79,133.52,132.17,132.53,570900,0.0,0
2019-05-22,132.71,133.92,132.47,133.61,521200,0.0,0
2019-05-23,132.48,133.88,132.17,133.26,536400,0.0,0
2019-05-24,133.93,134.22,131.61,132.44,770300,0.0,0
2019-05-28,132.37,133.98,132.31,132.31,1360400,0.0,0
2019-05-29,131.85,132.46,131.35,132.11,515700,0.0,0
2019-05-30,131.93,133.42,131.93,132.89,422700,0.0,0
2019-05-31,132.27,133.82,131.27,133.14,640800,0.0,0
2019-06-03,132.62,137.1,132.62,136.78,1068400,0.0,0
2019-06-04,138.09,141.03,137.3,141.03,1196900,0.0,0
2019-06-05,139.79,140.16,131.89,138.77,2242400,0.0,0
2019-06-06,139.26,146.35,139.05,146.02,1681300,0.0,0
2019-06-07,146.49,150.37,146.47,148.77,1338600,0.0,0
2019-06-10,149.13,149.13,147.0,148.78,640400,0.0,0
2019-06-11,149.83,150.02,148.76,149.59,1016500,0.0,0
2019-06-12,149.02,150.01,148.21,149.05,744600,0.0,0
2019-06-13,149.23,150.19,146.29,147.38,1007000,0.0,0
2019-06-14,147.51,147.69,145.76,146.28,955200,0.0,0
2019-06-17,146.28,146.6,144.59,145.07,1071100,0.0,0
2019-06-18,145.64,147.35,144.77,145.34,1162800,0.0,0
2019-06-19,145.51,146.58,143.94,146.44,971600,0.0,0
2019-06-20,147.47,148.48,146.49,148.18,846000,0.0,0
2019-06-21,147.82,147.82,143.73,143.91,1400700,0.73,0
2019-06-24,143.61,145.44,143.2,144.86,864800,0.0,0
2019-06-25,144.74,146.25,143.86,145.76,730700,0.0,0
2019-06-26,145.97,146.31,142.97,143.2,843600,0.0,0
2019-06-27,142.26,142.59,141.27,141.84,721300,0.0,0
2019-06-28,142.15,143.74,140.3,143.34,1904400,0.0,0
2019-07-01,144.82,145.4,140.69,142.15,998100,0.0,0
2019-07-02,142.02,142.49,140.29,141.06,830600,0.0,0
2019-07-03,141.42,144.38,141.24,144.27,651300,0.0,0
2019-07-05,143.25,143.72,142.01,143.37,806600,0.0,0
2019-07-08,143.11,143.25,140.82,141.02,581100,0.0,0
2019-07-09,140.3,140.86,139.56,140.29,702300,0.0,0
2019-07-10,141.36,141.78,139.82,140.82,829200,0.0,0
2019-07-11,140.41,140.98,139.2,140.96,506100,0.0,0
2019-07-12,141.3,141.93,140.89,141.53,403300,0.0,0
2019-07-15,141.75,143.01,141.46,142.99,432100,0.0,0
2019-07-16,142.94,144.17,142.76,143.06,605700,0.0,0
2019-07-17,142.98,143.38,140.77,141.36,467400,0.0,0
2019-07-18,140.79,142.22,138.91,141.37,791200,0.0,0
2019-07-19,141.93,142.06,140.45,140.71,467400,0.0,0
2019-07-22,141.27,141.5,140.1,140.36,451300,0.0,0
2019-07-23,141.0,143.49,139.51,143.43,682400,0.0,0
2019-07-24,143.74,144.88,143.39,144.2,524900,0.0,0
2019-07-25,144.2,144.52,143.24,143.78,752000,0.0,0
2019-07-26,143.84,144.59,142.49,144.55,447900,0.0,0
2019-07-29,144.66,144.69,141.54,142.18,452300,0.0,0
2019-07-30,142.03,144.06,141.06,144.04,520900,0.0,0
2019-07-31,143.97,145.42,140.82,142.25,512800,0.0,0
2019-08-01,142.28,143.7,140.57,141.37,823500,0.0,0
2019-08-02,141.3,142.63,140.14,142.09,821400,0.0,0
2019-08-05,140.77,141.61,138.61,139.76,1364600,0.0,0
2019-08-06,123.2,128.43,116.83,117.48,6584200,0.0,0
2019-08-07,115.88,120.81,115.46,120.08,4506700,0.0,0
2019-08-08,120.03,124.73,119.58,120.58,3173300,0.0,0
2019-08-09,120.92,122.04,119.81,121.06,1217100,0.0,0
2019-08-12,121.31,121.31,117.91,118.63,1272000,0.0,0
2019-08-13,119.61,119.75,117.05,117.28,1214100,0.0,0
2019-08-14,115.7,116.08,110.93,111.64,1775900,0.0,0
2019-08-15,112.09,112.43,108.31,109.28,1936100,0.0,0
2019-08-16,109.29,111.87,109.26,111.42,1115700,0.0,0
2019-08-19,112.0,112.37,111.28,111.78,841100,0.0,0
