Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,252.72,258.76,252.72,258.67,1177000,0.0,0
2019-03-22,256.43,257.7,250.58,250.79,1544900,0.0,0
2019-03-25,250.47,252.21,248.84,251.93,1525900,0.0,0
2019-03-26,253.75,255.58,252.38,254.07,916900,0.0,0
2019-03-27,255.79,256.33,251.23,253.47,966800,0.0,0
2019-03-28,254.63,257.8,253.27,257.28,1285900,0.0,0
2019-03-29,258.29,259.67,257.04,259.45,1418300,0.0,0
2019-04-01,262.54,264.33,259.36,263.76,1245700,0.0,0
2019-04-02,267.11,267.16,262.84,266.25,1255800,0.0,0
2019-04-03,268.21,270.1,266.41,267.07,1957100,0.0,0
2019-04-04,267.33,267.91,256.67,260.66,1945600,0.0,0
2019-04-05,261.45,262.68,259.04,259.74,1119800,0.0,0
2019-04-08,259.84,260.31,255.69,258.81,1630400,0.0,0
2019-04-09,256.95,259.72,256.95,257.43,1019900,0.47,0
2019-04-10,258.44,259.51,256.26,257.61,2061500,0.0,0
2019-04-11,259.25,259.25,257.24,258.11,1329700,0.0,0
2019-04-12,259.44,260.35,256.82,258.58,2117700,0.0,0
2019-04-15,259.01,260.06,258.21,259.39,1595600,0.0,0
2019-04-16,260.31,260.62,254.68,256.52,1043400,0.0,0
2019-04-17,258.24,258.57,253.7,254.81,1803700,0.0,0
2019-04-18,256.75,256.75,253.15,256.3,1370900,0.0,0
2019-04-22,254.65,260.27,254.37,260.1,1068900,0.0,0
2019-04-23,260.53,264.9,260.53,264.17,1520400,0.0,0
2019-04-24,264.89,265.82,262.36,262.54,1025900,0.0,0
2019-04-25,262.51,262.88,258.96,262.34,987200,0.0,0
2019-04-26,245.02,252.41,236.94,252.14,5424300,0.0,0
2019-04-29,251.33,253.75,244.69,246.32,2419500,0.0,0
2019-04-30,246.97,250.28,246.27,249.63,1480900,0.0,0
2019-05-01,251.05,251.23,242.18,242.46,1372100,0.0,0
2019-05-02,242.21,246.49,241.73,244.55,1463400,0.0,0
2019-05-03,244.71,248.76,244.64,247.44,1202900,0.0,0
2019-05-06,242.62,247.52,242.14,247.06,854900,0.0,0
2019-05-07,243.6,245.62,240.23,243.02,1439500,0.0,0
2019-05-08,242.03,244.55,240.54,242.73,2088900,0.0,0
2019-05-09,240.41,241.74,236.37,239.93,1646300,0.0,0
2019-05-10,239.19,244.2,236.31,243.24,1407800,0.0,0
2019-05-13,236.58,239.74,234.69,235.58,1256400,0.0,0
2019-05-14,237.05,241.96,236.74,239.62,1704800,0.0,0
2019-05-15,238.2,243.0,237.68,241.76,985600,0.0,0
2019-05-16,242.61,247.99,242.61,246.14,1044500,0.0,0
2019-05-17,244.2,248.34,243.73,244.05,1294000,0.0,0
2019-05-20,241.29,243.92,239.26,242.3,957400,0.0,0
2019-05-21,244.36,245.73,242.66,244.68,979300,0.0,0
2019-05-22,243.43,246.69,243.43,246.12,865500,0.0,0
2019-05-23,243.68,245.24,238.77,239.94,1552100,0.0,0
2019-05-24,249.81,256.93,247.23,256.01,2702600,0.0,0
2019-05-28,254.94,257.78,252.72,254.24,3059700,0.0,0
2019-05-29,252.51,254.11,247.16,248.2,1674900,0.0,0
2019-05-30,248.58,250.06,244.46,246.67,1154700,0.0,0
2019-05-31,243.8,245.26,242.2,243.46,1362000,0.0,0
2019-06-03,243.8,247.14,235.4,236.71,1638600,0.0,0
2019-06-04,239.68,245.9,236.43,245.69,1664300,0.0,0
2019-06-05,247.99,251.04,246.9,250.68,1130100,0.0,0
2019-06-06,251.4,252.93,248.69,251.76,1055600,0.0,0
2019-06-07,252.58,259.12,252.36,256.0,1222000,0.0,0
2019-06-10,258.38,262.47,257.75,259.04,1157400,0.0,0
2019-06-11,261.3,262.5,253.5,255.27,1209400,0.0,0
2019-06-12,255.26,257.33,254.18,255.92,825900,0.0,0
2019-06-13,257.34,257.92,254.52,255.73,1756100,0.0,0
2019-06-14,254.91,255.87,252.5,252.68,1234200,0.0,0
2019-06-17,252.58,254.78,251.91,253.29,1282100,0.0,0
2019-06-18,255.84,257.87,254.69,256.75,1216300,0.0,0
2019-06-19,257.81,261.89,256.58,261.15,1032800,0.0,0
2019-06-20,264.29,266.9,262.49,265.14,1750600,0.0,0
2019-06-21,266.31,266.54,259.98,260.02,1856900,0.0,0
2019-06-24,261.57,262.62,259.88,260.85,1188500,0.0,0
2019-06-25,261.2,261.2,255.19,256.02,1015400,0.0,0
2019-06-26,257.81,259.01,254.92,255.04,1293500,0.0,0
2019-06-27,256.19,257.72,254.65,256.52,1459600,0.0,0
2019-06-28,256.63,260.52,256.28,259.84,1478900,0.0,0
2019-07-01,264.51,265.46,261.87,262.7,973100,0.0,0
2019-07-02,263.65,264.84,261.2,264.81,720200,0.0,0
2019-07-03,266.37,269.23,264.26,268.63,774700,0.0,0
2019-07-05,267.47,269.29,263.69,269.0,894800,0.0,0
2019-07-08,267.93,269.76,266.26,269.59,863800,0.0,0
2019-07-09,268.85,269.79,267.79,269.61,1135500,0.47,0
2019-07-10,271.98,274.82,271.62,273.72,1132200,0.0,0
2019-07-11,274.85,277.69,273.08,277.12,1867300,0.0,0
2019-07-12,277.3,280.72,277.13,280.53,1199700,0.0,0
2019-07-15,280.88,281.64,278.89,281.43,990800,0.0,0
2019-07-16,280.38,281.83,279.54,279.77,1156000,0.0,0
2019-07-17,279.79,281.25,279.0,279.52,797100,0.0,0
2019-07-18,278.87,281.91,277.92,281.76,1224000,0.0,0
2019-07-19,283.42,283.42,277.53,278.21,1599100,0.0,0
2019-07-22,279.3,281.37,278.06,280.03,723400,0.0,0
