Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,42.94,43.74,42.86,43.63,3309900,0.0,0
2019-03-22,43.45,43.56,42.3,42.34,2970700,0.0,0
2019-03-25,41.93,42.82,41.69,42.3,2311300,0.0,0
2019-03-26,42.71,43.15,42.6,43.11,2026500,0.0,0
2019-03-27,43.3,43.66,43.05,43.33,2187400,0.0,0
2019-03-28,43.44,43.9,43.35,43.87,2042200,0.0,0
2019-03-29,44.08,44.34,43.46,44.12,2223000,0.0,0
2019-04-01,44.35,45.5,44.24,45.44,3150200,0.0,0
2019-04-02,45.44,45.51,44.74,44.94,1979500,0.0,0
2019-04-03,45.33,45.74,45.09,45.49,2937300,0.0,0
2019-04-04,45.33,45.33,44.4,45.12,2409200,0.0,0
2019-04-05,44.36,45.48,44.03,45.17,2848700,0.0,0
2019-04-08,45.17,45.33,44.89,45.16,1508000,0.0,0
2019-04-09,44.92,45.04,44.52,44.94,1853200,0.0,0
2019-04-10,44.77,45.1,44.35,44.75,1898600,0.0,0
2019-04-11,44.95,45.53,44.74,44.88,2157700,0.0,0
2019-04-12,45.26,45.74,45.23,45.55,1911500,0.0,0
2019-04-15,45.47,45.71,44.82,44.9,2449900,0.0,0
2019-04-16,42.87,43.29,41.84,42.83,9640500,0.0,0
2019-04-17,42.94,43.01,41.65,41.92,4220600,0.0,0
2019-04-18,41.9,42.57,41.89,42.37,2522800,0.0,0
2019-04-22,42.99,43.63,42.0,42.14,2878100,0.0,0
2019-04-23,42.14,42.86,41.74,42.62,3345300,0.0,0
2019-04-24,42.42,42.84,42.23,42.24,3182900,0.0,0
2019-04-25,43.15,44.32,42.17,43.42,5155900,0.0,0
2019-04-26,43.63,44.27,43.35,43.86,2820900,0.0,0
2019-04-29,44.01,44.49,43.78,44.33,2444600,0.0,0
2019-04-30,44.33,44.94,43.78,44.64,4122300,0.0,0
2019-05-01,44.63,44.81,43.71,43.89,2723900,0.0,0
2019-05-02,43.9,44.58,43.68,44.19,2142000,0.0,0
2019-05-03,44.34,45.27,44.29,44.92,2556200,0.0,0
2019-05-06,44.07,44.6,43.89,44.4,2113600,0.0,0
2019-05-07,43.95,44.04,43.44,43.89,2864700,0.0,0
2019-05-08,43.69,43.91,43.46,43.5,1908800,0.0,0
2019-05-09,43.01,43.83,42.6,43.59,2276000,0.0,0
2019-05-10,43.37,43.7,42.8,43.53,2131000,0.0,0
2019-05-13,42.67,42.74,41.71,42.11,3711200,0.0,0
2019-05-14,42.3,43.14,42.24,42.67,2390700,0.0,0
2019-05-15,42.34,43.03,42.15,42.74,2780000,0.0,0
2019-05-16,42.9,43.77,42.88,43.26,2656200,0.0,0
2019-05-17,42.91,43.23,42.48,42.98,2125900,0.0,0
2019-05-20,41.9,42.03,41.05,41.2,3760800,0.0,0
2019-05-21,41.36,42.61,41.36,42.45,3612900,0.0,0
