Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,20.9,21.16,20.87,20.96,5621400,0.0,0
2019-03-22,20.82,20.96,20.1,20.2,6303800,0.0,0
2019-03-25,20.14,20.51,19.87,20.04,5358400,0.0,0
2019-03-26,20.04,20.17,19.7,19.87,5859300,0.0,0
2019-03-27,20.03,20.24,19.96,20.09,5495600,0.0,0
2019-03-28,20.1,20.34,19.98,20.01,5372300,0.0,0
2019-03-29,20.09,20.11,19.89,20.08,4350300,0.0,0
2019-04-01,20.28,20.67,20.13,20.24,3183800,0.0,0
2019-04-02,20.3,20.32,20.05,20.08,3074200,0.0,0
2019-04-03,20.14,20.42,19.98,20.14,6416000,0.0,0
2019-04-04,20.19,20.59,20.08,20.3,3113400,0.0,0
2019-04-05,20.42,20.71,20.35,20.58,3943400,0.0,0
2019-04-08,20.54,20.64,20.34,20.57,2349400,0.0,0
2019-04-09,20.55,20.74,20.4,20.61,3333700,0.0,0
2019-04-10,20.6,20.82,20.54,20.66,2458400,0.0,0
2019-04-11,20.74,21.1,20.74,20.91,3379900,0.0,0
2019-04-12,20.99,21.02,20.75,20.83,3183900,0.0,0
2019-04-15,20.88,20.99,20.54,20.97,3431000,0.0,0
2019-04-16,21.18,21.7,21.18,21.32,5682200,0.0,0
2019-04-17,21.38,21.56,21.23,21.52,4068600,0.0,0
2019-04-18,21.6,21.95,21.58,21.65,4326000,0.0,0
2019-04-22,21.54,21.59,21.37,21.47,2715400,0.0,0
2019-04-23,21.52,21.66,21.42,21.49,3408600,0.0,0
2019-04-24,21.47,21.67,21.34,21.55,3520500,0.0,0
2019-04-25,21.47,21.54,21.23,21.3,4154600,0.0,0
2019-04-26,21.99,22.62,21.76,22.42,4845500,0.0,0
2019-04-29,22.62,22.85,22.43,22.47,5210300,0.0,0
2019-04-30,22.1,22.41,21.83,21.99,5420900,0.0,0
2019-05-01,22.0,22.33,21.96,22.06,3557800,0.0,0
2019-05-02,22.14,22.14,21.6,21.86,3284300,0.0,0
2019-05-03,22.16,22.43,22.0,22.07,3288400,0.0,0
2019-05-06,21.78,22.29,21.76,22.26,2082300,0.0,0
2019-05-07,22.01,22.12,21.5,21.78,3611500,0.0,0
2019-05-08,21.81,22.29,21.69,22.27,3266700,0.0,0
2019-05-09,22.05,22.18,21.85,21.93,4178100,0.0,0
2019-05-10,21.89,22.09,21.6,22.06,2821900,0.0,0
2019-05-13,21.67,21.79,21.33,21.37,2479200,0.0,0
2019-05-14,21.44,21.58,21.38,21.4,1963700,0.0,0
2019-05-15,21.33,21.67,21.2,21.59,2266500,0.0,0
2019-05-16,21.58,21.76,21.44,21.48,1672000,0.0,0
2019-05-17,21.28,21.78,21.16,21.54,2401600,0.0,0
2019-05-20,21.38,21.51,21.16,21.24,1902100,0.0,0
2019-05-21,21.4,21.69,21.37,21.63,2455400,0.0,0
2019-05-22,21.61,21.67,21.49,21.61,2215300,0.0,0
2019-05-23,21.38,21.38,20.85,21.27,2754400,0.0,0
2019-05-24,21.41,21.42,21.09,21.13,1427400,0.0,0
2019-05-28,21.13,21.28,20.97,21.0,3578600,0.0,0
2019-05-29,20.92,20.95,20.7,20.74,2030700,0.0,0
2019-05-30,20.78,20.93,20.52,20.6,2498200,0.0,0
2019-05-31,20.43,20.71,20.34,20.51,4002700,0.235,0
2019-06-03,20.54,20.81,20.44,20.75,2835200,0.0,0
2019-06-04,21.01,21.12,20.75,20.92,3238900,0.0,0
