Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,133.13,136.58,132.78,136.36,464300,0.0,0
2019-03-22,136.12,136.32,134.2,134.28,333600,0.0,0
2019-03-25,133.79,134.22,133.33,133.7,340700,0.0,0
2019-03-26,134.62,135.89,134.39,135.65,338200,0.0,0
2019-03-27,135.75,136.49,134.83,136.1,260600,0.0,0
2019-03-28,136.59,137.1,136.09,136.65,348800,0.0,0
2019-03-29,137.66,137.71,136.56,137.22,367000,0.0,0
2019-04-01,137.81,138.91,137.13,138.8,349600,0.0,0
2019-04-02,138.77,140.45,137.83,140.22,495600,0.0,0
2019-04-03,140.64,141.6,139.95,141.02,495000,0.0,0
2019-04-04,141.16,141.68,139.72,140.19,398000,0.0,0
2019-04-05,140.44,141.15,139.94,140.39,310500,0.0,0
2019-04-08,140.17,140.17,138.87,139.82,276100,0.0,0
2019-04-09,139.05,140.18,139.05,139.65,264500,0.0,0
2019-04-10,139.72,141.04,139.49,140.5,318600,0.0,0
2019-04-11,141.04,141.64,140.32,141.56,331700,0.0,0
2019-04-12,141.99,142.59,141.42,142.54,431200,0.0,0
2019-04-15,142.52,143.4,141.96,142.48,476400,0.0,0
2019-04-16,142.72,142.81,141.84,142.26,321000,0.0,0
2019-04-17,142.61,142.62,141.95,142.25,305700,0.0,0
2019-04-18,142.2,142.2,141.14,141.92,266200,0.0,0
2019-04-22,141.44,143.03,140.84,142.91,213000,0.0,0
2019-04-23,143.29,144.94,142.74,144.76,437100,0.0,0
2019-04-24,145.15,145.96,144.63,145.23,437800,0.0,0
2019-04-25,145.25,145.88,144.37,145.68,271100,0.0,0
2019-04-26,145.71,146.51,145.28,146.51,302200,0.0,0
2019-04-29,146.61,147.17,146.03,146.99,344900,0.0,0
2019-04-30,147.36,149.13,146.6,147.42,470600,0.0,0
2019-05-01,143.8,144.83,137.69,139.15,1204500,0.0,0
2019-05-02,138.79,140.1,136.87,137.29,764300,0.0,0
2019-05-03,137.96,137.96,135.25,136.07,568600,0.0,0
2019-05-06,134.53,136.58,134.53,136.42,292700,0.0,0
2019-05-07,135.48,136.08,132.93,133.53,652800,0.0,0
2019-05-08,133.31,133.84,132.34,132.93,432800,0.0,0
2019-05-09,131.91,132.81,130.47,132.44,418700,0.0,0
2019-05-10,131.85,133.51,130.41,133.29,289400,0.0,0
2019-05-13,131.6,133.04,131.01,131.49,595400,0.0,0
2019-05-14,132.28,134.59,132.06,133.73,555600,0.0,0
2019-05-15,132.92,134.28,132.92,133.35,438800,0.0,0
2019-05-16,133.72,135.45,133.63,134.61,407800,0.0,0
2019-05-17,133.55,135.21,133.28,134.26,404400,0.0,0
2019-05-20,133.33,134.9,132.79,134.19,368000,0.0,0
2019-05-21,134.8,136.06,134.74,135.19,407200,0.0,0
2019-05-22,135.14,136.13,134.17,134.55,363100,0.4,0
2019-05-23,133.5,134.58,130.83,131.21,403700,0.0,0
2019-05-24,132.33,133.56,130.85,131.42,348700,0.0,0
2019-05-28,131.93,132.87,129.8,129.9,525700,0.0,0
2019-05-29,129.79,130.5,128.18,130.38,375500,0.0,0
2019-05-30,130.52,131.47,129.7,131.15,256400,0.0,0
2019-05-31,130.44,131.38,129.42,130.16,376900,0.0,0
2019-06-03,130.39,130.54,128.77,129.64,444000,0.0,0
2019-06-04,130.92,131.63,129.16,131.6,284700,0.0,0
2019-06-05,132.46,133.49,131.31,132.52,346000,0.0,0
2019-06-06,132.27,132.56,131.59,132.3,250300,0.0,0
2019-06-07,132.98,134.96,132.98,134.3,258600,0.0,0
2019-06-10,135.13,136.22,134.88,135.81,210200,0.0,0
2019-06-11,136.37,136.82,134.62,135.69,214000,0.0,0
2019-06-12,135.81,137.77,135.03,137.47,288900,0.0,0
2019-06-13,137.99,138.22,136.18,136.86,405200,0.0,0
2019-06-14,136.74,137.36,136.33,136.7,200000,0.0,0
2019-06-17,137.26,138.12,135.83,135.98,203200,0.0,0
2019-06-18,137.42,137.42,135.21,136.23,453700,0.0,0
2019-06-19,136.77,137.23,135.49,137.07,423700,0.0,0
