Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,133.28,135.01,133.23,134.35,5765100,0.0,0
2019-03-22,134.01,134.63,133.14,133.19,6528800,0.0,0
2019-03-25,133.19,133.29,132.05,132.9,4500300,0.0,0
2019-03-26,133.21,135.49,133.21,134.81,4758600,0.0,0
2019-03-27,134.82,135.69,134.32,134.93,6764900,0.0,0
2019-03-28,135.28,135.67,134.94,135.11,4602100,0.0,0
2019-03-29,135.5,136.08,135.11,135.99,7168400,0.0,0
2019-04-01,136.19,136.48,134.97,135.2,5885200,0.0,0
2019-04-02,135.23,135.23,133.19,133.97,5517800,0.0,0
2019-04-03,134.45,134.48,133.15,133.44,5947000,0.0,0
2019-04-04,133.15,133.29,131.46,131.89,5844600,0.0,0
2019-04-05,132.34,132.87,132.01,132.48,4759700,0.0,0
2019-04-08,132.35,132.8,132.01,132.44,4329600,0.0,0
2019-04-09,132.3,132.56,130.9,131.89,5210300,0.0,0
2019-04-10,132.2,132.43,131.65,131.9,4194100,0.0,0
2019-04-11,132.27,132.48,130.77,131.54,4485200,0.0,0
2019-04-12,131.55,132.65,131.09,132.29,5756800,0.0,0
2019-04-15,132.3,133.07,132.11,132.81,5380900,0.0,0
2019-04-16,134.56,136.88,133.82,134.27,10745700,0.0,0
2019-04-17,135.22,136.34,133.93,134.76,9543700,0.0,0
2019-04-18,135.56,136.43,132.06,133.78,10485300,0.0,0
2019-04-22,133.26,134.73,132.75,134.09,4666500,0.0,0
2019-04-23,133.69,137.02,133.52,136.1,5790500,0.0,0
2019-04-24,135.86,136.33,135.09,135.42,5676300,0.0,0
2019-04-25,134.76,135.97,134.21,135.86,5218100,0.0,0
2019-04-26,136.08,136.7,135.53,136.58,4613600,0.0,0
2019-04-29,136.54,136.61,135.79,136.04,4275200,0.0,0
2019-04-30,136.38,137.61,135.18,137.36,6003700,0.0,0
2019-05-01,137.12,138.48,135.95,138.09,6656300,0.0,0
2019-05-02,138.05,138.29,136.31,137.44,8835600,0.0,0
2019-05-03,137.45,138.23,137.25,138.15,5281600,0.0,0
2019-05-06,136.44,138.38,136.13,138.23,5818900,0.0,0
2019-05-07,136.99,137.54,135.28,136.17,6606700,0.0,0
