Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,25.4,26.04,25.39,25.92,3034000,0.0,0
2019-03-22,25.75,26.01,25.48,25.48,3661900,0.0,0
2019-03-25,25.38,25.5,24.99,25.12,2252700,0.0,0
2019-03-26,25.22,25.41,25.02,25.25,2696800,0.0,0
2019-03-27,25.25,25.51,24.37,25.11,2347100,0.0,0
2019-03-28,25.21,25.4,25.08,25.15,1881000,0.0,0
2019-03-29,25.37,25.66,25.33,25.62,2496200,0.0,0
2019-04-01,25.96,26.37,25.9,26.33,4279900,0.0,0
2019-04-02,26.38,26.6,26.13,26.26,3234300,0.0,0
2019-04-03,26.47,26.58,26.24,26.37,4246900,0.0,0
2019-04-04,26.42,26.48,25.94,26.06,1981600,0.0,0
2019-04-05,25.93,26.29,25.82,26.16,2407400,0.0,0
2019-04-08,26.17,26.48,25.97,26.46,2602900,0.0,0
2019-04-09,26.25,26.37,26.03,26.32,2641200,0.0,0
2019-04-10,26.39,26.66,26.26,26.61,2372300,0.0,0
2019-04-11,26.66,26.72,26.5,26.63,1413900,0.0,0
2019-04-12,26.78,26.93,26.68,26.91,1643300,0.0,0
2019-04-15,26.95,27.05,26.6,26.72,2653800,0.0,0
2019-04-16,26.74,27.14,26.7,27.03,2194600,0.0,0
2019-04-17,27.14,27.23,26.93,27.0,2892500,0.0,0
2019-04-18,26.96,27.2,26.93,27.11,3035500,0.0,0
2019-04-22,27.09,27.14,26.91,27.02,2533600,0.0,0
2019-04-23,27.07,27.49,27.04,27.45,3260400,0.0,0
2019-04-24,27.41,27.85,27.34,27.8,4462200,0.0,0
2019-04-25,27.65,27.71,27.19,27.21,6776600,0.0,0
2019-04-26,26.96,27.35,26.31,26.37,6766600,0.0,0
2019-04-29,26.3,27.31,26.28,27.04,4031500,0.0,0
2019-04-30,27.03,27.04,26.42,26.88,3411100,0.0,0
2019-05-01,26.97,27.27,26.73,26.9,3461200,0.0,0
2019-05-02,26.87,27.09,26.51,26.98,4435000,0.0,0
2019-05-03,26.67,27.03,26.67,26.76,3050500,0.0,0
2019-05-06,26.23,26.42,26.05,26.36,2417000,0.0,0
2019-05-07,26.05,26.16,25.56,25.82,2744900,0.0,0
2019-05-08,25.81,26.08,25.54,25.82,4625000,0.0,0
2019-05-09,25.55,25.59,25.14,25.58,3860400,0.0,0
2019-05-10,25.43,25.65,25.04,25.56,3268100,0.0,0
2019-05-13,24.99,25.02,24.5,24.63,6270400,0.0,0
2019-05-14,24.75,24.95,24.66,24.67,2457500,0.0,0
