Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,100.53,100.53,99.35,99.92,19751000,0.0,0
2019-03-22,98.9,99.39,96.67,96.9,31115200,0.0,0
2019-03-25,96.74,97.69,95.28,96.1,21032300,0.0,0
2019-03-26,96.96,97.52,95.99,97.06,15987100,0.0,0
2019-03-27,97.02,97.57,96.24,96.73,12753200,0.0,0
2019-03-28,97.14,97.91,96.88,97.83,12454100,0.0,0
2019-03-29,98.63,99.07,97.71,98.33,14523400,0.0,0
2019-04-01,99.22,101.68,99.2,101.64,17499300,0.0,0
2019-04-02,101.6,102.42,101.34,102.13,10295400,0.0,0
2019-04-03,102.78,103.31,101.79,102.33,11499200,0.0,0
2019-04-04,102.33,103.49,102.24,103.32,11952100,0.8,0
2019-04-05,103.56,103.86,102.76,103.08,9933700,0.0,0
2019-04-08,102.88,103.41,102.69,103.41,8056300,0.0,0
2019-04-09,102.85,102.97,102.04,102.65,9092200,0.0,0
2019-04-10,102.9,103.48,102.25,103.11,10882300,0.0,0
2019-04-11,103.47,104.47,103.32,103.98,11183800,0.0,0
2019-04-12,107.12,109.48,106.57,108.85,25834100,0.0,0
2019-04-15,108.57,108.65,106.81,107.61,15163800,0.0,0
2019-04-16,107.57,109.03,107.53,108.74,11583200,0.0,0
2019-04-17,109.33,112.23,108.66,111.88,17791900,0.0,0
2019-04-18,112.1,112.51,110.93,111.05,12501900,0.0,0
2019-04-22,110.44,111.51,110.27,111.19,7975900,0.0,0
2019-04-23,110.6,111.94,110.46,111.33,9193100,0.0,0
2019-04-24,110.86,111.73,110.42,111.14,9245700,0.0,0
2019-04-25,110.61,111.73,110.11,111.2,9311800,0.0,0
2019-04-26,111.53,112.15,111.19,112.04,7889300,0.0,0
2019-04-29,112.17,114.68,112.02,113.66,14242200,0.0,0
2019-04-30,113.96,114.24,112.82,113.59,11389100,0.0,0
2019-05-01,113.27,114.52,112.67,112.72,10412900,0.0,0
2019-05-02,112.73,113.32,112.15,112.96,8613300,0.0,0
2019-05-03,113.54,114.21,113.22,113.66,8185400,0.0,0
2019-05-06,111.76,113.02,111.31,112.65,9387000,0.0,0
2019-05-07,111.61,111.61,109.91,110.81,15017700,0.0,0
2019-05-08,110.27,111.26,110.08,110.22,9575800,0.0,0
2019-05-09,108.78,110.35,108.24,110.13,12205900,0.0,0
2019-05-10,109.38,110.45,108.2,110.12,13189000,0.0,0
2019-05-13,107.75,108.11,106.67,107.13,13783700,0.0,0
2019-05-14,107.23,109.35,107.18,107.98,10503600,0.0,0
2019-05-15,106.89,108.55,106.31,107.57,10142000,0.0,0
2019-05-16,108.27,109.79,108.24,108.95,9672700,0.0,0
