Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,40.71,41.81,40.59,41.75,4499600,0.0,0
2019-03-22,41.63,41.87,40.85,40.96,3469000,0.0,0
2019-03-25,40.83,42.26,40.79,41.54,2161200,0.0,0
2019-03-26,41.98,42.54,41.57,41.72,2419400,0.0,0
2019-03-27,41.72,42.68,41.66,42.6,2350600,0.0,0
2019-03-28,42.91,43.81,42.25,42.29,3698900,0.0,0
2019-03-29,42.48,42.63,41.95,42.34,2137500,0.0,0
2019-04-01,42.28,42.9,41.87,42.84,3015200,0.0,0
2019-04-02,42.89,42.92,41.87,41.92,3105800,0.0,0
2019-04-03,42.22,42.62,42.07,42.33,2026400,0.0,0
2019-04-04,42.57,43.47,42.37,43.46,2386000,0.0,0
2019-04-05,43.57,44.08,43.36,43.54,3381800,0.0,0
2019-04-08,43.44,43.92,42.92,43.0,1620500,0.0,0
2019-04-09,42.71,42.8,42.08,42.14,1886600,0.0,0
2019-04-10,42.93,43.89,42.26,42.88,3670200,0.0,0
2019-04-11,43.09,43.59,41.45,41.85,3634200,0.0,0
2019-04-12,41.93,42.23,41.47,41.82,2358000,0.0,0
2019-04-15,41.96,42.02,41.2,41.26,3251700,0.0,0
2019-04-16,41.39,41.49,41.26,41.47,4309500,0.0,0
2019-04-17,41.59,42.15,41.34,41.82,3163800,0.0,0
2019-04-18,41.93,42.31,41.65,41.85,1913600,0.0,0
2019-04-22,41.67,41.74,40.08,40.21,2886200,0.0,0
2019-04-23,40.41,40.57,39.32,39.86,3587400,0.0,0
2019-04-24,39.85,40.55,39.85,40.07,1843000,0.0,0
2019-04-25,39.9,40.05,38.84,39.17,2751400,0.0,0
2019-04-26,38.9,39.49,38.28,39.49,2434300,0.0,0
2019-04-29,39.36,39.72,38.84,38.95,2387900,0.0,0
2019-04-30,38.98,39.24,38.59,39.14,4058100,0.0,0
2019-05-01,39.08,39.11,38.49,38.5,1836500,0.0,0
2019-05-02,38.65,39.16,38.45,38.61,2721000,0.0,0
2019-05-03,38.7,38.82,38.16,38.44,2412600,0.0,0
2019-05-06,38.1,38.8,37.69,38.76,2841100,0.0,0
2019-05-07,38.73,38.76,37.4,37.56,3137100,0.0,0
2019-05-08,37.23,38.5,37.12,38.1,2620400,0.0,0
2019-05-09,37.32,38.14,37.3,37.97,3211300,0.0,0
2019-05-10,37.55,37.74,36.98,37.56,2422000,0.0,0
2019-05-13,37.25,37.32,35.69,35.87,3278200,0.0,0
2019-05-14,36.23,36.72,35.35,36.3,3079300,0.0,0
2019-05-15,36.02,36.35,35.32,35.71,4062900,0.0,0
2019-05-16,35.86,36.11,35.21,35.23,2862200,0.0,0
2019-05-17,34.92,35.97,34.7,35.39,2422400,0.0,0
2019-05-20,35.76,36.06,35.25,35.74,4396000,0.0,0
2019-05-21,35.3,36.44,35.08,36.11,9394100,0.0,0
2019-05-22,32.71,33.59,32.2,32.77,15979500,0.0,0
2019-05-23,32.54,33.21,32.12,32.26,4992100,0.0,0
2019-05-24,32.4,32.46,31.72,31.96,4390700,0.0,0
2019-05-28,32.04,32.4,31.46,31.47,4109200,0.0,0
2019-05-29,31.28,31.52,30.79,30.93,3499900,0.0,0
2019-05-30,30.91,31.42,30.87,30.98,3375800,0.0,0
2019-05-31,30.88,30.88,29.83,30.21,6560200,0.37,0
2019-06-03,30.13,31.3,30.06,30.98,4044700,0.0,0
2019-06-04,31.19,32.02,31.09,31.76,3624900,0.0,0
2019-06-05,31.98,32.16,30.73,30.84,2672800,0.0,0
2019-06-06,30.6,30.76,29.48,29.97,6394800,0.0,0
2019-06-07,29.99,30.62,29.84,30.56,3103900,0.0,0
2019-06-10,30.8,31.65,30.77,31.4,5190300,0.0,0
2019-06-11,31.45,32.01,31.22,31.68,4183800,0.0,0
2019-06-12,31.67,31.86,30.89,31.02,2323700,0.0,0
2019-06-13,31.05,31.57,30.73,31.52,2259500,0.0,0
2019-06-14,31.45,31.53,30.96,31.47,2504300,0.0,0
2019-06-17,31.35,31.96,31.17,31.34,2825400,0.0,0
2019-06-18,31.27,31.78,30.86,31.01,2445000,0.0,0
2019-06-19,31.12,32.22,30.6,32.01,8223200,0.0,0
2019-06-20,32.56,32.69,31.56,32.05,5427100,0.0,0
2019-06-21,32.15,32.58,31.6,32.23,4827600,0.0,0
2019-06-24,32.06,32.06,31.37,31.54,3081900,0.0,0
2019-06-25,31.64,31.68,31.18,31.63,2922000,0.0,0
2019-06-26,31.55,31.78,31.06,31.08,3654700,0.0,0
2019-06-27,30.26,30.74,30.0,30.35,5500100,0.0,0
2019-06-28,30.45,31.04,30.37,30.75,3449100,0.0,0
