Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,52.23,54.63,52.08,54.37,4174500,0.0,0
2019-03-22,54.23,55.11,54.2,54.62,3192100,0.0,0
2019-03-25,54.67,54.79,54.21,54.55,2026000,0.0,0
2019-03-26,54.59,55.46,54.59,55.42,2135900,0.0,0
2019-03-27,55.32,55.65,54.57,54.81,2436600,0.0,0
2019-03-28,55.02,55.41,54.69,54.84,1079400,0.0,0
2019-03-29,54.76,55.34,54.72,55.23,1573800,0.0,0
2019-04-01,55.35,55.49,53.43,53.93,3181600,0.0,0
2019-04-02,54.12,54.49,53.82,54.24,4093100,0.0,0
2019-04-03,54.11,54.67,53.87,54.54,2496600,0.0,0
2019-04-04,54.59,54.75,54.15,54.34,1479800,0.0,0
2019-04-05,54.21,54.7,54.0,54.68,1704000,0.0,0
2019-04-08,54.62,55.42,54.62,55.35,1909400,0.0,0
2019-04-09,55.23,55.44,54.63,55.02,2285200,0.0,0
2019-04-10,55.1,55.41,54.72,55.4,2873200,0.0,0
2019-04-11,55.61,55.74,54.76,55.21,1841600,0.0,0
2019-04-12,55.22,55.69,55.14,55.42,1710000,0.0,0
2019-04-15,55.53,56.21,55.31,56.17,1597300,0.0,0
2019-04-16,56.12,56.67,55.87,56.21,1941600,0.0,0
2019-04-17,56.35,56.35,55.5,55.92,1228700,0.0,0
2019-04-18,56.07,56.4,55.56,56.26,1208800,0.0,0
2019-04-22,56.31,56.61,56.03,56.18,2120500,0.0,0
2019-04-23,56.09,56.43,55.83,56.25,2102900,0.0,0
2019-04-24,56.22,56.56,55.95,56.38,1762900,0.0,0
2019-04-25,56.14,56.28,55.74,55.77,1654600,0.0,0
2019-04-26,56.01,57.34,55.92,57.18,2120600,0.0,0
2019-04-29,57.24,57.62,57.04,57.41,2057700,0.0,0
2019-04-30,57.49,58.2,57.41,58.05,2798100,0.0,0
2019-05-01,58.02,58.18,57.04,57.17,2836000,0.0,0
2019-05-02,54.81,56.05,54.31,55.23,5931200,0.0,0
2019-05-03,55.26,55.26,54.29,54.36,3026200,0.0,0
2019-05-06,53.71,55.35,53.65,55.25,2764900,0.0,0
2019-05-07,55.2,55.4,54.44,55.01,2249500,0.0,0
2019-05-08,55.04,55.47,54.29,55.11,1986800,0.0,0
2019-05-09,54.75,55.75,54.55,55.63,2009300,0.0,0
2019-05-10,55.51,56.57,55.03,56.45,2394900,0.0,0
2019-05-13,55.99,56.02,54.82,55.62,2888000,0.0,0
2019-05-14,55.51,55.67,54.92,55.03,2340900,0.0,0
2019-05-15,54.97,55.73,54.72,55.23,1508400,0.0,0
2019-05-16,55.34,55.81,55.04,55.25,1350600,0.0,0
2019-05-17,54.93,55.53,54.72,54.89,1596200,0.0,0
2019-05-20,54.52,54.84,54.16,54.33,1648300,0.0,0
2019-05-21,54.66,55.03,54.4,54.43,1098500,0.0,0
2019-05-22,54.47,54.74,54.2,54.71,823800,0.0,0
2019-05-23,54.5,55.02,54.21,54.96,1370800,0.0,0
2019-05-24,55.01,55.1,54.42,54.45,949400,0.0,0
2019-05-28,54.53,54.62,52.52,52.52,3263800,0.0,0
2019-05-29,52.08,52.14,50.26,50.83,4020800,0.0,0
2019-05-30,50.93,51.29,49.91,50.14,2873900,0.0,0
2019-05-31,50.06,51.3,49.96,51.14,2815500,0.56,0
2019-06-03,51.14,52.46,51.03,52.35,2635100,0.0,0
2019-06-04,52.56,53.33,52.56,53.13,1749400,0.0,0
2019-06-05,53.8,53.86,52.98,53.53,1952000,0.0,0
2019-06-06,53.61,54.49,53.26,54.27,1849600,0.0,0
2019-06-07,54.55,54.98,54.4,54.48,1639200,0.0,0
2019-06-10,54.66,54.69,53.01,53.3,1697600,0.0,0
2019-06-11,53.29,54.23,53.29,54.16,1417200,0.0,0
2019-06-12,54.46,55.01,54.46,54.71,2087800,0.0,0
2019-06-13,54.8,55.26,54.64,55.09,1772800,0.0,0
2019-06-14,55.07,55.36,54.9,55.11,1291000,0.0,0
2019-06-17,55.42,55.51,54.7,55.03,1464400,0.0,0
2019-06-18,55.21,55.65,53.89,54.01,1895900,0.0,0
2019-06-19,53.92,53.95,53.18,53.58,2721700,0.0,0
2019-06-20,53.58,53.76,53.15,53.7,1591400,0.0,0
2019-06-21,53.79,55.04,53.63,54.09,4271500,0.0,0
2019-06-24,54.16,54.37,53.96,54.29,1727800,0.0,0
2019-06-25,53.71,53.78,52.78,53.06,2651100,0.0,0
2019-06-26,52.22,52.61,51.36,52.01,3276100,0.0,0
2019-06-27,51.57,52.03,51.28,51.76,2576000,0.0,0
2019-06-28,51.82,52.4,51.68,52.13,2948700,0.0,0
2019-07-01,52.46,52.97,51.81,51.94,2588000,0.0,0
2019-07-02,52.04,52.36,51.74,51.87,2360900,0.0,0
2019-07-03,51.96,55.67,51.93,55.14,5657800,0.0,0
2019-07-05,55.83,55.85,53.38,54.27,4151900,0.0,0
2019-07-08,54.05,54.6,53.87,53.94,1853300,0.0,0
