Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,15.7,15.72,15.23,15.27,24849700,0.0,0
2019-03-22,15.1,15.12,14.27,14.34,33997200,0.0,0
2019-03-25,14.38,14.59,14.2,14.37,19290100,0.0,0
2019-03-26,14.48,14.78,14.47,14.76,19825000,0.0,0
2019-03-27,14.7,14.84,14.6,14.72,13638700,0.0,0
2019-03-28,14.74,15.07,14.74,15.04,19243100,0.0,0
2019-03-29,15.23,15.28,15.04,15.09,13578600,0.0,0
2019-04-01,15.29,15.7,15.26,15.66,11646600,0.0,0
2019-04-02,15.62,15.94,15.58,15.78,10761400,0.0,0
2019-04-03,15.95,16.15,15.6,15.74,13411500,0.0,0
2019-04-04,15.6,15.93,15.59,15.79,11828100,0.0,0
2019-04-05,15.82,15.93,15.71,15.89,13926600,0.0,0
2019-04-08,15.82,15.96,15.77,15.83,9339300,0.0,0
2019-04-09,15.72,15.77,15.51,15.58,10157400,0.0,0
2019-04-10,15.71,15.76,15.44,15.7,11412200,0.0,0
2019-04-11,15.81,15.93,15.66,15.75,12791500,0.0,0
2019-04-12,16.07,16.27,15.8,16.17,12839600,0.0,0
2019-04-15,16.15,16.21,15.91,15.96,10759000,0.0,0
2019-04-16,16.0,16.31,15.86,16.27,10339600,0.0,0
2019-04-17,16.33,16.48,16.16,16.45,12269200,0.0,0
2019-04-18,16.19,16.3,15.86,16.08,19536500,0.0,0
2019-04-22,16.0,16.33,15.9,16.28,14575000,0.0,0
2019-04-23,16.19,16.5,15.96,16.46,16984700,0.0,0
2019-04-24,16.33,16.5,16.16,16.41,9471600,0.0,0
2019-04-25,16.31,16.57,16.18,16.42,9091500,0.0,0
2019-04-26,16.45,16.59,16.29,16.56,7631300,0.0,0
2019-04-29,16.61,16.9,16.59,16.8,10188200,0.0,0
2019-04-30,16.83,16.92,16.61,16.81,8756900,0.0,0
2019-05-01,16.8,16.91,16.48,16.62,11836400,0.0,0
2019-05-02,16.67,16.88,16.56,16.87,9796300,0.0,0
2019-05-03,16.9,17.09,16.84,16.97,10898600,0.0,0
2019-05-06,16.65,17.08,16.65,16.94,9220400,0.0,0
2019-05-07,16.71,16.82,16.52,16.62,10327000,0.0,0
2019-05-08,16.55,16.68,16.45,16.46,12551900,0.0,0
2019-05-09,16.29,16.59,16.15,16.56,10169100,0.0,0
2019-05-10,16.45,16.67,16.25,16.57,9186800,0.0,0
2019-05-13,16.21,16.28,15.77,15.83,15648500,0.0,0
2019-05-14,15.83,16.29,15.83,16.21,14299400,0.0,0
2019-05-15,15.91,16.01,15.61,15.87,11642800,0.0,0
2019-05-16,16.01,16.24,15.96,16.06,7353300,0.0,0
2019-05-17,15.84,16.39,15.84,16.05,10500400,0.0,0
2019-05-20,16.06,16.25,16.03,16.16,9132900,0.0,0
2019-05-21,16.21,16.41,16.19,16.24,7771500,0.0,0
2019-05-22,16.13,16.13,16.01,16.01,8112400,0.0,0
2019-05-23,15.85,15.88,15.64,15.83,7554700,0.0,0
2019-05-24,15.92,16.14,15.89,16.1,6320200,0.17,0
2019-05-28,16.0,16.09,15.83,15.83,8174700,0.0,0
2019-05-29,15.65,15.98,15.53,15.95,7772200,0.0,0
2019-05-30,15.97,16.1,15.63,15.78,5199400,0.0,0
2019-05-31,15.54,15.69,15.44,15.46,8394000,0.0,0
2019-06-03,15.43,15.84,15.35,15.76,7567100,0.0,0
2019-06-04,16.03,16.43,15.96,16.4,7549000,0.0,0
2019-06-05,16.4,16.43,16.1,16.35,7006000,0.0,0
2019-06-06,16.32,16.45,16.19,16.4,4795400,0.0,0
2019-06-07,16.31,16.35,16.14,16.17,7606100,0.0,0
2019-06-10,16.36,16.61,16.34,16.38,12329700,0.0,0
2019-06-11,16.49,16.83,16.49,16.69,9191600,0.0,0
2019-06-12,16.65,16.81,16.41,16.47,5332800,0.0,0
2019-06-13,16.54,16.65,16.43,16.52,5328500,0.0,0
2019-06-14,16.51,16.61,16.23,16.6,7999700,0.0,0
2019-06-17,16.59,16.73,16.3,16.34,6513000,0.0,0
2019-06-18,16.34,16.69,16.26,16.65,9999200,0.0,0
