Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,115.82,118.04,115.82,117.9,1220700,0.0,0
2019-03-22,117.84,119.29,117.44,118.47,1393400,0.0,0
2019-03-25,118.42,118.79,117.87,118.34,1555300,0.0,0
2019-03-26,118.7,120.46,118.64,119.47,1064000,0.0,0
2019-03-27,119.02,119.75,118.61,119.73,1245800,0.0,0
2019-03-28,120.17,120.85,119.97,120.26,999100,0.0,0
2019-03-29,120.21,120.65,119.44,120.27,1872300,0.0,0
2019-04-01,120.16,120.32,117.95,119.17,1776200,0.0,0
2019-04-02,118.92,119.63,118.49,119.05,1167400,0.0,0
2019-04-03,118.77,118.83,117.45,118.2,1115200,0.0,0
2019-04-04,118.58,118.71,118.08,118.41,673400,0.0,0
2019-04-05,118.23,118.62,117.42,118.35,1259400,0.0,0
2019-04-08,118.04,118.34,117.58,118.07,1171100,0.0,0
2019-04-09,117.78,118.06,117.23,117.78,1314300,0.0,0
2019-04-10,117.56,118.32,117.56,118.09,895600,0.0,0
2019-04-11,118.78,119.1,117.9,118.98,1307000,0.0,0
2019-04-12,119.01,119.65,118.46,119.57,928000,0.0,0
2019-04-15,119.46,119.87,119.12,119.39,1004600,0.0,0
2019-04-16,119.73,119.88,118.37,119.7,1225100,0.0,0
2019-04-17,119.78,120.23,119.32,119.83,1174500,0.0,0
2019-04-18,120.06,121.1,118.82,119.93,1405000,0.0,0
2019-04-22,124.18,128.59,124.18,126.43,6569300,0.0,0
2019-04-23,126.19,126.67,121.73,121.94,5403900,0.0,0
2019-04-24,121.88,122.05,120.72,120.75,2602200,0.0,0
2019-04-25,120.03,120.69,119.22,120.37,1875300,0.0,0
2019-04-26,120.98,122.05,120.61,122.05,1722100,0.0,0
2019-04-29,121.69,122.48,121.23,121.58,1124300,0.0,0
2019-04-30,121.72,124.79,121.65,124.62,1934200,0.0,0
2019-05-01,124.15,124.49,121.79,121.79,1526800,0.0,0
2019-05-02,121.74,123.61,121.37,123.53,1013800,0.0,0
2019-05-03,123.49,123.97,123.2,123.76,1073900,0.0,0
2019-05-06,123.31,124.55,122.46,124.15,1821000,0.0,0
2019-05-07,123.49,124.5,121.71,122.48,1174300,0.0,0
2019-05-08,122.56,124.01,121.84,123.17,1047100,0.0,0
2019-05-09,123.3,123.47,122.02,122.69,1184200,0.0,0
2019-05-10,122.22,123.95,121.51,123.7,942100,0.0,0
2019-05-13,122.67,124.63,122.31,124.27,1538500,0.0,0
2019-05-14,123.87,125.17,123.28,123.81,1272300,0.0,0
2019-05-15,124.25,125.1,123.58,124.9,1138200,0.0,0
2019-05-16,125.22,125.79,124.33,124.95,1248100,0.0,0
2019-05-17,124.35,125.8,124.07,125.15,1028100,0.0,0
2019-05-20,125.02,126.77,124.75,126.3,1495100,0.0,0
2019-05-21,126.51,126.79,125.95,126.27,1427600,0.0,0
2019-05-22,126.69,127.61,126.07,127.14,1049600,0.0,0
2019-05-23,126.67,127.52,126.25,127.07,1187400,0.0,0
2019-05-24,127.18,127.89,126.7,126.8,871900,0.0,0
2019-05-28,127.08,127.83,124.68,124.85,1720900,0.0,0
2019-05-29,124.92,124.95,123.79,124.66,1243400,0.0,0
2019-05-30,124.93,126.82,124.71,126.4,889300,0.0,0
2019-05-31,126.11,126.11,124.01,124.14,1474900,0.0,0
2019-06-03,124.65,127.28,124.25,127.19,1793700,0.0,0
2019-06-04,127.34,128.37,126.98,127.58,2108000,0.0,0
2019-06-05,128.02,130.06,127.25,129.59,1504700,0.0,0
2019-06-06,129.91,131.18,129.67,130.67,1193500,1.03,0
2019-06-07,131.33,132.82,131.08,131.97,1813600,0.0,0
2019-06-10,132.01,132.07,130.54,131.78,899000,0.0,0
2019-06-11,131.77,132.76,131.12,131.68,1148300,0.0,0
2019-06-12,132.73,133.53,132.12,133.34,1244900,0.0,0
2019-06-13,133.61,134.4,132.79,134.33,1464900,0.0,0
2019-06-14,134.33,135.41,133.95,134.65,1374700,0.0,0
2019-06-17,134.48,134.9,133.05,134.21,2083200,0.0,0
2019-06-18,135.43,135.95,132.05,133.12,1780100,0.0,0
2019-06-19,132.85,133.27,131.27,132.92,2401000,0.0,0
2019-06-20,133.46,133.89,132.34,133.34,1853000,0.0,0
2019-06-21,133.7,133.81,132.17,132.64,2792500,0.0,0
2019-06-24,133.51,134.98,133.14,134.79,1468400,0.0,0
2019-06-25,134.38,134.88,133.69,133.85,1212800,0.0,0
2019-06-26,133.39,133.42,130.37,130.51,1306200,0.0,0
2019-06-27,130.62,131.72,130.32,131.0,1286700,0.0,0
2019-06-28,131.41,132.28,130.38,130.38,5526900,0.0,0
2019-07-01,131.3,132.73,130.64,132.47,1950000,0.0,0
2019-07-02,132.4,133.63,132.11,133.11,1182600,0.0,0
2019-07-03,134.12,135.63,134.04,135.34,1358900,0.0,0
2019-07-05,134.84,135.0,132.66,134.08,872500,0.0,0
2019-07-08,133.95,135.67,133.95,135.48,1443800,0.0,0
2019-07-09,135.23,135.23,133.0,133.89,1175700,0.0,0
2019-07-10,134.51,135.73,134.25,134.8,1291000,0.0,0
2019-07-11,134.75,134.91,133.2,134.43,921700,0.0,0
2019-07-12,135.0,135.88,134.5,135.74,1079100,0.0,0
2019-07-15,135.93,136.61,135.3,136.22,975200,0.0,0
2019-07-16,136.74,137.56,135.35,135.5,1421700,0.0,0
2019-07-17,135.64,135.66,134.37,135.03,1604400,0.0,0
2019-07-18,134.12,134.61,133.45,134.55,2152600,0.0,0
2019-07-19,134.99,135.1,132.69,132.79,1496900,0.0,0
2019-07-22,132.95,133.26,130.8,131.34,2559300,0.0,0
2019-07-23,133.53,134.4,130.13,132.11,4423100,0.0,0
2019-07-24,133.02,133.62,131.09,131.72,1833800,0.0,0
2019-07-25,130.9,133.39,130.35,132.44,1518300,0.0,0
2019-07-26,132.83,134.55,131.83,134.18,1834300,0.0,0
2019-07-29,134.65,135.97,134.31,135.24,1186300,0.0,0
2019-07-30,135.6,136.95,134.96,135.29,1493100,0.0,0
2019-07-31,134.99,135.31,131.23,132.7,1838700,0.0,0
2019-08-01,132.22,134.13,131.69,132.3,1480900,0.0,0
2019-08-02,132.5,133.96,131.79,132.91,1407800,0.0,0
2019-08-05,132.84,133.33,129.86,130.72,1614000,0.0,0
2019-08-06,130.74,132.15,130.03,131.59,1498400,0.0,0
2019-08-07,131.14,134.07,129.44,133.17,1751900,0.0,0
2019-08-08,133.46,135.86,132.85,135.52,1329800,0.0,0
2019-08-09,135.91,136.71,134.16,135.36,1380900,0.0,0
2019-08-12,135.35,136.59,134.68,135.12,798700,0.0,0
2019-08-13,135.4,137.59,134.73,136.39,2010700,0.0,0
2019-08-14,135.36,137.56,133.6,133.73,1888500,0.0,0
2019-08-15,134.68,136.9,134.28,136.24,1307600,0.0,0
2019-08-16,136.97,138.63,136.84,137.66,1660500,0.0,0
2019-08-19,137.88,140.04,137.73,139.63,1678200,0.0,0
2019-08-20,139.99,139.99,136.88,137.1,2087600,0.0,0
2019-08-21,137.89,139.22,137.61,138.82,1144300,0.0,0
2019-08-22,139.11,139.7,137.95,138.69,989200,0.0,0
2019-08-23,138.44,138.97,134.58,135.4,1427500,0.0,0
2019-08-26,136.36,137.75,135.89,137.2,1111500,0.0,0
2019-08-27,138.11,138.5,137.29,138.07,1346500,0.0,0
2019-08-28,138.11,139.08,137.54,138.86,860400,0.0,0
2019-08-29,139.68,139.88,137.37,138.75,1057800,0.0,0
2019-08-30,139.44,139.47,137.52,138.04,1316700,0.0,0
2019-09-03,137.95,138.76,136.65,138.43,1526900,0.0,0
2019-09-04,138.67,139.61,138.46,139.57,1295100,0.0,0
2019-09-05,139.67,140.57,137.24,137.44,2360100,1.03,0
2019-09-06,137.62,137.99,135.37,136.03,2134500,0.0,0
2019-09-09,136.83,136.83,130.12,131.32,3430900,0.0,0
2019-09-10,130.18,130.48,128.63,129.23,3040400,0.0,0
2019-09-11,129.12,130.03,127.32,129.98,2624700,0.0,0
2019-09-12,130.88,132.75,130.46,131.62,1728600,0.0,0
2019-09-13,130.15,131.91,129.87,130.47,1672000,0.0,0
2019-09-16,129.61,130.0,126.41,126.89,2265600,0.0,0
2019-09-17,126.77,130.13,126.77,129.99,1925700,0.0,0
2019-09-18,130.5,131.38,129.66,131.14,1547900,0.0,0
2019-09-19,131.39,132.96,131.09,132.15,1501400,0.0,0
2019-09-20,132.59,133.35,132.04,133.06,2773500,0.0,0
2019-09-23,134.9,135.68,134.02,134.82,2271100,0.0,0
2019-09-24,135.47,136.8,134.63,135.78,1518800,0.0,0
2019-09-25,135.93,136.85,134.88,135.56,1894100,0.0,0
2019-09-26,136.12,138.28,135.95,138.06,1684000,0.0,0
2019-09-27,139.95,140.3,138.74,139.98,1546000,0.0,0
2019-09-30,139.54,141.4,139.47,139.97,1399800,0.0,0
2019-10-01,139.59,140.25,138.15,139.58,1169600,0.0,0
2019-10-02,139.44,140.25,135.88,137.74,1864000,0.0,0
2019-10-03,138.07,138.66,136.8,137.67,1098900,0.0,0
2019-10-04,137.7,139.54,137.7,139.52,1294500,0.0,0
2019-10-07,139.42,139.65,137.97,138.11,1212500,0.0,0
2019-10-08,137.68,138.08,134.98,135.1,1593200,0.0,0
2019-10-09,135.69,136.12,134.37,135.34,1409400,0.0,0
2019-10-10,134.91,136.47,134.39,135.87,1140500,0.0,0
2019-10-11,135.72,136.56,135.01,135.61,1154600,0.0,0
2019-10-14,135.88,135.88,132.62,133.12,1275600,0.0,0
2019-10-15,133.57,133.79,131.18,131.91,1621500,0.0,0
2019-10-16,132.29,132.76,131.16,132.73,1513900,0.0,0
2019-10-17,132.67,133.91,132.67,133.63,1082000,0.0,0
2019-10-18,133.47,135.76,132.49,135.21,1765800,0.0,0
2019-10-21,134.98,137.5,134.68,137.15,2447100,0.0,0
2019-10-22,134.99,135.24,127.48,127.48,4576800,0.0,0
2019-10-23,128.65,132.64,128.01,132.32,2992700,0.0,0
2019-10-24,132.73,134.08,132.54,133.21,1761100,0.0,0
2019-10-25,133.22,134.23,132.21,132.23,1891900,0.0,0
2019-10-28,132.46,133.02,129.33,129.95,1940600,0.0,0
2019-10-29,129.76,131.69,129.15,130.99,1252300,0.0,0
2019-10-30,132.23,132.86,130.68,131.71,1122200,0.0,0
2019-10-31,131.37,132.09,130.13,130.93,1477900,0.0,0
2019-11-01,130.96,131.72,129.7,130.1,1008400,0.0,0
2019-11-04,129.97,130.63,127.12,127.46,1697800,0.0,0
2019-11-05,127.41,129.13,127.3,128.46,1557600,0.0,0
2019-11-06,129.06,130.48,128.91,129.79,1602300,0.0,0
2019-11-07,129.66,130.41,128.88,129.83,1224600,0.0,0
2019-11-08,129.86,131.09,128.73,129.53,1092500,0.0,0
2019-11-11,129.55,130.18,128.96,129.28,610400,0.0,0
2019-11-12,129.34,130.14,128.97,129.43,1271100,0.0,0
2019-11-13,130.0,131.21,129.82,130.48,1164600,0.0,0
2019-11-14,130.23,131.47,130.01,130.45,936400,0.0,0
2019-11-15,129.81,130.3,129.28,129.7,1190300,0.0,0
2019-11-18,129.5,132.42,129.5,130.58,1810900,0.0,0
2019-11-19,130.69,131.16,130.21,130.99,1697900,0.0,0
2019-11-20,131.35,132.87,130.95,132.63,1200100,0.0,0
2019-11-21,132.33,132.92,131.19,131.41,1148800,0.0,0
2019-11-22,131.67,132.6,129.87,131.57,1136900,0.0,0
2019-11-25,132.19,132.22,130.68,131.4,1382000,0.0,0
2019-11-26,131.78,132.64,131.06,132.6,2000600,0.0,0
2019-11-27,132.76,134.53,132.76,134.26,1179800,0.0,0
2019-11-29,134.53,134.76,133.85,134.34,1107400,0.0,0
2019-12-02,134.03,135.25,133.58,134.3,1523100,0.0,0
2019-12-03,134.05,134.72,133.18,134.04,1280800,0.0,0
2019-12-04,133.54,135.59,133.45,135.48,1502800,0.0,0
2019-12-05,135.24,135.68,134.87,135.53,1689700,1.03,0
2019-12-06,135.69,137.32,135.69,135.99,1046700,0.0,0
2019-12-09,136.02,136.3,135.04,135.99,1617300,0.0,0
2019-12-10,135.97,136.22,134.99,135.14,976700,0.0,0
2019-12-11,135.16,136.43,135.09,135.91,1324400,0.0,0
2019-12-12,136.19,136.5,134.66,134.94,1011100,0.0,0
2019-12-13,134.3,135.69,133.93,134.96,1168100,0.0,0
2019-12-16,135.5,136.12,134.75,134.84,2118900,0.0,0
2019-12-17,134.47,134.89,133.62,134.23,1132700,0.0,0
2019-12-18,134.26,135.02,133.65,134.21,1057700,0.0,0
2019-12-19,134.58,135.81,134.06,135.75,1139100,0.0,0
2019-12-20,136.38,137.66,135.52,137.01,2433800,0.0,0
