Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,19.1,19.47,19.0,19.45,17873700,0.0,0
2019-03-22,19.26,19.26,18.94,18.95,18977400,0.0,0
2019-03-25,18.94,19.21,18.79,19.17,14471200,0.0,0
2019-03-26,19.33,19.43,19.06,19.14,10840700,0.0,0
2019-03-27,19.04,19.16,18.85,19.03,13129300,0.0,0
2019-03-28,18.95,19.01,18.75,19.0,15986200,0.0,0
2019-03-29,19.1,19.23,18.95,19.06,12665800,0.0,0
2019-04-01,19.12,19.25,19.01,19.09,23043800,0.0,0
2019-04-02,19.07,19.13,18.95,19.1,13659300,0.0,0
2019-04-03,19.12,19.14,18.87,18.94,11839900,0.0,0
2019-04-04,18.95,18.99,18.82,18.97,13201100,0.0,0
2019-04-05,18.95,19.12,18.9,19.1,9349800,0.0,0
2019-04-08,19.1,19.15,18.92,18.99,10194900,0.0,0
2019-04-09,18.87,18.97,18.74,18.94,9516200,0.0,0
2019-04-10,19.01,19.01,18.82,18.9,9980900,0.0,0
2019-04-11,18.88,19.0,18.81,18.97,6844300,0.0,0
2019-04-12,19.04,19.08,18.84,18.88,12234400,0.0,0
2019-04-15,18.87,18.9,18.75,18.85,8894000,0.0,0
2019-04-16,18.86,18.97,18.78,18.87,10665300,0.0,0
2019-04-17,18.93,18.93,18.74,18.75,11622600,0.0,0
2019-04-18,18.68,18.89,18.24,18.47,23450100,0.0,0
2019-04-22,18.65,19.14,18.59,19.08,20438700,0.0,0
2019-04-23,19.1,19.14,18.9,19.13,14768000,0.0,0
2019-04-24,19.07,19.16,19.0,19.13,12995800,0.0,0
2019-04-25,19.09,19.28,19.02,19.02,12878400,0.0,0
2019-04-26,19.01,19.28,18.95,19.27,15682400,0.0,0
2019-04-29,19.22,19.29,18.97,19.15,12905200,0.25,0
2019-04-30,19.2,19.37,19.07,19.16,18959600,0.0,0
2019-05-01,19.15,19.23,18.89,18.89,10815500,0.0,0
2019-05-02,18.85,18.93,18.66,18.67,12380300,0.0,0
2019-05-03,18.8,18.99,18.77,18.83,11857700,0.0,0
2019-05-06,18.72,18.89,18.69,18.75,11380200,0.0,0
2019-05-07,18.57,18.97,18.56,18.86,15226900,0.0,0
2019-05-08,18.83,19.1,18.75,18.97,12798600,0.0,0
2019-05-09,18.89,19.1,18.78,19.03,10568200,0.0,0
2019-05-10,18.7,19.02,18.62,19.0,22458200,0.0,0
2019-05-13,18.9,19.04,18.72,18.97,12008000,0.0,0
2019-05-14,19.07,19.36,19.02,19.22,13180300,0.0,0
2019-05-15,19.23,19.56,19.2,19.42,11610200,0.0,0
2019-05-16,19.51,19.73,19.44,19.69,11815000,0.0,0
2019-05-17,19.57,19.82,19.43,19.49,12568400,0.0,0
2019-05-20,19.5,19.61,19.4,19.57,12507900,0.0,0
2019-05-21,19.58,19.84,19.54,19.62,10707300,0.0,0
2019-05-22,19.54,19.66,19.45,19.62,12994500,0.0,0
2019-05-23,19.46,19.48,19.1,19.25,17335700,0.0,0
2019-05-24,19.33,19.4,19.27,19.35,9645300,0.0,0
2019-05-28,19.39,19.51,19.07,19.17,15454200,0.0,0
2019-05-29,19.02,19.26,18.88,19.2,13586500,0.0,0
2019-05-30,19.29,19.55,19.23,19.35,23522000,0.0,0
2019-05-31,19.15,19.38,19.07,19.24,14576800,0.0,0
2019-06-03,19.36,19.44,19.19,19.42,17651000,0.0,0
2019-06-04,19.43,19.69,19.41,19.62,12118500,0.0,0
2019-06-05,19.64,19.8,19.47,19.74,14187300,0.0,0
2019-06-06,19.77,20.37,19.73,20.12,17335200,0.0,0
2019-06-07,20.11,20.49,20.11,20.38,27581700,0.0,0
2019-06-10,20.43,20.44,20.1,20.14,13990800,0.0,0
2019-06-11,20.24,20.24,19.84,20.04,13338500,0.0,0
2019-06-12,19.86,19.92,19.59,19.65,13499500,0.0,0
2019-06-13,19.75,19.87,19.65,19.79,10054900,0.0,0
2019-06-14,19.88,19.96,19.73,19.8,7534300,0.0,0
2019-06-17,19.69,19.85,19.55,19.79,10170900,0.0,0
2019-06-18,19.91,20.11,19.9,20.06,10490400,0.0,0
2019-06-19,20.06,20.27,19.94,20.19,10637200,0.0,0
2019-06-20,20.4,20.56,20.27,20.35,11726300,0.0,0
2019-06-21,20.36,20.64,20.35,20.62,20937100,0.0,0
2019-06-24,20.68,20.73,20.38,20.41,9477900,0.0,0
2019-06-25,20.33,20.37,19.81,19.85,18208400,0.0,0
2019-06-26,19.92,20.07,19.87,19.91,13960600,0.0,0
2019-06-27,19.88,19.91,19.58,19.68,16180200,0.0,0
2019-06-28,19.78,20.14,19.74,20.14,15049100,0.0,0
2019-07-01,20.26,20.31,20.12,20.14,9671800,0.0,0
2019-07-02,20.16,20.35,20.13,20.24,8805300,0.0,0
2019-07-03,20.25,20.34,20.12,20.33,5638000,0.0,0
2019-07-05,20.27,20.37,20.18,20.36,5317400,0.0,0
2019-07-08,20.31,20.48,20.26,20.31,8368800,0.0,0
2019-07-09,20.28,20.5,20.24,20.48,8998100,0.0,0
2019-07-10,20.52,20.62,20.4,20.43,13145000,0.0,0
2019-07-11,20.48,20.52,20.31,20.51,12844400,0.0,0
2019-07-12,20.54,20.65,20.45,20.53,9298300,0.0,0
2019-07-15,20.54,20.61,20.45,20.48,10602300,0.0,0
2019-07-16,20.45,20.48,20.14,20.17,13494400,0.0,0
2019-07-17,20.2,20.25,19.85,19.86,12659200,0.0,0
2019-07-18,19.39,19.7,19.37,19.69,23603200,0.0,0
2019-07-19,19.73,19.91,19.56,19.77,14109800,0.0,0
2019-07-22,19.79,20.08,19.76,20.03,8897000,0.0,0
2019-07-23,20.05,20.12,19.83,19.86,9347300,0.0,0
2019-07-24,19.84,20.01,19.81,19.91,9142300,0.0,0
2019-07-25,20.1,20.1,19.79,19.85,9062200,0.0,0
2019-07-26,20.03,20.16,19.96,20.11,16583800,0.0,0
2019-07-29,20.12,20.19,19.91,20.15,15285100,0.0,0
2019-07-30,20.06,20.21,19.93,20.2,14444300,0.25,0
2019-07-31,20.2,20.27,19.9,20.13,20274000,0.0,0
2019-08-01,20.06,20.41,20.03,20.27,21456400,0.0,0
2019-08-02,20.27,20.33,19.7,19.73,15042800,0.0,0
2019-08-05,19.43,19.57,19.1,19.37,18919500,0.0,0
2019-08-06,19.4,19.58,19.26,19.55,13971400,0.0,0
2019-08-07,19.33,19.54,19.04,19.49,20533700,0.0,0
2019-08-08,19.6,19.88,19.54,19.88,18487900,0.0,0
2019-08-09,19.87,20.02,19.79,19.88,14481300,0.0,0
2019-08-12,19.85,19.86,19.65,19.85,17046600,0.0,0
2019-08-13,19.87,20.15,19.78,20.02,15399500,0.0,0
2019-08-14,19.71,19.82,19.33,19.33,15012600,0.0,0
2019-08-15,19.44,19.49,19.2,19.4,10636000,0.0,0
2019-08-16,19.43,19.72,19.34,19.65,10532400,0.0,0
2019-08-19,19.81,20.0,19.79,19.92,11649700,0.0,0
2019-08-20,19.93,19.96,19.63,19.66,11233700,0.0,0
2019-08-21,19.92,20.06,19.82,19.9,14030100,0.0,0
2019-08-22,19.91,19.92,19.66,19.72,12004300,0.0,0
2019-08-23,19.57,19.7,19.03,19.1,16647200,0.0,0
2019-08-26,19.3,19.54,19.2,19.44,9681100,0.0,0
2019-08-27,19.57,19.65,19.35,19.56,17853600,0.0,0
2019-08-28,19.66,19.84,19.54,19.78,10081300,0.0,0
2019-08-29,19.94,20.0,19.68,19.91,9894900,0.0,0
2019-08-30,19.94,19.98,19.68,19.79,13755700,0.0,0
2019-09-03,19.58,19.65,19.42,19.64,12318100,0.0,0
2019-09-04,19.79,19.97,19.73,19.84,7697700,0.0,0
2019-09-05,19.95,20.16,19.92,20.02,10107800,0.0,0
2019-09-06,20.0,20.07,19.84,19.92,7077400,0.0,0
2019-09-09,20.02,20.07,19.76,19.92,10638000,0.0,0
2019-09-10,19.83,19.89,19.54,19.75,16417700,0.0,0
2019-09-11,19.8,20.01,19.76,19.96,9579600,0.0,0
2019-09-12,19.98,20.05,19.86,19.93,10131300,0.0,0
2019-09-13,19.95,20.06,19.82,19.98,21171300,0.0,0
2019-09-16,20.33,20.49,20.08,20.18,20590600,0.0,0
2019-09-17,20.15,20.41,20.06,20.24,15570400,0.0,0
2019-09-18,20.16,20.23,20.09,20.18,6926600,0.0,0
2019-09-19,20.3,20.34,20.1,20.2,8588400,0.0,0
2019-09-20,20.28,20.46,20.14,20.42,14678000,0.0,0
2019-09-23,20.29,20.46,20.27,20.28,5832100,0.0,0
2019-09-24,20.28,20.36,19.93,20.08,10448000,0.0,0
2019-09-25,20.08,20.17,19.98,20.02,7519900,0.0,0
2019-09-26,20.0,20.09,19.81,20.03,6735400,0.0,0
2019-09-27,20.07,20.26,19.98,20.18,7434800,0.0,0
2019-09-30,20.11,20.21,20.06,20.12,7114700,0.0,0
2019-10-01,20.2,20.24,19.76,19.8,9124300,0.0,0
2019-10-02,19.77,19.83,19.63,19.69,10052700,0.0,0
2019-10-03,19.66,19.98,19.45,19.89,8894100,0.0,0
2019-10-04,19.91,20.05,19.82,20.03,6372000,0.0,0
2019-10-07,20.05,20.08,19.8,19.81,6852900,0.0,0
2019-10-08,19.71,19.79,19.49,19.53,10209200,0.0,0
2019-10-09,19.64,19.8,19.62,19.7,7999600,0.0,0
2019-10-10,19.72,19.82,19.63,19.76,7224200,0.0,0
2019-10-11,19.9,19.93,19.72,19.75,10394100,0.0,0
2019-10-14,19.63,19.69,19.51,19.66,8104600,0.0,0
2019-10-15,19.62,19.83,19.56,19.7,13819300,0.0,0
2019-10-16,19.65,19.7,19.52,19.54,17041600,0.0,0
2019-10-17,19.47,19.65,19.16,19.59,14347900,0.0,0
2019-10-18,19.57,19.7,19.47,19.54,13167600,0.0,0
2019-10-21,19.68,19.86,19.59,19.68,10712400,0.0,0
2019-10-22,19.72,20.07,19.67,19.83,10341200,0.0,0
2019-10-23,19.8,19.92,19.7,19.91,8392400,0.0,0
2019-10-24,19.97,20.21,19.92,19.95,10368000,0.0,0
2019-10-25,19.76,19.98,19.61,19.93,10813400,0.0,0
2019-10-28,20.01,20.04,19.69,19.7,10192300,0.0,0
2019-10-29,19.68,19.89,19.59,19.69,11717500,0.0,0
2019-10-30,19.69,19.91,19.62,19.77,13624300,0.25,0
2019-10-31,19.76,19.81,19.6,19.75,16191700,0.0,0
2019-11-01,19.85,20.26,19.82,20.26,10812100,0.0,0
2019-11-04,20.3,20.49,20.23,20.32,12401500,0.0,0
2019-11-05,20.34,20.43,19.98,20.28,12327000,0.0,0
2019-11-06,20.26,20.32,19.94,19.97,10078700,0.0,0
2019-11-07,20.1,20.1,19.76,19.81,11991100,0.0,0
2019-11-08,19.77,19.88,19.65,19.8,11920100,0.0,0
2019-11-11,19.67,19.82,19.63,19.71,9692900,0.0,0
2019-11-12,19.75,19.94,19.68,19.84,11715600,0.0,0
2019-11-13,19.81,20.19,19.81,20.11,17233300,0.0,0
2019-11-14,20.13,20.27,19.89,19.98,15853600,0.0,0
2019-11-15,20.11,20.28,20.05,20.2,23110500,0.0,0
2019-11-18,20.06,20.19,19.86,19.9,11152000,0.0,0
2019-11-19,19.91,19.93,19.75,19.78,11201000,0.0,0
2019-11-20,19.77,19.93,19.73,19.83,12223500,0.0,0
2019-11-21,19.87,19.96,19.81,19.92,11577400,0.0,0
2019-11-22,19.96,19.99,19.72,19.73,9727400,0.0,0
2019-11-25,19.82,19.86,19.67,19.73,14192100,0.0,0
2019-11-26,19.72,19.82,19.38,19.47,23962500,0.0,0
2019-11-27,19.52,19.57,19.28,19.5,12139500,0.0,0
2019-11-29,19.49,19.49,19.27,19.38,7196200,0.0,0
2019-12-02,19.38,19.41,19.17,19.17,10745800,0.0,0
2019-12-03,19.1,19.12,18.91,18.93,13395000,0.0,0
2019-12-04,19.03,19.11,18.92,19.07,11296000,0.0,0
2019-12-05,19.1,19.47,19.08,19.45,17301800,0.0,0
2019-12-06,19.48,19.64,19.44,19.52,11642300,0.0,0
2019-12-09,19.39,19.74,19.37,19.71,12351100,0.0,0
2019-12-10,19.65,19.98,19.64,19.89,12785800,0.0,0
2019-12-11,19.89,19.98,19.85,19.96,9534700,0.0,0
2019-12-12,19.96,20.22,19.86,19.91,15906200,0.0,0
2019-12-13,19.91,20.13,19.85,19.96,13741300,0.0,0
2019-12-16,20.1,20.35,20.03,20.34,11817600,0.0,0
2019-12-17,20.34,20.47,20.23,20.27,10447200,0.0,0
2019-12-18,20.25,20.55,20.23,20.48,16324100,0.0,0
2019-12-19,20.48,20.61,20.44,20.6,8582900,0.0,0
2019-12-20,20.75,20.76,20.55,20.73,19257600,0.0,0
2019-12-23,20.71,21.01,20.64,20.95,9969700,0.0,0
2019-12-24,20.93,20.94,20.8,20.88,3476400,0.0,0
2019-12-26,20.94,21.11,20.92,20.95,7086800,0.0,0
2019-12-27,21.01,21.06,20.81,20.83,8172500,0.0,0
2019-12-30,20.85,20.94,20.71,20.78,7926500,0.0,0
2019-12-31,20.75,20.93,20.71,20.92,10033500,0.0,0
