Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,44.13,44.35,44.04,44.11,20043000,0.0,0
2019-03-22,44.06,44.69,44.06,44.52,19055900,0.0,0
2019-03-25,44.45,44.78,44.38,44.61,11668200,0.0,0
2019-03-26,44.75,45.35,44.75,45.21,11434900,0.0,0
2019-03-27,45.22,45.47,44.91,45.18,11543600,0.0,0
2019-03-28,45.24,45.48,45.05,45.15,11121100,0.0,0
2019-03-29,45.23,45.47,45.05,45.42,16045600,0.0,0
2019-04-01,45.54,45.72,45.16,45.28,11522700,0.0,0
2019-04-02,45.31,45.49,45.14,45.14,8495000,0.0,0
2019-04-03,44.99,45.16,44.62,44.76,12854500,0.0,0
2019-04-04,44.91,45.11,44.69,45.05,7814900,0.0,0
2019-04-05,45.06,45.15,44.78,45.04,7677600,0.0,0
2019-04-08,45.11,45.14,44.85,45.12,9421300,0.0,0
2019-04-09,45.02,45.28,44.85,45.23,8641800,0.0,0
2019-04-10,45.4,45.55,45.13,45.21,8059900,0.0,0
2019-04-11,45.28,45.31,45.11,45.27,7352400,0.0,0
2019-04-12,45.23,45.49,45.14,45.3,10690000,0.0,0
2019-04-15,45.44,45.59,45.26,45.55,10261300,0.0,0
2019-04-16,45.6,45.65,45.26,45.51,10804600,0.0,0
2019-04-17,45.75,46.09,45.7,45.83,11849300,0.0,0
2019-04-18,45.87,46.12,45.82,46.02,12167000,0.0,0
2019-04-22,45.94,46.15,45.57,45.94,9834700,0.0,0
2019-04-23,46.61,47.22,46.09,46.73,25327800,0.0,0
2019-04-24,46.55,46.75,46.45,46.5,15997300,0.0,0
2019-04-25,46.27,46.42,46.01,46.37,11444400,0.0,0
2019-04-26,46.51,46.96,46.5,46.78,10154300,0.0,0
2019-04-29,46.69,46.96,46.63,46.93,9731500,0.0,0
2019-04-30,47.04,47.67,46.9,47.55,17912900,0.0,0
2019-05-01,47.44,47.57,47.06,47.1,10551200,0.0,0
2019-05-02,47.04,47.27,46.79,46.9,8724600,0.0,0
2019-05-03,47.11,47.45,47.03,47.22,7076900,0.0,0
2019-05-06,46.84,47.12,46.78,46.98,8657800,0.0,0
2019-05-07,46.75,46.81,46.3,46.52,12487500,0.0,0
2019-05-08,46.57,46.75,46.35,46.38,9281400,0.0,0
2019-05-09,46.33,46.5,45.62,45.94,11450500,0.0,0
2019-05-10,45.95,46.81,45.94,46.71,9653800,0.0,0
2019-05-13,46.44,46.65,46.26,46.57,11911500,0.0,0
2019-05-14,47.04,47.8,46.86,47.19,16844200,0.0,0
2019-05-15,47.17,47.86,47.11,47.67,11422500,0.0,0
2019-05-16,47.75,48.13,47.7,48.06,17771300,0.0,0
2019-05-17,47.75,48.03,47.66,47.69,11257000,0.0,0
2019-05-20,47.53,47.63,47.26,47.35,13850500,0.0,0
2019-05-21,47.49,47.52,46.96,47.11,10587400,0.0,0
2019-05-22,47.28,48.18,47.22,48.12,16050400,0.0,0
2019-05-23,47.98,48.37,47.94,48.32,12199400,0.0,0
2019-05-24,48.29,48.36,48.01,48.08,6887600,0.0,0
2019-05-28,48.07,48.14,47.52,47.59,18614000,0.0,0
