Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,62.81,63.47,62.62,63.34,2846900,0.0,0
2019-03-22,63.32,63.58,61.88,62.06,2522000,0.0,0
2019-03-25,61.84,64.53,61.81,63.63,2770200,0.0,0
2019-03-26,64.21,65.06,63.27,63.79,2432200,0.0,0
2019-03-27,63.98,65.67,63.98,64.75,2912000,0.0,0
2019-03-28,65.45,66.2,63.9,63.94,3128200,0.0,0
2019-03-29,64.37,64.51,63.34,63.67,2669100,0.0,0
2019-04-01,64.17,65.07,63.98,65.0,2503500,0.0,0
2019-04-02,65.17,65.88,64.89,65.61,2217000,0.0,0
2019-04-03,65.95,66.58,65.56,65.74,2035400,0.0,0
2019-04-04,66.07,68.03,65.94,68.01,2497100,0.0,0
2019-04-05,68.01,68.73,66.62,66.66,2858400,0.0,0
2019-04-08,66.82,68.12,66.52,67.41,2541800,0.0,0
2019-04-09,67.02,67.61,66.85,67.08,1908000,0.0,0
2019-04-10,67.39,68.47,65.79,66.2,3236200,0.0,0
2019-04-11,66.46,66.82,64.85,64.96,2411400,0.0,0
2019-04-12,65.33,65.8,64.26,64.56,2242800,0.0,0
2019-04-15,64.58,65.13,64.2,64.72,2208900,0.0,0
2019-04-16,64.14,65.46,64.14,65.25,2419000,0.0,0
2019-04-17,65.5,65.84,64.63,64.65,2669500,0.0,0
2019-04-18,64.8,65.62,64.25,65.15,2044400,0.0,0
2019-04-22,64.6,64.6,62.05,62.45,5098200,0.0,0
2019-04-23,66.66,70.28,66.1,69.88,16102800,0.0,0
2019-04-24,69.95,70.18,67.8,67.84,5368400,0.0,0
2019-04-25,67.9,68.06,65.7,66.31,4316100,0.0,0
2019-04-26,65.83,67.32,64.92,67.04,3367500,0.0,0
2019-04-29,67.27,67.34,66.61,67.05,2593300,0.0,0
2019-04-30,67.12,67.4,65.46,65.83,3875100,0.0,0
2019-05-01,65.87,66.27,64.58,64.58,2794100,0.0,0
2019-05-02,64.77,65.33,63.89,64.94,3280800,0.0,0
2019-05-03,65.04,65.42,63.99,64.06,2625700,0.0,0
2019-05-06,63.19,64.0,63.03,63.79,2120300,0.0,0
2019-05-07,63.44,63.46,61.98,62.52,3617100,0.0,0
2019-05-08,62.49,64.3,62.01,63.46,2772000,0.0,0
2019-05-09,62.88,63.56,61.9,63.3,3509900,0.0,0
2019-05-10,62.83,63.14,61.15,62.09,2241300,0.0,0
2019-05-13,61.32,61.43,58.89,59.62,5033000,0.0,0
2019-05-14,59.87,61.37,58.75,60.64,4798300,0.0,0
2019-05-15,60.31,62.62,59.02,59.46,5818400,0.0,0
2019-05-16,59.65,59.96,58.73,59.04,4011700,0.0,0
2019-05-17,58.68,59.84,58.13,58.88,2947100,0.0,0
2019-05-20,58.77,59.39,58.03,58.24,5055200,0.0,0
2019-05-21,51.17,53.43,50.13,51.06,25969600,0.0,0
