Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,112.66,115.62,111.68,115.23,1304300,0.0,0
2019-03-22,113.32,114.25,110.15,111.23,1928100,0.0,0
2019-03-25,111.55,113.45,110.95,111.35,1343800,0.0,0
2019-03-26,112.14,112.82,111.41,112.49,634200,0.0,0
2019-03-27,112.27,113.69,112.15,113.5,1003200,0.0,0
2019-03-28,113.39,114.99,113.39,114.86,654200,0.0,0
2019-03-29,115.78,117.03,114.4,114.71,1572800,0.0,0
2019-04-01,115.21,117.35,115.07,116.5,1137400,0.0,0
2019-04-02,116.22,116.49,114.97,115.55,955800,0.0,0
2019-04-03,116.28,116.69,114.87,115.27,1220600,0.0,0
2019-04-04,115.2,116.53,114.4,115.89,1028200,0.0,0
2019-04-05,115.92,116.64,115.52,116.1,732500,0.0,0
2019-04-08,116.21,116.45,115.42,116.31,510600,0.0,0
2019-04-09,115.65,115.72,114.76,115.18,593200,0.0,0
2019-04-10,115.13,115.89,113.96,115.83,679700,0.0,0
2019-04-11,115.85,116.1,114.59,115.84,701900,0.0,0
2019-04-12,116.7,117.64,116.3,117.08,671200,0.0,0
2019-04-15,116.93,117.33,115.97,116.32,739500,0.0,0
2019-04-16,116.3,117.27,115.4,116.69,1094500,0.0,0
2019-04-17,119.92,122.53,117.79,121.46,2295700,0.0,0
2019-04-18,122.68,124.54,121.82,123.66,2825200,0.0,0
2019-04-22,123.51,124.34,122.59,122.69,1111400,0.0,0
2019-04-23,122.56,123.31,122.19,122.71,1005900,0.0,0
2019-04-24,123.11,124.21,122.67,122.82,751500,0.0,0
2019-04-25,121.78,122.62,119.83,121.96,906200,0.0,0
2019-04-26,121.92,123.2,121.2,123.14,620200,0.0,0
2019-04-29,123.51,123.51,121.18,121.39,892500,0.0,0
2019-04-30,117.94,122.51,117.2,121.79,1469300,0.0,0
2019-05-01,121.68,122.41,120.45,121.06,760600,0.0,0
2019-05-02,121.08,122.46,120.34,122.28,840400,0.0,0
2019-05-03,122.68,124.2,122.25,123.87,616900,0.0,0
2019-05-06,121.88,123.39,121.88,122.99,606400,0.0,0
2019-05-07,121.88,122.23,119.52,121.24,875200,0.0,0
2019-05-08,121.08,121.34,119.95,120.09,601600,0.0,0
2019-05-09,119.08,121.13,118.61,120.86,531400,0.0,0
