Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.12,47.91,46.89,47.69,838100,0.0,0
2019-03-22,47.29,47.53,46.99,47.1,803400,0.0,0
2019-03-25,47.02,47.38,46.79,46.87,1042000,0.0,0
2019-03-26,47.04,47.42,46.93,47.34,686600,0.0,0
2019-03-27,47.45,47.75,47.34,47.5,735000,0.0,0
2019-03-28,47.53,47.77,47.18,47.62,886500,0.0,0
2019-03-29,47.93,47.98,47.62,47.69,1116200,0.0,0
2019-04-01,47.96,48.46,47.86,48.44,988200,0.0,0
2019-04-02,48.38,48.49,47.88,47.95,692300,0.0,0
2019-04-03,48.22,48.24,47.71,47.96,850500,0.0,0
2019-04-04,48.0,48.5,47.93,48.25,601300,0.0,0
2019-04-05,48.23,48.56,48.16,48.36,751500,0.0,0
2019-04-08,48.39,48.6,48.22,48.35,734500,0.0,0
2019-04-09,48.23,48.23,47.84,48.1,547400,0.0,0
2019-04-10,48.12,48.52,47.93,48.44,488000,0.0,0
2019-04-11,48.59,48.99,48.47,48.86,1116800,0.0,0
2019-04-12,49.2,49.59,48.87,49.04,1187800,0.0,0
2019-04-15,48.96,49.19,48.89,48.93,565800,0.0,0
2019-04-16,49.07,49.59,48.99,49.42,783300,0.0,0
2019-04-17,49.54,49.6,48.95,49.0,794400,0.0,0
2019-04-18,48.96,49.3,48.52,48.58,1710500,0.0,0
2019-04-22,48.54,49.0,48.36,48.98,671000,0.0,0
2019-04-23,49.01,49.39,48.93,49.2,1009000,0.0,0
2019-04-24,49.16,49.54,49.07,49.25,586700,0.0,0
2019-04-25,49.04,49.61,48.88,49.44,632400,0.0,0
2019-04-26,49.45,49.93,49.39,49.93,943400,0.0,0
2019-04-29,50.75,51.11,49.9,50.68,2117700,0.0,0
2019-04-30,50.79,51.08,50.2,51.04,1976000,0.0,0
2019-05-01,50.92,51.2,50.03,50.05,1105700,0.0,0
2019-05-02,50.09,50.31,49.6,49.99,992600,0.0,0
2019-05-03,50.04,50.77,49.98,50.59,1135400,0.0,0
2019-05-06,49.98,50.65,49.77,50.54,1166300,0.0,0
2019-05-07,50.26,50.52,49.76,49.91,1115100,0.0,0
2019-05-08,49.86,50.73,49.8,50.16,1304000,0.0,0
