Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,25.99,26.47,25.8,26.28,3756100,0.0,0
2019-03-22,26.19,26.24,25.03,25.13,3854500,0.0,0
2019-03-25,25.09,25.8,24.94,25.79,5429700,0.0,0
2019-03-26,26.22,26.59,25.9,26.32,4845200,0.0,0
2019-03-27,26.37,27.04,26.28,26.82,6039400,0.0,0
2019-03-28,27.05,27.34,26.25,26.33,3680400,0.0,0
2019-03-29,26.57,26.57,25.86,25.99,4913300,0.0,0
2019-04-01,26.21,26.21,25.5,25.64,4988400,0.0,0
2019-04-02,25.68,25.93,25.39,25.46,5242000,0.0,0
2019-04-03,25.68,26.04,25.32,25.42,3765500,0.0,0
2019-04-04,25.47,26.44,25.45,26.12,4979600,0.0,0
2019-04-05,26.17,26.33,25.76,25.87,3206500,0.0,0
2019-04-08,25.77,26.16,25.77,25.89,3022600,0.0,0
2019-04-09,25.84,25.96,25.39,25.44,3095100,0.0,0
2019-04-10,25.54,25.9,25.26,25.63,2738000,0.0,0
2019-04-11,25.73,25.94,25.03,25.04,3386500,0.0,0
2019-04-12,25.16,25.32,24.09,24.34,5362300,0.0,0
2019-04-15,24.28,24.58,23.75,23.77,4082900,0.0,0
2019-04-16,23.85,24.21,23.63,24.19,4082400,0.0,0
2019-04-17,24.3,24.73,24.15,24.19,3893000,0.0,0
2019-04-18,24.17,24.49,23.99,24.2,3273000,0.0,0
2019-04-22,24.28,24.49,23.3,23.42,4490300,0.0,0
2019-04-23,23.77,24.13,23.62,23.85,7746000,0.0,0
2019-04-24,23.96,24.73,23.76,24.62,5469700,0.0,0
2019-04-25,24.55,24.71,24.14,24.4,2990500,0.0,0
2019-04-26,24.38,24.84,24.19,24.66,2658700,0.0,0
2019-04-29,24.66,24.91,24.28,24.32,2940800,0.0,0
2019-04-30,24.36,24.37,23.79,24.16,3803400,0.0,0
2019-05-01,24.19,24.27,23.47,23.48,3291600,0.0,0
2019-05-02,23.55,24.03,23.32,24.0,3950400,0.0,0
2019-05-03,24.27,24.7,24.06,24.42,3231100,0.0,0
2019-05-06,24.04,24.26,23.68,24.16,2790100,0.0,0
2019-05-07,23.93,23.99,22.8,22.93,5109200,0.0,0
2019-05-08,22.84,23.39,22.7,22.97,4313200,0.0,0
2019-05-09,22.71,22.89,22.31,22.85,3052000,0.0,0
2019-05-10,22.71,22.8,21.81,22.56,4717000,0.0,0
2019-05-13,21.9,21.91,20.87,21.13,6148500,0.0,0
2019-05-14,21.19,21.47,20.76,21.21,4740600,0.0,0
2019-05-15,20.97,21.29,20.56,21.16,4090600,0.0,0
2019-05-16,21.23,21.59,21.01,21.06,4638000,0.0,0
