Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,40.15,40.85,40.15,40.71,1062000,0.0,0
2019-03-22,40.46,40.55,39.14,39.18,1221800,0.0,0
2019-03-25,39.13,39.81,39.09,39.54,834200,0.0,0
2019-03-26,39.87,40.18,39.69,40.03,733600,0.0,0
2019-03-27,40.32,40.57,40.05,40.46,1363600,0.0,0
2019-03-28,40.62,40.78,40.26,40.64,1141500,0.0,0
2019-03-29,40.83,41.06,40.37,40.58,1025800,0.0,0
2019-04-01,40.81,41.03,40.57,40.96,676800,0.0,0
2019-04-02,41.01,41.1,40.69,40.82,496700,0.0,0
2019-04-03,41.11,41.19,40.82,40.94,705700,0.0,0
2019-04-04,40.88,41.35,40.85,41.24,831000,0.0,0
2019-04-05,41.49,42.03,41.38,41.86,1264200,0.0,0
2019-04-08,41.59,41.64,40.61,41.29,1422600,0.0,0
2019-04-09,41.09,41.1,40.56,40.67,914600,0.0,0
2019-04-10,40.97,41.32,40.88,41.31,881200,0.0,0
2019-04-11,41.31,41.6,41.3,41.53,875000,0.0,0
2019-04-12,41.82,41.99,41.32,41.57,718900,0.0,0
2019-04-15,41.5,41.78,41.39,41.52,814400,0.0,0
2019-04-16,41.76,42.06,41.37,42.04,783900,0.0,0
2019-04-17,42.16,42.18,41.54,41.62,541000,0.0,0
2019-04-18,41.48,41.9,41.38,41.59,770900,0.0,0
2019-04-22,41.45,41.66,41.03,41.17,835000,0.0,0
2019-04-23,41.47,41.81,41.1,41.31,1057300,0.0,0
2019-04-24,41.28,41.6,40.95,41.23,901900,0.0,0
2019-04-25,41.17,41.17,39.9,40.07,833900,0.0,0
2019-04-26,40.52,40.52,39.77,40.37,1065100,0.0,0
2019-04-29,40.34,40.39,39.89,40.0,1516200,0.0,0
2019-04-30,38.64,38.92,37.05,37.83,3580100,0.0,0
2019-05-01,38.1,38.63,37.39,37.99,2257900,0.0,0
2019-05-02,38.14,38.64,38.05,38.22,1242200,0.0,0
2019-05-03,38.41,38.85,38.27,38.75,936900,0.0,0
2019-05-06,38.16,38.6,38.01,38.54,1381900,0.0,0
2019-05-07,38.16,38.28,37.48,37.74,1239300,0.0,0
2019-05-08,37.76,37.89,37.32,37.37,1003200,0.0,0
2019-05-09,37.03,37.04,36.25,36.66,1117700,0.0,0
2019-05-10,36.65,37.0,35.93,36.95,983100,0.0,0
2019-05-13,36.31,36.31,35.36,35.62,1260300,0.0,0
2019-05-14,35.76,36.39,35.67,36.13,946800,0.0,0
2019-05-15,35.95,36.48,35.7,36.26,980500,0.0,0
2019-05-16,36.51,36.94,36.21,36.51,978600,0.0,0
2019-05-17,36.23,36.63,36.01,36.07,811100,0.0,0
2019-05-20,35.85,36.07,35.72,35.85,1221900,0.0,0
2019-05-21,35.93,36.51,35.88,36.44,930400,0.0,0
2019-05-22,36.15,36.23,35.88,36.09,814500,0.0,0
2019-05-23,35.81,35.92,35.31,35.43,748500,0.0,0
2019-05-24,35.61,36.0,35.61,35.74,635500,0.0,0
2019-05-28,35.75,35.89,35.2,35.21,1200500,0.0,0
2019-05-29,35.14,35.67,34.94,35.4,1486800,0.0,0
2019-05-30,35.62,35.66,34.78,35.06,1013500,0.0,0
2019-05-31,34.62,34.7,34.04,34.13,1512400,0.0,0
2019-06-03,34.02,35.11,33.97,34.61,1289900,0.0,0
2019-06-04,35.02,36.16,35.02,36.13,826300,0.0,0
2019-06-05,36.34,36.35,35.42,36.18,776500,0.0,0
2019-06-06,36.23,36.36,35.5,36.19,826000,0.0,0
2019-06-07,36.41,36.5,36.01,36.44,634300,0.0,0
2019-06-10,36.66,36.7,35.58,35.82,1468700,0.0,0
2019-06-11,36.18,36.71,36.07,36.24,1115100,0.0,0
2019-06-12,36.25,36.46,36.06,36.36,892400,0.0,0
2019-06-13,36.53,36.81,36.4,36.69,482300,0.4,0
2019-06-14,36.71,36.71,36.21,36.32,789000,0.0,0
2019-06-17,36.31,36.76,36.31,36.53,692600,0.0,0
2019-06-18,36.85,37.4,36.49,36.86,909700,0.0,0
2019-06-19,36.86,37.22,36.56,37.11,727400,0.0,0
2019-06-20,37.56,37.84,36.88,37.23,810300,0.0,0
2019-06-21,37.34,37.91,36.88,37.18,2798400,0.0,0
2019-06-24,37.2,37.29,36.55,36.66,865400,0.0,0
2019-06-25,36.71,36.97,36.37,36.37,1041700,0.0,0
2019-06-26,36.45,36.53,35.98,36.22,1147800,0.0,0
2019-06-27,36.47,36.9,36.47,36.86,508200,0.0,0
2019-06-28,36.93,37.41,36.93,37.27,1030000,0.0,0
2019-07-01,37.76,37.86,36.92,37.61,1314800,0.0,0
2019-07-02,37.49,37.79,37.17,37.79,865900,0.0,0
2019-07-03,37.73,38.24,37.67,38.14,402100,0.0,0
2019-07-05,37.87,37.93,37.58,37.79,524700,0.0,0
2019-07-08,37.7,37.74,37.08,37.21,715800,0.0,0
2019-07-09,37.03,37.17,36.68,36.83,1699100,0.0,0
2019-07-10,37.11,37.2,36.54,36.78,1064900,0.0,0
2019-07-11,36.82,36.85,36.03,36.76,675500,0.0,0
2019-07-12,36.96,37.92,36.96,37.86,808200,0.0,0
2019-07-15,37.62,37.86,37.29,37.55,1001400,0.0,0
2019-07-16,37.44,38.33,37.33,38.16,894700,0.0,0
2019-07-17,38.14,38.56,37.76,38.14,1960000,0.0,0
2019-07-18,38.12,38.55,37.93,38.41,1911700,0.0,0
2019-07-19,38.58,38.82,38.32,38.49,1310600,0.0,0
2019-07-22,38.54,38.75,38.27,38.4,1258200,0.0,0
2019-07-23,38.62,39.1,38.17,39.03,1243700,0.0,0
2019-07-24,37.76,38.8,37.12,38.57,2312700,0.0,0
2019-07-25,38.19,38.85,37.99,38.34,1718300,0.0,0
2019-07-26,38.35,38.84,37.79,38.18,2058400,0.0,0
2019-07-29,38.22,38.25,37.69,37.86,1964400,0.0,0
2019-07-30,37.82,40.19,36.91,39.14,3579100,0.0,0
2019-07-31,38.99,39.62,38.29,38.82,5459300,0.0,0
2019-08-01,38.87,39.42,37.73,37.76,1903700,0.0,0
2019-08-02,37.68,37.99,37.36,37.41,1247000,0.0,0
2019-08-05,36.92,37.39,36.28,36.54,1798500,0.0,0
2019-08-06,36.83,37.53,36.52,37.37,1665500,0.0,0
2019-08-07,36.75,38.14,36.75,37.95,1357900,0.0,0
2019-08-08,38.08,38.62,38.08,38.4,845300,0.0,0
2019-08-09,38.29,38.37,37.58,37.86,894000,0.0,0
2019-08-12,37.69,37.8,37.08,37.14,838800,0.0,0
2019-08-13,37.16,38.45,37.11,37.66,866800,0.0,0
2019-08-14,37.04,37.5,36.56,36.6,1366100,0.0,0
2019-08-15,36.69,36.81,36.33,36.5,1000500,0.0,0
2019-08-16,36.74,37.5,36.72,37.41,691200,0.0,0
2019-08-19,37.95,38.33,37.85,38.08,791400,0.0,0
2019-08-20,37.88,37.98,37.39,37.45,930300,0.0,0
2019-08-21,37.98,38.27,37.61,37.74,1064400,0.0,0
2019-08-22,37.88,38.17,37.45,37.96,801900,0.0,0
2019-08-23,37.72,37.73,35.68,35.8,1251400,0.0,0
2019-08-26,36.34,36.42,35.66,35.79,953300,0.0,0
2019-08-27,36.09,36.09,35.22,35.29,696600,0.0,0
2019-08-28,35.08,35.73,34.87,35.59,739300,0.0,0
2019-08-29,36.04,36.46,35.96,36.19,963700,0.0,0
2019-08-30,36.46,36.89,35.99,36.12,831400,0.0,0
2019-09-03,35.78,35.78,34.89,35.42,1073300,0.0,0
2019-09-04,35.71,35.99,35.49,35.72,788600,0.0,0
2019-09-05,36.29,37.36,36.14,37.2,1142300,0.0,0
2019-09-06,37.46,37.9,37.4,37.86,1069900,0.0,0
2019-09-09,38.14,39.34,37.98,39.26,1300400,0.0,0
2019-09-10,39.23,40.68,39.08,40.66,1565600,0.0,0
2019-09-11,40.46,40.88,39.84,40.84,1290200,0.0,0
2019-09-12,41.07,41.54,40.39,41.36,1458100,0.4,0
2019-09-13,41.36,42.0,41.17,41.32,966200,0.0,0
2019-09-16,40.99,41.3,40.81,41.06,687300,0.0,0
2019-09-17,40.93,41.14,40.41,41.06,503700,0.0,0
2019-09-18,40.8,41.3,40.56,41.15,883500,0.0,0
2019-09-19,41.26,41.26,40.4,40.48,821800,0.0,0
2019-09-20,40.55,40.65,39.9,40.02,2149300,0.0,0
2019-09-23,39.73,40.54,39.63,40.27,711800,0.0,0
2019-09-24,40.35,40.56,39.66,39.73,896100,0.0,0
2019-09-25,39.75,40.03,39.21,39.89,939500,0.0,0
2019-09-26,39.95,40.26,39.82,40.04,641900,0.0,0
2019-09-27,40.2,40.33,39.82,40.13,729600,0.0,0
2019-09-30,40.33,40.51,40.04,40.15,826300,0.0,0
2019-10-01,40.26,40.98,39.29,39.32,929700,0.0,0
2019-10-02,39.13,39.13,37.92,38.23,990600,0.0,0
2019-10-03,38.01,38.27,37.18,38.26,1068200,0.0,0
