Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,46.15,47.63,46.06,47.37,3970000,0.0,0
2019-03-22,47.23,48.2,46.89,47.64,4353800,0.0,0
2019-03-25,47.72,49.59,47.54,49.34,6248200,0.0,0
2019-03-26,49.35,49.61,48.53,49.5,6430400,0.0,0
2019-03-27,50.79,53.06,50.23,51.46,11146900,0.0,0
2019-03-28,51.18,51.4,49.53,49.55,6158400,0.0,0
2019-03-29,49.54,50.2,48.8,48.89,4429400,0.0,0
2019-04-01,48.74,49.23,47.93,48.71,4868700,0.0,0
2019-04-02,48.5,48.74,47.85,48.66,4264900,0.0,0
2019-04-03,48.97,49.98,48.6,49.6,3871900,0.0,0
2019-04-04,49.55,50.66,49.53,50.48,4140200,0.0,0
2019-04-05,51.01,51.55,50.79,51.46,3567500,0.0,0
2019-04-08,51.33,51.7,50.88,51.09,2291200,0.0,0
2019-04-09,50.8,50.99,49.93,50.02,3515800,0.0,0
2019-04-10,50.26,50.99,50.16,50.63,2660600,0.0,0
2019-04-11,50.66,51.15,50.53,51.09,2747100,0.0,0
2019-04-12,51.4,51.6,50.65,50.76,3742800,0.0,0
2019-04-15,50.93,51.14,50.46,50.93,2503100,0.0,0
2019-04-16,51.19,51.33,50.81,51.19,2037600,0.0,0
2019-04-17,50.94,51.82,50.74,51.69,2772500,0.0,0
2019-04-18,51.64,52.87,51.6,52.69,2888500,0.0,0
2019-04-22,52.46,52.58,51.61,51.87,2315400,0.0,0
2019-04-23,52.2,53.0,51.96,52.28,2658200,0.04,0
2019-04-24,52.39,52.92,52.08,52.45,2572700,0.0,0
2019-04-25,51.39,51.93,50.31,51.38,3095300,0.0,0
2019-04-26,51.45,51.94,51.2,51.85,2192200,0.0,0
2019-04-29,51.83,52.19,51.53,51.98,2704100,0.0,0
2019-04-30,51.8,52.07,51.56,51.85,3170600,0.0,0
2019-05-01,52.19,53.23,51.8,51.87,2933900,0.0,0
2019-05-02,52.01,52.83,51.61,52.18,2173100,0.0,0
2019-05-03,52.53,52.64,51.63,52.05,2136600,0.0,0
2019-05-06,51.59,51.86,51.14,51.67,3424100,0.0,0
2019-05-07,51.49,51.77,51.15,51.57,2907800,0.0,0
2019-05-08,51.57,51.75,50.9,50.96,1978600,0.0,0
2019-05-09,50.77,51.62,50.57,51.6,1266400,0.0,0
2019-05-10,51.58,51.92,50.97,51.68,1379200,0.0,0
2019-05-13,51.2,51.42,50.59,51.3,2198800,0.0,0
2019-05-14,51.26,53.11,51.0,52.57,2648300,0.0,0
2019-05-15,52.43,52.8,52.09,52.74,1946100,0.0,0
2019-05-16,53.08,54.31,52.97,53.48,2680500,0.0,0
2019-05-17,52.91,53.92,52.86,52.95,2021100,0.0,0
2019-05-20,52.82,53.09,51.54,51.63,2513300,0.0,0
2019-05-21,51.76,52.47,51.63,52.11,2382800,0.0,0
2019-05-22,51.14,52.37,51.08,51.58,1922400,0.0,0
2019-05-23,51.43,51.98,50.82,50.91,2636200,0.0,0
2019-05-24,51.23,51.73,51.07,51.73,1342900,0.0,0
2019-05-28,51.85,51.97,51.12,51.14,2361000,0.0,0
2019-05-29,51.17,51.66,50.06,50.38,2910400,0.0,0
2019-05-30,50.32,50.88,49.52,50.14,2417800,0.0,0
2019-05-31,49.76,50.0,48.96,49.49,2744500,0.0,0
2019-06-03,49.37,50.8,49.31,50.23,3383000,0.0,0
2019-06-04,50.69,51.44,50.37,51.23,3782100,0.0,0
2019-06-05,51.63,52.09,50.99,51.95,2958000,0.0,0
2019-06-06,52.13,53.22,51.9,52.5,2884300,0.0,0
2019-06-07,52.73,53.55,52.7,53.18,1610300,0.0,0
2019-06-10,53.24,53.68,52.14,52.6,1772700,0.0,0
2019-06-11,52.84,52.84,51.6,52.09,1454200,0.0,0
2019-06-12,51.97,52.89,51.85,51.91,1746600,0.0,0
2019-06-13,52.96,53.46,52.55,52.9,1774700,0.0,0
2019-06-14,52.77,53.69,52.64,53.37,1900100,0.0,0
2019-06-17,53.42,53.48,52.07,52.83,2029900,0.0,0
2019-06-18,52.71,53.34,51.68,52.31,2492000,0.0,0
2019-06-19,52.06,52.25,50.2,51.91,3733000,0.0,0
2019-06-20,52.54,52.79,51.83,52.55,2435400,0.0,0
2019-06-21,52.45,52.48,51.11,51.18,3376400,0.0,0
2019-06-24,51.37,51.95,50.78,51.24,3086000,0.0,0
2019-06-25,52.82,53.07,47.59,48.06,15278900,0.0,0
2019-06-26,47.59,48.28,46.93,47.39,5951000,0.0,0
