Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,153.42,156.94,153.07,156.3,410800,0,0
2019-03-22,155.98,158.07,153.33,154.32,584500,0,0
2019-03-25,154.1,154.1,152.09,152.92,574600,0,0
2019-03-26,153.21,154.05,150.33,151.14,853300,0,0
2019-03-27,150.48,151.44,148.77,150.91,866700,0,0
2019-03-28,150.96,151.75,148.98,150.62,385500,0,0
2019-03-29,151.24,153.36,151.24,152.98,494400,0,0
2019-04-01,154.05,155.07,153.22,154.79,605200,0,0
2019-04-02,157.73,158.57,156.27,157.58,1092800,0,0
2019-04-03,158.37,159.13,155.78,156.68,1166400,0,0
2019-04-04,156.88,157.57,156.36,157.45,442900,0,0
2019-04-05,157.97,159.64,157.61,158.98,593800,0,0
2019-04-08,158.76,158.99,157.17,158.77,415700,0,0
2019-04-09,158.65,159.31,157.44,157.64,533100,0,0
2019-04-10,157.82,159.77,157.25,159.61,572600,0,0
2019-04-11,160.0,160.24,157.31,157.87,422000,0,0
2019-04-12,158.63,160.43,157.39,157.45,609200,0,0
2019-04-15,157.92,159.74,157.31,159.07,615400,0,0
2019-04-16,160.19,160.19,152.32,152.61,1064200,0,0
2019-04-17,153.11,153.7,140.53,144.16,2374600,0,0
2019-04-18,144.2,147.77,142.93,145.22,1374000,0,0
2019-04-22,145.22,146.85,143.84,144.25,946400,0,0
2019-04-23,145.19,152.65,145.19,151.29,1122400,0,0
2019-04-24,151.13,155.13,150.89,153.96,791000,0,0
2019-04-25,153.23,155.13,151.75,154.72,558200,0,0
2019-04-26,154.89,155.04,153.26,154.62,1123600,0,0
2019-04-29,155.18,155.75,153.4,155.48,775100,0,0
2019-04-30,155.07,162.13,155.07,159.92,1800100,0,0
2019-05-01,161.01,162.38,157.21,161.16,1193800,0,0
2019-05-02,161.08,166.2,159.9,165.63,1382700,0,0
2019-05-03,166.3,167.93,162.41,164.95,1381400,0,0
2019-05-06,162.2,165.75,162.0,165.44,708000,0,0
2019-05-07,164.33,165.28,160.76,162.22,677700,0,0
2019-05-08,161.9,164.83,160.22,163.5,763600,0,0
2019-05-09,161.94,166.75,161.94,165.92,965000,0,0
2019-05-10,165.56,166.97,162.89,166.34,748200,0,0
2019-05-13,163.29,163.47,161.19,162.02,642300,0,0
2019-05-14,162.28,165.41,162.03,163.33,860900,0,0
2019-05-15,161.83,166.13,161.72,165.36,782700,0,0
2019-05-16,165.83,168.13,164.62,164.99,892300,0,0
2019-05-17,163.14,166.65,162.91,164.41,704600,0,0
2019-05-20,164.36,166.74,164.01,165.59,909700,0,0
2019-05-21,166.18,168.26,165.91,166.37,735900,0,0
2019-05-22,165.97,167.66,165.38,167.46,587900,0,0
2019-05-23,166.4,166.65,164.25,166.24,763500,0,0
2019-05-24,166.55,167.28,165.38,166.8,646700,0,0
2019-05-28,166.56,167.21,165.07,165.25,2195500,0,0
2019-05-29,165.0,165.0,162.6,163.7,595800,0,0
2019-05-30,164.02,164.97,162.17,163.37,405900,0,0
2019-05-31,161.99,163.58,160.74,162.61,749400,0,0
2019-06-03,162.88,166.01,162.88,163.68,520700,0,0
2019-06-04,165.0,166.72,163.03,166.43,629600,0,0
2019-06-05,167.6,167.6,161.38,166.84,806100,0,0
2019-06-06,166.9,168.61,165.47,167.23,704800,0,0
2019-06-07,168.33,168.75,166.24,166.98,481400,0,0
2019-06-10,167.67,169.5,167.05,167.44,495000,0,0
2019-06-11,168.64,169.31,165.6,166.61,494900,0,0
2019-06-12,166.28,166.66,163.83,166.47,683300,0,0
2019-06-13,166.5,168.09,165.42,168.01,578500,0,0
2019-06-14,168.5,168.5,165.73,166.39,725400,0,0
2019-06-17,166.91,167.86,166.08,166.13,483700,0,0
2019-06-18,167.61,168.47,165.92,166.09,513600,0,0
2019-06-19,167.06,169.64,166.01,169.5,526800,0,0
2019-06-20,170.0,170.47,166.99,167.99,552600,0,0
2019-06-21,169.66,171.74,169.18,170.8,1327200,0,0
2019-06-24,170.96,171.15,168.0,169.32,707000,0,0
2019-06-25,169.31,170.54,168.01,169.41,568200,0,0
2019-06-26,170.0,170.0,167.19,168.17,621800,0,0
2019-06-27,169.32,171.21,168.59,170.97,496400,0,0
