Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,171.16,172.62,170.53,171.91,1146300,0.0,0
2019-03-22,168.96,169.61,166.1,166.76,1384000,0.0,0
2019-03-25,167.85,168.78,166.47,166.9,1349700,0.0,0
2019-03-26,167.77,168.18,166.6,167.86,1408100,0.0,0
2019-03-27,166.37,166.95,165.61,166.39,1821400,0.0,0
2019-03-28,167.84,170.68,167.62,170.53,1892500,0.0,0
2019-03-29,172.15,172.89,170.71,172.72,2158100,0.0,0
2019-04-01,173.62,174.93,172.79,173.36,1791900,0.0,0
2019-04-02,174.1,174.93,173.47,174.77,1179700,0.0,0
2019-04-03,177.85,181.16,177.34,179.41,2379600,0.0,0
2019-04-04,180.22,180.68,179.09,180.55,1471400,0.0,0
2019-04-05,181.22,182.05,180.62,181.25,1403400,0.0,0
2019-04-08,182.51,182.53,180.79,181.47,1138500,0.0,0
2019-04-09,181.68,181.68,179.42,179.56,1388200,0.0,0
2019-04-10,180.05,180.24,176.54,177.72,2443700,0.0,0
2019-04-11,178.37,178.49,176.49,176.57,1916400,0.0,0
2019-04-12,177.5,177.83,176.85,177.06,1914500,0.0,0
2019-04-15,176.85,177.14,175.87,176.85,1448000,0.0,0
2019-04-16,176.8,177.39,175.54,177.33,1749700,0.0,0
2019-04-17,177.35,178.54,176.13,176.63,1663300,0.0,0
2019-04-18,176.84,177.49,176.39,177.11,1547300,0.0,0
2019-04-22,176.57,177.5,175.57,175.64,1002100,0.0,0
2019-04-23,175.39,176.44,175.29,176.06,1796500,0.0,0
2019-04-24,175.75,176.24,174.27,174.38,1780200,0.0,0
2019-04-25,173.01,173.53,171.73,173.07,2229900,0.0,0
2019-04-26,172.24,175.01,172.17,175.01,1483900,0.0,0
2019-04-29,173.57,175.01,173.27,173.87,1195400,0.0,0
2019-04-30,174.63,177.27,174.16,176.97,1404200,0.0,0
2019-05-01,176.61,177.9,174.76,175.04,1018300,0.0,0
2019-05-02,174.69,177.2,174.04,177.2,1691000,0.0,0
2019-05-03,176.4,178.16,175.97,177.66,1248900,0.0,0
2019-05-06,174.59,176.06,174.57,175.37,1407000,0.0,0
2019-05-07,173.36,173.64,169.76,171.39,2049600,0.0,0
2019-05-08,171.25,174.29,171.06,173.32,1264600,0.0,0
2019-05-09,170.04,171.52,168.47,170.19,1999500,0.0,0
2019-05-10,171.45,178.9,171.09,178.28,2511800,0.0,0
2019-05-13,176.46,177.71,174.58,177.39,2328500,0.0,0
2019-05-14,177.02,179.03,176.5,177.62,2029300,0.0,0
2019-05-15,175.31,179.04,175.07,177.56,1184200,0.0,0
2019-05-16,181.71,185.52,181.14,184.23,1866600,0.0,0
2019-05-17,184.76,186.0,183.48,185.55,1737900,0.0,0
2019-05-20,182.61,183.76,181.28,181.88,1383700,0.0,0
2019-05-21,183.35,184.02,182.76,183.85,1051500,0.0,0
2019-05-22,184.44,186.26,183.77,184.81,1334800,0.0,0
2019-05-23,182.5,183.63,181.11,181.7,1318500,0.0,0
2019-05-24,183.95,184.72,182.46,184.43,1025300,0.0,0
2019-05-28,183.53,184.36,180.38,180.95,1483100,0.0,0
2019-05-29,178.15,179.79,177.91,179.67,1405400,0.0,0
2019-05-30,179.58,180.85,179.44,180.07,1042000,0.0,0
2019-05-31,177.86,178.96,177.44,178.11,1757200,0.875,0
2019-06-03,179.01,184.87,178.75,184.75,2882600,0.0,0
2019-06-04,185.27,188.76,183.17,188.76,3115200,0.0,0
2019-06-05,188.76,190.19,187.91,190.14,3708800,0.0,0
2019-06-06,191.68,195.38,191.07,194.68,3468200,0.0,0
2019-06-07,197.44,198.39,194.96,197.34,3613300,0.0,0
2019-06-10,197.41,199.27,195.55,197.71,1197400,0.0,0
2019-06-11,198.48,199.09,197.02,198.07,1720000,0.0,0
2019-06-12,198.85,199.54,198.25,198.96,1956300,0.0,0
2019-06-13,200.73,201.13,198.91,200.0,2855100,0.0,0
2019-06-14,199.92,200.48,198.7,199.97,1524000,0.0,0
2019-06-17,200.18,200.86,198.32,198.54,1757200,0.0,0
2019-06-18,201.42,201.99,199.97,201.26,2006900,0.0,0
2019-06-19,199.5,199.73,196.45,197.88,1944700,0.0,0
2019-06-20,200.89,200.95,198.77,199.6,1703300,0.0,0
2019-06-21,199.9,200.24,199.3,199.4,3770300,0.0,0
2019-06-24,199.75,201.11,199.3,200.63,1092500,0.0,0
2019-06-25,201.56,201.56,199.97,200.06,1118800,0.0,0
2019-06-26,199.32,199.57,197.85,197.89,1369900,0.0,0
2019-06-27,196.01,197.24,195.77,196.83,1532100,0.0,0
2019-06-28,196.9,198.99,196.43,198.08,6440600,0.0,0
2019-07-01,200.27,200.44,198.78,200.25,1113300,0.0,0
2019-07-02,199.28,201.21,198.8,200.79,1722400,0.0,0
2019-07-03,199.27,200.86,198.98,200.86,939500,0.0,0
2019-07-05,198.38,200.42,197.39,199.69,1741300,0.0,0
2019-07-08,198.33,200.88,198.16,198.94,1277100,0.0,0
2019-07-09,199.68,199.87,197.99,198.25,1160700,0.0,0
2019-07-10,199.35,199.91,198.73,199.04,1062000,0.0,0
2019-07-11,198.71,200.31,198.31,200.07,1225200,0.0,0
2019-07-12,201.0,201.95,200.23,201.22,1027600,0.0,0
2019-07-15,201.43,202.33,200.95,201.31,869000,0.0,0
2019-07-16,201.37,202.77,199.71,199.85,1073700,0.0,0
2019-07-17,200.79,201.09,199.03,199.09,986700,0.0,0
2019-07-18,200.06,200.92,199.09,200.88,1067500,0.0,0
2019-07-19,200.24,201.84,199.89,200.63,1228300,0.0,0
2019-07-22,201.82,202.22,200.42,200.83,653400,0.0,0
2019-07-23,202.06,204.02,201.43,204.02,1064800,0.0,0
2019-07-24,201.3,201.43,199.46,200.01,1102800,0.0,0
2019-07-25,197.68,197.96,193.87,197.19,2084900,0.0,0
2019-07-26,196.73,198.43,196.62,198.24,1191200,0.0,0
2019-07-29,197.07,197.5,196.55,197.07,1468200,0.0,0
2019-07-30,193.16,195.11,193.1,193.84,2466300,0.0,0
2019-07-31,193.26,193.54,186.43,188.69,4160900,0.0,0
2019-08-01,187.04,190.88,186.6,187.84,3762800,0.0,0
2019-08-02,186.23,186.49,183.32,185.17,2556900,0.0,0
2019-08-05,187.43,190.48,186.66,188.05,3074800,0.0,0
2019-08-06,187.73,187.75,183.38,186.21,2352000,0.0,0
2019-08-07,184.52,188.82,184.1,188.2,2078900,0.0,0
2019-08-08,187.9,190.81,187.43,190.0,1927100,0.0,0
2019-08-09,187.36,190.19,187.15,189.37,1600200,0.0,0
2019-08-12,190.41,192.01,189.41,189.6,1621600,0.0,0
2019-08-13,189.53,192.96,188.91,190.29,1678700,0.0,0
2019-08-14,186.25,187.74,182.98,183.13,2441100,0.0,0
2019-08-15,183.2,184.95,182.57,184.11,1508300,0.0,0
2019-08-16,184.15,186.57,184.04,186.24,1198900,0.0,0
2019-08-19,186.68,187.75,185.76,186.55,1232100,0.0,0
2019-08-20,185.68,186.44,183.78,185.15,1364200,0.0,0
2019-08-21,186.75,187.38,186.06,186.19,1074700,0.0,0
2019-08-22,186.0,186.44,184.09,184.6,1446700,0.0,0
2019-08-23,183.13,184.83,179.14,181.77,2119700,0.0,0
2019-08-26,182.74,182.93,181.34,182.42,1226800,0.0,0
2019-08-27,183.58,183.88,181.88,182.24,1477100,0.0,0
2019-08-28,182.19,183.41,181.37,182.47,1122700,0.0,0
2019-08-29,185.59,185.89,184.54,185.12,1458900,0.0,0
2019-08-30,186.82,187.55,185.74,187.23,1686800,0.875,0
2019-09-03,185.6,186.46,184.54,185.56,1370200,0.0,0
2019-09-04,186.36,187.22,184.85,185.89,1210400,0.0,0
2019-09-05,187.02,187.81,185.43,185.43,1911200,0.0,0
2019-09-06,186.84,188.6,186.3,187.83,1066700,0.0,0
2019-09-09,186.42,186.76,183.38,183.56,2862300,0.0,0
2019-09-10,182.47,184.07,181.63,184.07,1788900,0.0,0
2019-09-11,184.02,186.06,183.46,185.94,1292100,0.0,0
2019-09-12,188.95,190.9,187.63,189.86,1640200,0.0,0
2019-09-13,190.78,191.98,190.27,190.45,1717100,0.0,0
2019-09-16,189.89,190.09,186.08,186.84,1263900,0.0,0
2019-09-17,188.64,191.48,188.06,190.53,1186700,0.0,0
2019-09-18,191.73,191.94,189.3,190.94,1694800,0.0,0
2019-09-19,193.95,194.37,192.19,192.51,1601500,0.0,0
2019-09-20,193.75,194.5,191.38,192.38,2475500,0.0,0
2019-09-23,190.93,192.27,190.83,191.8,859600,0.0,0
2019-09-24,191.45,192.11,189.15,189.81,1539800,0.0,0
2019-09-25,188.94,191.15,188.63,190.54,852100,0.0,0
2019-09-26,191.32,191.49,189.77,190.59,1345600,0.0,0
2019-09-27,190.45,191.03,188.88,189.84,873900,0.0,0
2019-09-30,190.8,192.51,190.47,191.99,1027200,0.0,0
2019-10-01,192.2,192.29,186.77,186.87,1127500,0.0,0
2019-10-02,184.27,184.34,180.44,182.47,1996200,0.0,0
2019-10-03,182.22,183.33,180.66,183.0,955600,0.0,0
