Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,124.11,126.16,123.87,125.51,5704300,0.0,0
2019-03-22,125.92,126.65,124.65,125.5,15332900,0.0,0
2019-03-25,125.8,127.73,125.6,127.03,5972800,0.0,0
2019-03-26,127.39,129.24,126.87,128.16,5872900,0.0,0
2019-03-27,128.1,128.69,125.71,125.96,7675100,0.0,0
2019-03-28,126.51,127.06,126.05,126.13,6112900,0.0,0
2019-03-29,126.19,127.1,126.16,126.93,5729100,0.0,0
2019-04-01,127.85,128.48,126.23,126.23,5132300,0.0,0
2019-04-02,126.22,126.74,125.44,126.49,3214600,0.0,0
2019-04-03,126.29,126.43,124.07,124.27,4425300,0.0,0
2019-04-04,124.56,124.57,121.89,122.87,5539800,0.0,0
2019-04-05,123.73,124.24,122.87,124.22,4656400,0.0,0
2019-04-08,123.74,124.5,123.34,124.38,3430900,0.0,0
2019-04-09,123.99,125.32,123.83,124.46,4215600,0.0,0
2019-04-10,124.77,125.17,124.16,124.41,4227100,0.0,0
2019-04-11,124.09,124.54,121.79,122.42,5520700,0.0,0
2019-04-12,122.5,122.5,120.33,120.37,5470400,0.0,0
2019-04-15,121.07,121.63,120.47,121.37,4549100,0.0,0
2019-04-16,122.2,122.2,117.17,117.34,6573400,0.0,0
2019-04-17,117.38,117.44,113.36,113.95,14842800,0.0,0
2019-04-18,113.69,114.1,111.65,112.68,9805800,0.0,0
2019-04-22,112.53,113.05,111.17,112.95,7519700,0.0,0
2019-04-23,113.5,115.31,112.91,114.92,5891500,0.0,0
2019-04-24,115.71,115.84,114.67,115.42,4254100,0.0,0
2019-04-25,115.18,116.09,114.2,115.65,3425000,0.0,0
2019-04-26,116.23,117.3,116.08,117.25,3372500,0.0,0
2019-04-29,117.28,117.39,116.64,116.99,4097200,0.0,0
2019-04-30,114.06,114.58,112.4,114.48,7548300,0.0,0
2019-05-01,114.49,116.92,114.01,115.6,5392100,0.0,0
2019-05-02,115.85,115.98,114.31,115.87,4168800,0.0,0
2019-05-03,115.85,115.85,113.99,114.36,5695500,0.0,0
2019-05-06,113.29,114.52,112.78,114.1,5952100,0.0,0
2019-05-07,113.76,113.95,111.96,112.43,5127200,0.0,0
2019-05-08,113.32,114.34,112.71,113.71,2992600,0.0,0
2019-05-09,113.33,113.61,112.27,113.27,5818900,0.0,0
2019-05-10,113.1,113.78,111.72,113.68,3660500,0.0,0
2019-05-13,112.35,112.67,111.38,111.87,4284600,0.0,0
2019-05-14,112.22,113.01,112.03,112.43,3668400,0.0,0
2019-05-15,112.73,113.31,111.82,113.09,3724400,0.0,0
2019-05-16,112.7,115.75,112.7,114.82,3914100,0.645,0
2019-05-17,113.81,114.74,113.34,114.11,3109800,0.0,0
2019-05-20,113.97,114.4,113.12,114.33,3042800,0.0,0
2019-05-21,115.13,115.86,114.62,114.67,2611100,0.0,0
2019-05-22,114.22,116.45,114.22,116.05,3934200,0.0,0
2019-05-23,115.83,116.03,114.57,114.9,3653500,0.0,0
2019-05-24,115.61,115.63,114.54,114.88,2086400,0.0,0
2019-05-28,115.17,116.47,113.81,113.87,5007200,0.0,0
2019-05-29,113.72,113.91,112.56,113.6,5915800,0.0,0
2019-05-30,113.6,114.4,113.08,114.0,2392800,0.0,0
2019-05-31,113.45,115.66,113.11,114.04,6098400,0.0,0
2019-06-03,114.62,115.79,114.14,114.86,4722000,0.0,0
2019-06-04,116.15,116.98,115.49,115.64,3122700,0.0,0
2019-06-05,116.1,116.44,114.62,115.11,4175800,0.0,0
2019-06-06,115.6,116.99,115.35,115.58,3882800,0.0,0
2019-06-07,116.26,116.99,115.96,116.41,2726300,0.0,0
2019-06-10,114.1,114.1,112.02,112.07,8172400,0.0,0
2019-06-11,112.9,113.7,110.02,110.37,5681200,0.0,0
2019-06-12,110.66,113.61,110.66,113.35,3793800,0.0,0
2019-06-13,113.51,113.51,108.8,109.99,8477300,0.0,0
2019-06-14,110.3,110.41,109.19,109.91,3188100,0.0,0
2019-06-17,109.81,111.56,109.52,111.54,3032300,0.0,0
2019-06-18,111.79,112.95,111.37,112.77,2868700,0.0,0
2019-06-19,113.14,114.09,112.47,113.34,3320600,0.0,0
2019-06-20,114.45,115.15,113.37,113.67,2840100,0.0,0
2019-06-21,113.85,114.03,112.93,113.6,4024600,0.0,0
2019-06-24,113.2,114.25,112.83,113.74,2570500,0.0,0
2019-06-25,113.62,114.92,113.29,113.47,2110100,0.0,0
2019-06-26,112.93,113.07,108.81,109.52,4677500,0.0,0
2019-06-27,109.91,110.37,109.34,109.65,3615900,0.0,0
2019-06-28,109.97,110.0,108.22,108.98,8958700,0.0,0
2019-07-01,109.49,110.99,108.83,110.9,3236400,0.0,0
2019-07-02,110.97,112.34,110.56,112.33,2343400,0.0,0
2019-07-03,112.99,113.58,111.92,112.55,3707700,0.0,0
