Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,288.2,292.79,287.84,291.76,1145700,0.0,0
2019-03-22,290.43,291.16,286.75,286.88,942800,0.0,0
2019-03-25,287.27,288.64,285.43,286.98,779700,0.0,0
2019-03-26,288.91,290.38,285.59,287.77,882300,0.0,0
2019-03-27,288.45,290.66,285.75,286.82,835600,0.0,0
2019-03-28,287.87,288.76,286.53,288.43,567100,0.0,0
2019-03-29,290.28,293.3,289.54,292.88,1212000,0.0,0
2019-04-01,295.22,298.68,294.52,296.91,1153900,0.0,0
2019-04-02,297.47,299.34,295.52,295.75,872600,0.0,0
2019-04-03,296.24,297.02,288.96,290.06,1178300,0.0,0
2019-04-04,290.93,294.72,290.66,292.4,789500,0.0,0
2019-04-05,292.63,295.32,292.44,295.24,705200,0.0,0
2019-04-08,294.66,298.44,293.38,298.24,1121400,0.0,0
2019-04-09,296.98,297.19,293.88,295.34,867100,0.0,0
2019-04-10,294.9,295.01,290.12,291.86,1226200,0.0,0
2019-04-11,292.95,298.41,292.72,298.18,829500,0.0,0
2019-04-12,299.55,302.26,298.61,302.19,891800,0.0,0
2019-04-15,302.44,302.48,300.08,301.22,864800,0.0,0
2019-04-16,301.72,303.09,300.63,302.54,833900,0.0,0
2019-04-17,303.67,304.85,302.26,302.97,1041400,0.0,0
2019-04-18,303.48,306.94,301.96,306.64,1107100,0.0,0
2019-04-22,306.63,308.59,305.67,307.61,1319000,0.0,0
2019-04-23,318.6,329.14,316.65,325.02,3425800,0.0,0
2019-04-24,325.8,327.63,319.89,322.11,2089900,0.0,0
2019-04-25,322.24,326.12,320.49,320.89,1506500,0.0,0
2019-04-26,321.6,322.73,319.14,320.36,873200,0.0,0
2019-04-29,320.43,323.12,319.27,320.62,969100,0.0,0
2019-04-30,321.53,325.76,320.49,325.24,990000,0.0,0
2019-05-01,326.14,329.03,323.54,323.8,1104300,0.0,0
2019-05-02,323.96,324.63,320.28,324.48,962300,0.0,0
2019-05-03,325.49,327.5,323.16,325.97,806700,0.0,0
2019-05-06,322.48,328.37,322.16,327.58,812800,0.0,0
2019-05-07,326.62,326.62,320.86,322.87,1176400,0.0,0
2019-05-08,322.87,328.71,322.34,326.07,1083800,0.0,0
2019-05-09,325.9,332.07,323.89,331.13,1496500,0.0,0
2019-05-10,329.22,333.33,327.14,333.07,1204900,0.0,0
2019-05-13,327.12,331.51,325.12,327.23,1504000,0.0,0
2019-05-14,327.86,332.65,326.63,328.01,1171600,0.0,0
2019-05-15,327.16,327.57,321.93,326.04,1127000,0.0,0
2019-05-16,327.77,331.41,326.73,331.16,1092100,0.0,0
2019-05-17,328.3,332.68,328.3,329.79,1268400,0.0,0
2019-05-20,329.06,335.94,329.06,333.71,1388200,0.0,0
2019-05-21,335.26,336.43,331.26,335.61,1097800,0.0,0
2019-05-22,334.96,334.96,331.63,333.02,1049300,0.0,0
