Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,173.16,183.8,173.16,181.05,3103300,0.0,0
2019-03-22,179.58,181.68,176.3,176.76,2204500,0.0,0
2019-03-25,176.35,178.09,174.28,176.41,1273400,0.0,0
2019-03-26,177.05,179.97,176.32,177.35,1649900,0.0,0
2019-03-27,177.47,178.09,174.45,174.98,1390500,0.0,0
2019-03-28,175.11,176.31,171.5,173.05,1665600,0.0,0
2019-03-29,175.11,177.1,174.43,176.33,1583000,0.0,0
2019-04-01,179.28,182.24,178.73,181.94,1798700,0.0,0
2019-04-02,182.3,183.03,180.28,181.5,1361800,0.0,0
2019-04-03,184.82,190.19,183.44,188.67,3245000,0.0,0
2019-04-04,186.75,190.92,186.48,188.17,2142700,0.0,0
2019-04-05,190.32,192.86,189.13,192.23,2146700,0.0,0
2019-04-08,190.7,191.71,188.48,190.68,1713200,0.0,0
2019-04-09,188.95,189.08,186.34,187.61,1734700,0.0,0
2019-04-10,186.96,188.74,185.78,187.98,1450500,0.0,0
2019-04-11,188.45,190.57,187.65,188.45,1194200,0.0,0
2019-04-12,191.2,192.38,189.59,191.17,1161900,0.0,0
2019-04-15,190.49,190.49,187.11,189.92,1419300,0.0,0
2019-04-16,191.59,193.93,190.97,191.71,1551400,0.0,0
2019-04-17,194.39,195.01,191.38,193.35,1693600,0.0,0
2019-04-18,193.79,194.33,191.56,191.85,1409800,0.0,0
2019-04-22,193.35,193.8,190.2,192.3,1177100,0.0,0
2019-04-23,192.08,193.3,190.51,191.86,2048600,0.0,0
2019-04-24,192.23,196.99,191.68,192.51,2601800,0.0,0
2019-04-25,199.96,206.36,199.47,202.01,4758300,0.0,0
2019-04-26,199.96,204.09,196.61,203.3,2865200,0.0,0
2019-04-29,203.64,204.62,201.32,203.03,1607700,0.0,0
2019-04-30,203.14,205.68,202.22,204.33,1604300,0.0,0
2019-05-01,204.93,205.91,200.84,200.91,1136900,0.0,0
2019-05-02,200.91,204.28,200.36,203.74,1340100,0.0,0
2019-05-03,204.29,205.68,203.08,204.67,1257800,0.0,0
2019-05-06,197.33,202.21,195.78,201.48,1283000,0.0,0
2019-05-07,197.88,198.89,191.93,196.95,2934200,0.0,0
2019-05-08,195.53,198.68,194.14,196.72,1555100,0.0,0
2019-05-09,193.07,196.98,190.14,195.66,1939000,0.0,0
2019-05-10,194.14,196.51,191.02,194.94,1756100,0.0,0
2019-05-13,188.44,189.14,184.14,185.48,2856300,0.0,0
2019-05-14,187.61,191.16,186.63,189.56,1656300,0.0,0
2019-05-15,188.3,194.94,187.8,192.55,1608700,0.0,0
2019-05-16,189.17,193.54,187.81,191.55,1761200,0.0,0
2019-05-17,190.2,197.01,190.11,191.25,2444200,0.0,0
2019-05-20,185.82,186.81,180.0,180.92,3244100,0.0,0
2019-05-21,183.82,185.79,182.71,184.11,2031400,0.0,0
2019-05-22,182.61,185.71,182.38,184.38,1132500,0.0,0
2019-05-23,181.05,183.1,179.54,182.67,1849200,0.0,0
2019-05-24,183.98,185.17,178.98,179.18,2138200,0.0,0
2019-05-28,180.79,181.25,175.98,176.24,2552600,0.0,0
2019-05-29,174.48,175.73,172.09,174.94,2566200,0.0,0
2019-05-30,175.29,179.47,174.86,175.95,1263000,0.0,0
2019-05-31,173.67,176.89,171.92,172.0,1576600,0.0,0
2019-06-03,172.85,174.79,168.48,169.85,2412600,0.0,0
2019-06-04,171.93,178.09,170.17,177.72,2398600,0.0,0
2019-06-05,178.45,180.42,176.25,179.59,1946800,0.0,0
2019-06-06,179.62,182.48,178.93,181.88,1589000,0.0,0
2019-06-07,182.85,186.43,181.87,183.89,1619400,0.0,0
2019-06-10,185.27,190.87,185.27,188.31,1689000,0.0,0
2019-06-11,193.1,193.48,187.62,188.16,1477900,1.1,0
2019-06-12,181.67,182.51,177.16,178.21,2685000,0.0,0
2019-06-13,179.16,180.52,177.09,178.52,1648400,0.0,0
2019-06-14,174.69,175.82,171.89,175.16,2187600,0.0,0
2019-06-17,175.15,175.15,170.78,170.91,1972200,0.0,0
2019-06-18,173.36,182.34,172.81,178.77,2369800,0.0,0
2019-06-19,179.98,181.67,177.76,179.74,1233900,0.0,0
2019-06-20,183.36,184.76,180.67,182.26,1126800,0.0,0
2019-06-21,181.0,183.29,180.74,181.33,1991600,0.0,0
2019-06-24,180.4,181.27,178.94,179.59,1678400,0.0,0
