Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,48.99,50.3,48.99,50.01,5574100,0.0,0
2019-03-22,49.7,49.8,48.59,48.61,4834900,0.0,0
2019-03-25,48.55,48.83,47.83,47.99,4501800,0.0,0
2019-03-26,48.15,48.77,47.88,48.05,3821400,0.0,0
2019-03-27,47.81,49.53,47.81,49.12,8071800,0.0,0
2019-03-28,49.09,49.99,49.01,49.73,7368900,0.0,0
2019-03-29,49.86,51.35,49.73,51.17,6669600,0.0,0
2019-04-01,51.52,52.29,51.27,51.66,6312900,0.0,0
2019-04-02,52.41,52.66,51.4,51.96,4412800,0.0,0
2019-04-03,52.19,52.75,52.06,52.13,3098300,0.0,0
2019-04-04,52.49,52.54,51.46,52.42,2799500,0.0,0
2019-04-05,52.49,52.96,52.3,52.49,2531800,0.0,0
2019-04-08,51.51,51.75,50.93,51.2,7001700,0.0,0
2019-04-09,50.89,51.33,50.64,51.15,3380600,0.0,0
2019-04-10,51.82,52.0,50.98,51.87,3910700,0.0,0
2019-04-11,51.99,52.74,51.94,52.24,3287100,0.0,0
2019-04-12,52.51,52.87,51.96,52.37,2738400,0.0,0
2019-04-15,52.3,52.3,51.53,51.54,2524600,0.0,0
2019-04-16,51.51,52.21,51.24,52.02,2941000,0.0,0
2019-04-17,52.63,52.86,51.72,52.0,2571000,0.0,0
2019-04-18,51.91,52.01,51.16,51.43,3342100,0.0,0
2019-04-22,51.12,51.32,50.72,50.97,2971500,0.0,0
2019-04-23,51.04,52.16,50.82,52.03,3600000,0.0,0
2019-04-24,52.15,52.28,51.64,52.17,4074200,0.0,0
2019-04-25,52.36,54.07,51.89,52.59,7115900,0.0,0
2019-04-26,52.49,52.78,52.18,52.22,3939400,0.0,0
2019-04-29,52.23,53.3,51.98,53.06,4029400,0.0,0
2019-04-30,53.16,53.78,52.75,53.45,3861000,0.0,0
2019-05-01,53.82,53.83,53.09,53.13,2514200,0.0,0
2019-05-02,53.22,53.71,52.6,52.61,2903900,0.0,0
2019-05-03,52.75,53.16,52.53,52.85,2502100,0.0,0
2019-05-06,52.05,52.84,51.96,52.71,2307600,0.0,0
2019-05-07,52.28,52.36,50.71,51.46,4893900,0.0,0
2019-05-08,51.15,52.13,50.87,51.66,3464800,0.0,0
2019-05-09,51.16,51.77,51.06,51.71,2749100,0.0,0
2019-05-10,51.4,52.12,50.45,51.98,2564700,0.0,0
2019-05-13,51.03,51.1,50.05,50.31,3285700,0.0,0
2019-05-14,50.39,51.2,50.17,50.91,2616100,0.0,0
2019-05-15,50.28,51.69,49.98,51.27,3086600,0.0,0
2019-05-16,51.42,52.25,51.26,51.84,3176100,0.0,0
2019-05-17,51.31,52.22,51.21,51.49,2173200,0.0,0
2019-05-20,51.04,51.76,50.99,51.27,2658200,0.0,0
2019-05-21,51.8,52.67,51.65,52.61,3471400,0.0,0
2019-05-22,52.48,52.75,51.77,51.82,3192000,0.0,0
2019-05-23,51.3,51.3,49.64,50.23,5438200,0.0,0
