Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,81.81,85.09,81.66,83.76,2534400,0.0,0
2019-03-22,83.01,83.2,80.58,80.69,2473000,0.0,0
2019-03-25,80.73,81.13,78.91,79.17,2237600,0.0,0
2019-03-26,80.12,80.54,79.03,79.97,2071400,0.0,0
2019-03-27,80.24,80.62,78.58,79.19,2373100,0.0,0
2019-03-28,79.6,79.97,78.83,79.54,2250500,0.0,0
2019-03-29,79.24,79.97,78.88,79.75,2184500,0.0,0
2019-04-01,80.68,82.77,80.62,82.68,2244700,0.0,0
2019-04-02,82.68,85.17,82.11,84.76,3851600,0.0,0
2019-04-03,85.76,87.16,85.29,85.91,3456300,0.0,0
2019-04-04,85.66,87.89,85.5,87.45,2563200,0.0,0
2019-04-05,87.76,88.43,85.83,86.37,4842500,0.0,0
2019-04-08,86.56,87.2,86.08,86.62,1726300,0.0,0
2019-04-09,86.1,86.37,85.14,85.6,1329100,0.0,0
2019-04-10,85.98,86.17,84.21,84.95,2170200,0.0,0
2019-04-11,85.18,86.12,84.95,85.85,1820900,0.0,0
2019-04-12,88.15,90.29,86.51,87.53,4059000,0.0,0
2019-04-15,88.41,88.99,87.45,87.47,3238600,0.0,0
2019-04-16,87.64,87.64,86.3,87.42,1848500,0.0,0
2019-04-17,87.9,88.47,87.01,87.03,1546500,0.0,0
2019-04-18,87.12,87.33,85.82,87.06,2124800,0.0,0
2019-04-22,87.46,88.07,86.83,87.25,1459900,0.0,0
2019-04-23,87.15,87.7,86.68,87.27,2094000,0.0,0
2019-04-24,87.39,87.4,85.51,85.92,2292400,0.0,0
2019-04-25,85.97,86.01,83.57,84.09,2506300,0.0,0
2019-04-26,83.14,84.38,82.3,83.48,3376800,0.0,0
2019-04-29,83.35,84.93,82.67,84.5,2855000,0.0,0
2019-04-30,84.66,85.19,82.87,83.68,3103000,0.0,0
2019-05-01,83.74,84.55,81.91,82.01,2479200,0.0,0
2019-05-02,81.72,83.29,80.64,81.53,3105000,0.0,0
2019-05-03,82.03,82.71,81.66,82.54,1249900,0.0,0
2019-05-06,81.1,81.27,80.22,80.82,1706800,0.0,0
2019-05-07,79.68,80.1,78.5,78.96,2522300,0.0,0
2019-05-08,78.87,79.46,78.67,78.71,2312000,0.0,0
2019-05-09,77.86,77.94,76.36,77.76,2168600,0.0,0
2019-05-10,77.82,78.76,76.98,78.4,1817700,0.0,0
2019-05-13,76.88,77.14,74.85,75.78,2740500,0.0,0
2019-05-14,76.03,76.92,76.03,76.37,1844400,0.0,0
2019-05-15,75.89,76.94,75.28,76.58,1691900,0.0,0
2019-05-16,77.31,77.98,77.04,77.59,2199600,0.0,0
2019-05-17,76.64,77.08,75.68,76.02,1727500,0.0,0
2019-05-20,75.4,76.49,75.31,75.75,1812500,0.0,0
2019-05-21,76.27,77.77,76.01,77.38,2201500,0.0,0
2019-05-22,77.03,77.03,76.04,76.49,1746500,0.0,0
2019-05-23,75.08,75.7,74.45,74.6,2226900,0.0,0
2019-05-24,75.34,75.42,73.26,73.91,3127600,0.0,0
2019-05-28,74.11,74.37,72.86,73.02,3613000,0.0,0
2019-05-29,72.22,73.94,72.15,73.77,1966500,0.0,0
2019-05-30,73.97,74.43,73.34,73.42,1788500,0.0,0
2019-05-31,72.62,73.05,70.13,70.42,3502100,0.0,0
2019-06-03,70.6,73.72,70.47,73.69,3602800,0.0,0
2019-06-04,76.91,79.43,75.43,77.82,5669900,0.0,0
2019-06-05,77.89,78.08,75.93,76.81,3289800,0.0,0
2019-06-06,76.75,76.79,74.78,76.22,3788000,0.0,0
2019-06-07,76.79,76.82,75.75,76.13,2824300,1.05,0
2019-06-10,80.11,81.19,79.34,80.39,5315700,0.0,0
2019-06-11,81.48,82.24,80.94,81.22,4841100,0.0,0
2019-06-12,81.47,82.5,81.07,82.06,3385100,0.0,0
2019-06-13,82.52,83.3,82.26,83.02,3959300,0.0,0
2019-06-14,82.81,83.5,82.29,83.13,2409500,0.0,0
2019-06-17,81.79,82.91,81.46,82.37,3514300,0.0,0
2019-06-18,83.19,83.48,82.49,83.18,3223900,0.0,0
2019-06-19,83.61,83.69,82.52,82.85,2037400,0.0,0
2019-06-20,83.85,83.96,82.77,83.22,3600600,0.0,0
2019-06-21,82.73,83.91,82.64,83.09,5262100,0.0,0
2019-06-24,82.84,83.92,82.74,83.57,2564100,0.0,0
2019-06-25,83.55,83.8,82.86,83.2,2509500,0.0,0
2019-06-26,83.13,83.87,82.88,82.91,3556400,0.0,0
2019-06-27,83.13,83.8,82.99,83.26,2986500,0.0,0
2019-06-28,83.36,83.66,82.76,82.77,6872900,0.0,0
2019-07-01,83.51,84.28,83.29,83.88,2734100,0.0,0
2019-07-02,83.92,84.05,83.18,83.69,5112900,0.0,0
2019-07-03,83.72,84.09,83.6,83.95,2584100,0.0,0
2019-07-05,83.71,84.05,83.49,84.01,6004700,0.0,0
2019-07-08,83.86,84.23,83.75,83.97,10150600,0.0,0
2019-07-09,84.81,84.94,80.92,81.35,12137500,0.0,0
2019-07-10,81.5,81.92,80.4,80.8,3495200,0.0,0
2019-07-11,81.0,81.75,80.45,81.61,2845300,0.0,0
2019-07-12,81.6,82.95,81.6,82.7,2791100,0.0,0
2019-07-15,82.56,83.05,81.32,82.53,3588700,0.0,0
2019-07-16,82.77,85.53,82.57,84.38,3233100,0.0,0
2019-07-17,84.29,84.29,82.38,82.39,2087200,0.0,0
2019-07-18,82.29,83.39,82.17,82.38,1984600,0.0,0
2019-07-19,82.18,83.18,81.75,82.57,7691300,0.0,0
2019-07-22,82.06,82.5,80.52,80.94,3094400,0.0,0
2019-07-23,81.01,82.98,80.97,82.79,1836800,0.0,0
2019-07-24,82.46,83.82,82.36,82.99,2037400,0.0,0
2019-07-25,83.21,83.21,81.17,82.18,2033300,0.0,0
2019-07-26,81.89,82.62,81.07,82.01,1936000,0.0,0
2019-07-29,81.72,82.21,80.52,80.6,1784600,0.0,0
2019-07-30,79.89,81.18,79.41,81.1,1626600,0.0,0
2019-07-31,80.86,81.94,79.78,80.43,3326700,0.0,0
2019-08-01,80.2,81.26,77.69,78.31,2791800,0.0,0
2019-08-02,76.89,77.01,73.03,73.17,4480500,0.0,0
2019-08-05,72.5,74.33,72.26,73.34,3541400,0.0,0
2019-08-06,74.16,74.72,71.98,72.85,3785300,0.0,0
2019-08-07,71.86,73.15,71.65,72.98,2600700,0.0,0
2019-08-08,73.76,74.97,73.75,74.12,2706200,0.0,0
2019-08-09,73.88,73.93,72.07,72.48,2497300,0.0,0
2019-08-12,71.99,72.43,70.04,70.09,2153600,0.0,0
2019-08-13,69.51,73.83,69.5,72.66,3259900,0.0,0
2019-08-14,71.12,71.5,69.69,69.88,2495000,0.0,0
2019-08-15,70.52,70.64,69.03,69.77,1922900,0.0,0
2019-08-16,70.07,71.51,69.83,71.36,1893100,0.0,0
