Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,63.08,64.7,62.86,64.28,1422300,0,0
2019-03-22,64.15,64.37,62.29,62.95,1153700,0,0
2019-03-25,62.79,63.22,61.82,62.82,746100,0,0
2019-03-26,62.96,63.62,62.74,63.31,1236300,0,0
2019-03-27,63.49,63.86,62.56,63.33,1527400,0,0
2019-03-28,63.52,63.98,63.25,63.9,1031000,0,0
2019-03-29,64.5,64.5,63.43,63.54,1035400,0,0
2019-04-01,64.23,64.64,63.65,64.48,993800,0,0
2019-04-02,64.61,64.78,63.91,64.77,928900,0,0
2019-04-03,65.16,65.19,64.38,64.82,1047900,0,0
2019-04-04,63.83,64.14,62.55,63.09,1379200,0,0
2019-04-05,63.32,63.61,62.71,62.93,1033600,0,0
2019-04-08,62.67,63.58,62.39,63.58,1196900,0,0
2019-04-09,63.21,63.99,63.0,63.43,901500,0,0
2019-04-10,63.65,64.71,63.48,64.6,831900,0,0
2019-04-11,64.79,65.07,63.78,63.98,1566000,0,0
2019-04-12,63.99,64.7,63.72,64.46,1257500,0,0
2019-04-15,64.5,65.15,64.27,64.94,665300,0,0
2019-04-16,65.16,65.61,64.61,64.93,686900,0,0
2019-04-17,65.0,65.21,64.03,64.53,595100,0,0
2019-04-18,64.57,65.42,63.87,65.35,936300,0,0
2019-04-22,64.98,65.76,64.73,65.5,691500,0,0
2019-04-23,65.71,66.67,65.71,66.42,1415800,0,0
2019-04-24,66.49,66.67,66.0,66.09,880200,0,0
2019-04-25,66.02,66.14,65.09,65.82,904900,0,0
2019-04-26,66.12,66.59,65.47,66.46,673100,0,0
2019-04-29,66.8,66.8,65.54,65.97,1249600,0,0
2019-04-30,66.13,66.18,64.39,65.34,1544300,0,0
2019-05-01,65.34,65.49,63.71,63.72,1588000,0,0
2019-05-02,63.28,64.04,62.56,63.76,2081300,0,0
2019-05-03,65.25,67.0,63.9,64.34,3386900,0,0
2019-05-06,62.09,64.76,62.09,64.68,1374500,0,0
2019-05-07,64.26,64.51,63.35,63.83,2207300,0,0
2019-05-08,63.85,65.01,63.34,64.71,848400,0,0
2019-05-09,64.2,64.76,63.24,64.65,912300,0,0
2019-05-10,64.59,65.57,63.9,65.36,1330600,0,0
2019-05-13,63.73,64.2,62.1,63.01,3346100,0,0
2019-05-14,63.49,64.68,63.13,64.15,1287000,0,0
2019-05-15,64.02,65.02,63.56,64.32,929100,0,0
2019-05-16,64.44,65.23,64.25,64.38,776000,0,0
2019-05-17,63.66,64.46,63.48,63.63,1029500,0,0
2019-05-20,63.07,63.54,62.78,62.97,1235700,0,0
2019-05-21,63.5,64.3,63.25,63.9,744000,0,0
2019-05-22,63.46,63.85,62.82,62.87,650300,0,0
2019-05-23,62.55,62.91,61.8,62.49,831100,0,0
2019-05-24,62.99,63.74,62.98,63.28,656600,0,0
2019-05-28,63.27,63.79,62.39,62.45,1306700,0,0
2019-05-29,61.95,62.32,61.75,62.14,796100,0,0
2019-05-30,62.17,62.53,61.41,61.62,533200,0,0
2019-05-31,60.98,61.39,60.61,60.82,1028500,0,0
2019-06-03,60.83,61.25,59.55,60.07,907600,0,0
2019-06-04,60.81,61.59,60.17,61.55,721100,0,0
2019-06-05,62.0,62.54,61.83,61.95,592300,0,0
2019-06-06,61.94,62.19,61.28,62.01,647000,0,0
2019-06-07,62.2,62.92,62.07,62.19,581200,0,0
2019-06-10,62.52,62.84,61.26,61.75,765400,0,0
2019-06-11,62.39,63.29,62.26,63.18,900300,0,0
2019-06-12,63.03,63.46,62.87,63.39,907100,0,0
2019-06-13,63.61,64.3,63.47,64.25,499700,0,0
2019-06-14,63.78,64.18,63.43,63.99,593300,0,0
2019-06-17,64.29,65.66,64.02,65.09,825800,0,0
2019-06-18,65.61,66.77,65.34,66.31,2900200,0,0
2019-06-19,66.18,66.57,65.72,66.48,582900,0,0
2019-06-20,67.26,67.48,66.2,67.22,661100,0,0
2019-06-21,66.87,67.0,66.09,66.69,1548000,0,0
2019-06-24,66.71,66.83,66.07,66.58,1157300,0,0
2019-06-25,66.65,66.69,66.22,66.47,1322100,0,0
2019-06-26,66.76,66.76,65.56,66.05,755000,0,0
2019-06-27,66.27,67.27,65.99,66.93,1051600,0,0
2019-06-28,65.0,66.56,64.3,66.25,3156000,0,0
2019-07-01,67.2,67.28,65.75,67.16,1109100,0,0
2019-07-02,67.25,68.23,67.12,68.19,1195600,0,0
2019-07-03,68.5,69.6,68.25,69.4,610200,0,0
2019-07-05,69.06,69.89,68.78,69.66,727900,0,0
2019-07-08,69.38,69.44,68.34,68.61,1241100,0,0
2019-07-09,68.33,69.21,68.23,69.08,979600,0,0
2019-07-10,69.5,70.16,69.28,69.34,663600,0,0
2019-07-11,69.74,70.27,69.24,69.88,776600,0,0
2019-07-12,69.85,70.81,69.7,70.5,554100,0,0
2019-07-15,70.56,70.85,69.97,70.83,966600,0,0
2019-07-16,70.8,71.08,70.25,70.55,754000,0,0
2019-07-17,70.54,70.71,69.54,70.33,910200,0,0
2019-07-18,70.02,70.81,69.64,70.59,1045400,0,0
2019-07-19,70.76,70.8,69.91,70.29,1234200,0,0
2019-07-22,70.27,70.86,69.94,70.04,809400,0,0
2019-07-23,70.3,70.79,69.72,70.47,987500,0,0
2019-07-24,70.41,71.17,70.2,70.87,849000,0,0
2019-07-25,71.0,73.17,70.87,72.53,1717200,0,0
2019-07-26,73.72,73.72,72.15,73.54,1349400,0,0
2019-07-29,73.11,73.32,70.81,71.2,1038000,0,0
2019-07-30,70.73,72.16,70.09,72.1,934200,0,0
2019-07-31,72.14,72.83,71.61,72.06,1097500,0,0
2019-08-01,72.17,72.5,70.41,71.25,1071000,0,0
2019-08-02,70.8,71.1,69.81,70.7,732600,0,0
2019-08-05,69.05,69.41,67.7,68.5,1232600,0,0
2019-08-06,68.99,70.26,68.86,70.01,659800,0,0
2019-08-07,68.88,70.9,68.53,70.8,954800,0,0
2019-08-08,71.61,72.41,71.5,72.3,1131200,0,0
2019-08-09,71.8,72.46,71.21,72.11,780300,0,0
