Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,227.03,235.86,227.01,234.66,4441100,0.0,0
2019-03-22,233.63,234.79,229.49,229.57,3709400,0.0,0
2019-03-25,229.21,230.75,227.37,229.24,3506500,0.0,0
2019-03-26,231.76,232.43,230.26,232.09,3046900,0.0,0
2019-03-27,232.72,233.0,228.47,231.32,2640700,0.0,0
2019-03-28,232.22,234.12,231.18,233.65,2712100,0.0,0
2019-03-29,235.27,235.42,232.77,234.24,3453900,0.0,0
2019-04-01,237.07,238.52,235.72,237.82,3475900,0.0,0
2019-04-02,238.0,238.64,236.85,238.03,3386400,0.0,0
2019-04-03,239.04,239.69,236.6,237.7,2912500,0.0,0
2019-04-04,237.47,237.54,232.56,234.85,3096300,0.0,0
2019-04-05,235.99,236.74,234.9,235.41,2590000,0.0,0
2019-04-08,234.84,235.39,232.25,235.38,2714500,0.33,0
2019-04-09,234.41,236.36,234.12,235.02,2491300,0.0,0
2019-04-10,236.11,237.06,235.22,236.17,1984200,0.0,0
2019-04-11,237.11,237.11,234.16,235.15,1908200,0.0,0
2019-04-12,236.14,238.1,235.19,237.93,3452100,0.0,0
2019-04-15,238.62,238.96,236.3,238.25,3437500,0.0,0
2019-04-16,239.1,240.07,238.05,239.19,2564300,0.0,0
2019-04-17,239.77,240.33,238.05,240.1,2829200,0.0,0
2019-04-18,241.62,241.74,239.56,239.99,3016800,0.0,0
2019-04-22,238.9,242.23,238.17,242.14,2217700,0.0,0
2019-04-23,242.98,243.58,241.54,242.58,3108400,0.0,0
2019-04-24,242.72,245.16,241.9,244.37,3255200,0.0,0
2019-04-25,243.78,245.92,243.1,244.69,3152400,0.0,0
2019-04-26,245.13,246.22,242.31,245.75,3349300,0.0,0
2019-04-29,245.95,247.28,244.94,246.2,3274900,0.0,0
2019-04-30,250.15,256.46,249.57,253.29,7179600,0.0,0
2019-05-01,253.94,255.29,247.74,247.82,5146000,0.0,0
2019-05-02,246.63,247.34,243.36,246.26,4747300,0.0,0
2019-05-03,247.68,248.91,246.53,247.02,3194200,0.0,0
2019-05-06,240.58,248.15,239.15,247.71,3022000,0.0,0
2019-05-07,246.34,246.8,241.69,244.14,4257500,0.0,0
2019-05-08,243.62,246.62,242.84,244.41,3050700,0.0,0
2019-05-09,240.98,244.61,239.06,244.39,3891000,0.0,0
2019-05-10,242.95,247.79,240.42,246.5,2816200,0.0,0
2019-05-13,240.6,242.99,239.46,240.47,4136900,0.0,0
2019-05-14,241.21,246.51,240.99,245.02,3862100,0.0,0
2019-05-15,243.41,250.1,243.29,248.22,4186900,0.0,0
2019-05-16,249.5,254.19,249.39,252.47,4911900,0.0,0
2019-05-17,250.17,253.34,249.9,251.6,3129800,0.0,0
2019-05-20,249.55,253.44,248.39,252.54,2951500,0.0,0
2019-05-21,254.04,254.99,252.84,254.4,2881600,0.0,0
2019-05-22,253.79,257.89,253.54,255.94,2936000,0.0,0
2019-05-23,253.79,254.74,247.4,248.79,5072500,0.0,0
2019-05-24,252.19,252.42,249.39,250.54,2710800,0.0,0
2019-05-28,251.71,256.79,251.7,252.48,6252100,0.0,0
2019-05-29,251.3,253.3,250.33,252.61,4014300,0.0,0
2019-05-30,253.32,255.1,251.84,253.24,2817400,0.0,0
2019-05-31,251.03,252.71,249.9,250.55,5041400,0.0,0
2019-06-03,250.86,252.03,239.35,241.35,5452100,0.0,0
2019-06-04,244.21,248.43,240.81,248.24,4862200,0.0,0
2019-06-05,250.53,256.01,249.21,255.3,4742400,0.0,0
2019-06-06,255.4,257.73,253.9,256.86,3443500,0.0,0
2019-06-07,259.02,265.87,258.65,264.8,3691800,0.0,0
2019-06-10,267.99,268.84,264.28,265.1,4469000,0.0,0
2019-06-11,266.47,266.88,258.21,262.67,3119600,0.0,0
2019-06-12,261.47,263.22,260.38,262.86,2295300,0.0,0
2019-06-13,264.01,264.23,259.27,260.22,4331000,0.0,0
2019-06-14,259.01,261.0,258.45,259.12,3158200,0.0,0
2019-06-17,260.02,260.73,257.08,258.23,3332200,0.0,0
2019-06-18,260.72,261.27,254.11,257.84,3921300,0.0,0
2019-06-19,257.86,259.64,257.33,258.89,4326500,0.0,0
2019-06-20,262.5,266.7,261.51,265.79,4667300,0.0,0
2019-06-21,264.82,267.14,263.43,263.48,4285800,0.0,0
2019-06-24,264.85,266.1,264.14,264.3,2538100,0.0,0
2019-06-25,265.04,265.31,258.15,258.76,3138000,0.0,0
2019-06-26,259.9,261.66,259.01,260.32,3869400,0.0,0
2019-06-27,261.46,262.59,259.42,260.12,2186900,0.0,0
2019-06-28,262.1,263.85,260.35,263.54,4400300,0.0,0
2019-07-01,268.98,268.98,263.88,265.77,2646800,0.0,0
2019-07-02,265.88,269.58,265.43,269.55,2649100,0.0,0
2019-07-03,269.98,272.06,269.76,272.06,1896800,0.0,0
2019-07-05,270.48,271.75,268.08,271.12,2561000,0.0,0
2019-07-08,269.41,271.38,268.77,270.54,2291700,0.33,0
2019-07-09,269.13,272.95,268.81,272.64,2477400,0.0,0
2019-07-10,273.47,276.4,273.45,274.68,2323000,0.0,0
2019-07-11,276.89,277.94,275.38,277.61,2583900,0.0,0
2019-07-12,278.53,279.03,275.56,278.83,2299700,0.0,0
2019-07-15,279.75,279.88,277.84,278.66,3349500,0.0,0
2019-07-16,278.29,279.92,274.61,275.92,2976000,0.0,0
2019-07-17,276.68,277.76,274.57,274.58,2318900,0.0,0
2019-07-18,274.3,276.54,274.04,276.08,3242100,0.0,0
2019-07-19,278.72,278.77,274.72,274.9,3048200,0.0,0
2019-07-22,276.21,278.65,275.37,277.9,2092400,0.0,0
2019-07-23,279.29,279.71,276.2,278.26,2275400,0.0,0
2019-07-24,277.46,279.59,275.68,279.54,2805200,0.0,0
2019-07-25,279.29,280.19,276.84,278.64,2312200,0.0,0
2019-07-26,279.89,281.57,279.37,281.35,2942100,0.0,0
2019-07-29,282.4,282.61,279.72,280.72,3677700,0.0,0
2019-07-30,278.63,281.65,274.75,277.45,3957900,0.0,0
2019-07-31,277.96,278.27,265.01,271.58,5513100,0.0,0
2019-08-01,273.23,278.6,270.95,273.46,4988100,0.0,0
2019-08-02,271.31,271.81,265.0,268.76,4438000,0.0,0
2019-08-05,259.34,261.98,253.25,256.19,6861300,0.0,0
2019-08-06,261.13,264.48,259.52,264.01,4918500,0.0,0
2019-08-07,262.73,269.31,259.59,268.63,4476000,0.0,0
2019-08-08,271.31,277.37,270.91,277.33,4135500,0.0,0
2019-08-09,274.81,276.2,272.39,274.25,3410500,0.0,0
2019-08-12,272.16,274.28,268.21,269.31,3322600,0.0,0
2019-08-13,269.14,274.67,267.32,273.83,3899800,0.0,0
2019-08-14,269.13,271.78,265.17,266.47,3750300,0.0,0
2019-08-15,268.6,272.46,267.41,271.2,3364300,0.0,0
2019-08-16,274.28,275.26,273.09,273.66,2718100,0.0,0
2019-08-19,276.3,277.86,274.51,277.36,2502300,0.0,0
2019-08-20,277.69,278.85,275.15,276.34,2583600,0.0,0
2019-08-21,278.93,281.38,278.58,281.29,2492200,0.0,0
2019-08-22,281.39,282.17,276.06,280.06,2975800,0.0,0
2019-08-23,279.29,281.37,269.52,271.2,4415000,0.0,0
2019-08-26,274.18,275.73,272.29,275.73,2184400,0.0,0
2019-08-27,276.04,278.38,274.21,275.94,2169400,0.0,0
2019-08-28,274.53,277.94,272.67,277.53,2306900,0.0,0
2019-08-29,280.29,281.26,278.17,280.66,2297200,0.0,0
2019-08-30,281.87,282.24,278.02,280.65,2600300,0.0,0
2019-09-03,279.28,282.12,277.79,279.4,2350800,0.0,0
