Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,103.03,104.86,102.51,104.48,491900,0.0,0
2019-03-22,104.78,105.82,104.47,104.61,353900,0.0,0
2019-03-25,105.65,105.65,104.27,105.14,644300,0.0,0
2019-03-26,105.23,105.95,104.95,105.9,359100,0.0,0
2019-03-27,105.93,106.08,105.11,105.38,336400,0.0,0
2019-03-28,105.77,106.28,105.03,106.24,285300,0.0,0
2019-03-29,106.17,106.33,105.5,105.96,593600,0.0,0
2019-04-01,106.1,106.1,104.34,105.47,398200,0.0,0
2019-04-02,105.55,106.69,104.78,106.55,340700,0.0,0
2019-04-03,106.63,106.89,105.62,106.51,397200,0.0,0
2019-04-04,105.22,106.01,104.92,105.99,372000,0.0,0
2019-04-05,105.97,106.53,105.36,106.47,358500,0.0,0
2019-04-08,106.38,106.47,105.1,105.91,340500,0.0,0
2019-04-09,105.98,106.23,105.53,105.95,364100,0.0,0
2019-04-10,106.28,107.03,105.83,106.76,447600,0.0,0
2019-04-11,106.8,107.67,106.41,107.22,388400,0.0,0
2019-04-12,107.38,107.72,106.3,107.69,414500,0.96,0
2019-04-15,107.8,108.12,107.03,107.47,422700,0.0,0
2019-04-16,107.45,107.54,103.92,104.19,371600,0.0,0
2019-04-17,104.32,104.41,102.18,102.57,662200,0.0,0
2019-04-18,102.65,104.35,102.57,104.17,452900,0.0,0
2019-04-22,103.76,104.0,101.23,102.82,453700,0.0,0
2019-04-23,103.22,104.61,102.9,104.18,442400,0.0,0
2019-04-24,104.6,105.65,104.13,105.55,328600,0.0,0
2019-04-25,105.06,105.81,104.6,105.57,241400,0.0,0
2019-04-26,106.07,106.67,105.35,106.53,383200,0.0,0
2019-04-29,106.41,106.74,105.06,105.15,300300,0.0,0
2019-04-30,105.28,107.08,104.73,106.96,578600,0.0,0
2019-05-01,107.06,108.1,106.5,106.8,499400,0.0,0
2019-05-02,107.25,108.14,106.12,107.12,603800,0.0,0
2019-05-03,107.17,107.99,106.5,107.39,402400,0.0,0
2019-05-06,107.04,107.68,106.32,107.37,294300,0.0,0
2019-05-07,107.28,107.31,105.0,105.56,393500,0.0,0
