Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,121.53,123.32,121.15,123.2,1710600,0.0,0
2019-03-22,122.52,123.05,121.58,122.65,3400700,0.0,0
2019-03-25,122.16,122.6,121.3,121.82,1493700,0.0,0
2019-03-26,121.06,122.75,120.9,121.72,1722600,0.0,0
2019-03-27,121.88,121.88,119.52,120.35,1924900,0.0,0
2019-03-28,120.46,122.51,120.46,122.23,1496300,0.0,0
2019-03-29,122.16,123.59,122.03,123.23,2175100,0.0,0
2019-04-01,124.36,125.69,123.98,125.55,1383400,0.0,0
2019-04-02,125.34,126.69,124.63,126.59,1783100,0.0,0
2019-04-03,127.52,129.89,126.8,129.63,2218400,0.0,0
2019-04-04,129.59,130.53,129.18,130.23,2269000,0.0,0
2019-04-05,130.6,132.8,130.35,132.06,2210300,0.0,0
2019-04-08,131.89,132.95,131.48,132.9,1866700,0.0,0
2019-04-09,132.13,132.94,130.3,130.68,1689000,0.0,0
2019-04-10,131.01,131.2,130.33,130.77,1476700,0.0,0
2019-04-11,131.43,131.83,130.74,131.27,1245200,0.0,0
2019-04-12,131.5,132.73,131.28,132.65,1163900,0.0,0
2019-04-15,132.5,132.96,131.12,132.37,657400,0.0,0
2019-04-16,132.4,133.89,132.37,133.78,979900,0.0,0
2019-04-17,134.24,134.9,133.63,133.91,1111300,0.0,0
2019-04-18,134.7,134.7,131.5,132.41,1378300,0.0,0
2019-04-22,131.66,134.13,131.35,133.84,1182300,0.0,0
2019-04-23,134.25,134.75,133.42,134.25,1036900,0.0,0
2019-04-24,132.66,134.02,132.66,133.46,1232500,0.0,0
2019-04-25,132.91,134.17,132.11,133.66,926100,0.0,0
2019-04-26,134.22,134.99,133.55,134.42,837500,0.0,0
2019-04-29,134.42,135.06,133.8,133.95,1144500,0.0,0
2019-04-30,134.32,134.79,133.27,134.39,1259700,0.0,0
2019-05-01,135.75,138.28,135.51,136.79,1632100,0.0,0
2019-05-02,136.49,136.99,133.7,134.85,1155500,0.0,0
2019-05-03,135.74,138.19,135.24,138.05,1076700,0.0,0
2019-05-06,135.41,136.11,134.55,135.7,1415300,0.0,0
