Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,38.07,39.1,37.98,38.64,2629400,0.0,0
2019-03-22,38.36,38.42,37.75,37.79,3302500,0.0,0
2019-03-25,37.86,38.45,37.66,38.25,2245700,0.0,0
2019-03-26,38.28,38.61,37.97,38.34,4321600,0.0,0
2019-03-27,38.35,38.65,37.93,38.11,2785000,0.0,0
2019-03-28,38.16,38.69,38.1,38.65,2172100,0.0,0
2019-03-29,38.92,39.07,38.61,38.83,3156000,0.0,0
2019-04-01,39.05,39.27,38.63,38.83,3446900,0.0,0
2019-04-02,38.86,39.18,38.66,39.1,3856100,0.0,0
2019-04-03,39.26,39.46,38.95,39.11,2995500,0.0,0
2019-04-04,39.14,39.81,39.14,39.63,1979900,0.0,0
2019-04-05,39.71,40.34,39.7,40.26,3161900,0.0,0
2019-04-08,40.15,40.43,39.88,40.36,1827400,0.0,0
2019-04-09,40.1,40.13,39.74,39.76,1575000,0.0,0
2019-04-10,39.8,39.93,39.65,39.92,2105400,0.0,0
2019-04-11,39.91,40.03,39.73,39.94,2579600,0.12,0
2019-04-12,40.14,40.35,39.86,40.09,2186800,0.0,0
2019-04-15,40.26,40.29,39.99,40.16,2298900,0.0,0
2019-04-16,40.3,40.35,39.96,40.1,2963100,0.0,0
2019-04-17,40.3,40.33,39.57,39.62,3123200,0.0,0
2019-04-18,39.66,39.79,39.41,39.67,4037500,0.0,0
2019-04-22,39.59,39.59,39.02,39.34,3053700,0.0,0
2019-04-23,39.28,39.87,39.28,39.62,4901800,0.0,0
2019-04-24,39.56,40.14,39.49,39.62,3705500,0.0,0
2019-04-25,38.76,38.79,37.16,37.16,9167100,0.0,0
2019-04-26,37.86,38.82,37.71,38.13,7555200,0.0,0
2019-04-29,38.37,39.08,38.25,38.97,5240100,0.0,0
2019-04-30,38.97,38.97,38.21,38.7,3938900,0.0,0
2019-05-01,38.77,39.49,38.66,38.95,3600200,0.0,0
2019-05-02,38.97,39.43,38.94,39.38,2992500,0.0,0
2019-05-03,39.49,40.12,39.49,40.07,2494000,0.0,0
2019-05-06,39.28,39.75,38.87,39.72,3441800,0.0,0
2019-05-07,39.41,39.62,38.35,38.53,4402500,0.0,0
2019-05-08,38.44,38.57,37.86,37.93,4606400,0.0,0
2019-05-09,37.58,37.75,36.86,37.48,6389900,0.0,0
2019-05-10,37.29,37.66,36.79,37.59,4946700,0.0,0
2019-05-13,36.82,37.02,36.37,36.65,4453500,0.0,0
2019-05-14,36.74,37.31,36.6,37.01,3219900,0.0,0
2019-05-15,36.66,37.62,36.59,37.51,4725400,0.0,0
2019-05-16,37.51,38.14,37.51,37.81,3417000,0.0,0
2019-05-17,37.61,37.82,37.2,37.21,2757200,0.0,0
2019-05-20,37.05,37.54,37.0,37.33,2441600,0.0,0
