Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,180.11,182.25,180.1,182.0,2830200,0.0,0
2019-03-22,181.6,184.22,181.58,182.43,3319600,0.0,0
2019-03-25,181.88,182.09,179.69,181.36,2651600,0.0,0
2019-03-26,182.27,184.45,181.98,183.08,2609600,0.0,0
2019-03-27,183.24,184.23,182.64,183.11,1684800,0.0,0
2019-03-28,183.56,185.01,183.52,184.95,1977100,0.0,0
2019-03-29,185.79,186.05,184.48,185.44,2952000,0.0,0
2019-04-01,186.03,186.37,183.34,183.97,3195100,0.0,0
2019-04-02,184.48,184.52,182.32,183.93,1797700,0.0,0
2019-04-03,184.45,184.8,183.22,183.93,2512300,0.0,0
2019-04-04,184.61,186.26,184.47,185.42,2324900,0.0,0
2019-04-05,185.88,186.75,185.61,186.24,2438400,0.0,0
2019-04-08,186.24,187.01,185.15,185.4,2290100,0.0,0
2019-04-09,184.96,185.82,184.02,185.62,2279500,0.0,0
2019-04-10,186.09,186.81,184.33,184.78,2406800,0.0,0
2019-04-11,184.84,185.03,183.64,184.45,1740400,0.0,0
2019-04-12,185.14,187.77,185.12,187.11,3238800,0.0,0
2019-04-15,187.27,187.84,186.37,187.35,1973500,0.0,0
2019-04-16,187.98,188.54,186.9,187.2,1559200,0.0,0
2019-04-17,187.5,187.84,186.88,187.11,1875000,0.0,0
2019-04-18,187.27,190.43,187.16,190.34,2918400,0.0,0
2019-04-22,189.45,190.16,188.84,189.37,1738400,0.0,0
2019-04-23,189.75,191.35,189.57,190.68,2192900,0.0,0
2019-04-24,190.98,193.61,190.76,192.99,3070100,0.0,0
2019-04-25,191.88,193.37,191.03,193.29,2040800,0.0,0
2019-04-26,193.81,193.94,191.93,192.79,2302100,0.0,0
2019-04-29,193.34,193.71,190.82,192.5,3456100,0.0,0
2019-04-30,194.19,195.31,190.91,192.94,6162300,0.0,0
2019-05-01,191.27,192.56,189.4,189.61,4059600,0.0,0
2019-05-02,189.63,190.57,188.78,190.04,2418000,0.0,0
2019-05-03,190.76,193.33,190.18,192.89,2915200,0.0,0
2019-05-06,191.92,194.51,191.34,194.23,2371300,0.0,0
2019-05-07,193.32,194.94,192.11,193.39,3072500,0.0,0
2019-05-08,193.07,194.42,192.13,193.38,2040900,0.0,0
2019-05-09,192.5,193.66,191.8,193.09,1923600,0.0,0
2019-05-10,192.44,195.66,192.4,195.3,2668800,0.0,0
2019-05-13,193.35,195.22,192.65,194.36,2809400,0.0,0
2019-05-14,194.17,194.93,193.0,193.36,2787700,0.0,0
2019-05-15,193.02,195.04,192.87,194.4,1899000,0.0,0
2019-05-16,194.68,195.92,194.22,195.3,2520500,0.0,0
2019-05-17,194.19,195.67,194.14,194.55,2239600,0.0,0
2019-05-20,194.55,195.97,193.63,194.32,2217400,0.0,0
2019-05-21,196.18,196.43,194.4,195.15,2264600,0.0,0
2019-05-22,194.84,195.47,193.84,195.27,1760300,0.0,0
2019-05-23,194.15,194.75,193.45,194.3,3560400,0.0,0
2019-05-24,195.18,195.21,192.7,193.13,2105800,0.0,0
2019-05-28,193.63,194.7,191.77,192.06,3675100,0.0,0
2019-05-29,191.26,192.09,190.28,191.42,2925100,0.0,0
2019-05-30,191.41,194.74,191.19,194.57,2685000,0.0,0
2019-05-31,193.91,196.48,193.75,194.75,3669100,1.16,0
2019-06-03,194.84,195.57,193.82,195.25,3211800,0.0,0
2019-06-04,195.47,196.75,195.26,196.09,3829900,0.0,0
2019-06-05,196.53,197.0,195.72,196.58,4294600,0.0,0
2019-06-06,196.57,199.77,196.48,199.45,4657600,0.0,0
2019-06-07,199.89,202.73,199.89,201.83,4345000,0.0,0
2019-06-10,202.44,202.44,196.2,197.73,4647500,0.0,0
2019-06-11,198.71,200.04,197.82,199.65,2991400,0.0,0
2019-06-12,200.86,201.84,200.09,201.29,2874000,0.0,0
2019-06-13,201.56,201.76,200.05,200.86,2277800,0.0,0
2019-06-14,200.38,202.16,200.16,201.65,2715800,0.0,0
2019-06-17,202.1,202.1,199.49,200.19,2694400,0.0,0
2019-06-18,201.36,201.76,200.3,200.88,2470900,0.0,0
2019-06-19,200.99,201.36,199.02,200.92,2328400,0.0,0
2019-06-20,201.36,201.75,200.48,201.48,2162200,0.0,0
2019-06-21,201.93,202.29,200.36,200.64,4267400,0.0,0
2019-06-24,201.12,201.61,200.02,200.3,2486800,0.0,0
2019-06-25,201.17,202.73,201.09,202.06,3020900,0.0,0
2019-06-26,201.84,202.02,200.39,200.92,2576000,0.0,0
2019-06-27,201.04,202.69,200.58,202.61,2253500,0.0,0
2019-06-28,203.23,204.3,202.66,203.98,3658200,0.0,0
2019-07-01,205.15,205.71,202.53,202.64,2689500,0.0,0
2019-07-02,203.08,205.86,202.66,205.86,3120000,0.0,0
2019-07-03,206.1,209.09,205.98,209.03,2306000,0.0,0
2019-07-05,208.53,209.23,206.52,207.49,1876200,0.0,0
2019-07-08,207.49,208.76,207.48,208.4,1818000,0.0,0
2019-07-09,208.23,208.92,207.72,208.33,1618800,0.0,0
2019-07-10,208.48,209.67,208.19,209.22,1842300,0.0,0
2019-07-11,210.67,210.99,207.86,208.92,1922800,0.0,0
2019-07-12,208.92,209.61,207.52,209.21,1960100,0.0,0
2019-07-15,209.84,210.89,208.92,210.41,2408500,0.0,0
2019-07-16,209.74,211.09,208.39,209.93,2380400,0.0,0
2019-07-17,210.18,211.09,209.57,209.92,1698400,0.0,0
2019-07-18,210.28,212.12,209.55,212.08,2261600,0.0,0
2019-07-19,211.76,212.42,210.01,210.08,2860500,0.0,0
2019-07-22,210.0,211.51,208.75,211.19,2580000,0.0,0
2019-07-23,211.91,212.41,208.87,210.51,2503600,0.0,0
2019-07-24,210.05,211.14,208.5,209.01,2971600,0.0,0
2019-07-25,208.59,210.79,208.54,210.64,3789000,0.0,0
2019-07-26,214.08,215.08,210.68,211.76,5029300,0.0,0
2019-07-29,212.17,213.56,210.5,211.17,4278600,0.0,0
2019-07-30,210.49,211.39,207.83,208.57,2808500,0.0,0
2019-07-31,208.32,208.94,205.66,206.98,4048800,0.0,0
2019-08-01,207.43,209.35,206.38,207.5,3231800,0.0,0
2019-08-02,207.55,211.27,207.15,210.67,3517800,0.0,0
2019-08-05,209.85,210.8,205.71,206.72,3685600,0.0,0
2019-08-06,206.77,210.74,206.16,210.28,2970300,0.0,0
2019-08-07,209.48,213.7,207.59,212.98,3767200,0.0,0
2019-08-08,213.45,215.84,212.33,214.14,3724300,0.0,0
