Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,82.9,86.32,82.9,86.01,1733200,0.0,0
2019-03-22,85.35,85.98,84.06,84.08,2017300,0.0,0
2019-03-25,83.55,83.92,81.71,82.51,1926300,0.0,0
2019-03-26,83.33,84.07,82.48,82.93,1301100,0.0,0
2019-03-27,82.98,83.38,79.88,80.09,3455800,0.0,0
2019-03-28,80.27,81.1,78.78,79.88,2993800,0.0,0
2019-03-29,80.78,81.94,80.67,81.66,2613200,0.0,0
2019-04-01,82.82,86.26,82.79,86.09,4111400,0.0,0
2019-04-02,86.06,86.49,85.15,86.35,4064900,0.0,0
2019-04-03,88.13,89.93,87.26,88.88,4248400,0.0,0
2019-04-04,88.83,90.25,88.78,89.84,3506600,0.0,0
2019-04-05,90.14,91.74,89.89,91.46,2874100,0.0,0
2019-04-08,91.44,92.76,90.51,92.59,2774200,0.0,0
2019-04-09,92.19,92.29,91.11,91.44,2481800,0.0,0
2019-04-10,91.41,92.97,90.8,92.77,2255700,0.0,0
2019-04-11,92.62,92.91,91.56,92.5,1885700,0.0,0
2019-04-12,93.89,94.39,93.16,93.87,2087600,0.0,0
2019-04-15,93.84,94.55,93.28,94.1,3185600,0.0,0
2019-04-16,94.63,96.35,94.57,96.24,4933200,0.0,0
2019-04-17,98.71,98.71,95.53,97.71,4527300,0.0,0
2019-04-18,98.17,98.33,96.48,97.16,2411800,0.0,0
2019-04-22,96.91,97.17,95.95,96.07,2524100,0.0,0
2019-04-23,96.19,97.69,96.03,96.62,2304300,0.0,0
2019-04-24,95.94,98.4,95.9,97.29,2262200,0.0,0
2019-04-25,95.98,96.74,94.1,95.95,2217600,0.0,0
2019-04-26,94.5,96.93,93.6,96.87,1478600,0.0,0
2019-04-29,96.71,97.72,96.61,97.17,1295000,0.0,0
2019-04-30,98.24,98.45,97.02,98.32,1967400,0.0,0
2019-05-01,99.09,99.57,97.34,97.41,2597000,0.0,0
2019-05-02,97.41,99.76,96.58,98.55,1963800,0.0,0
2019-05-03,99.09,99.27,97.96,99.17,1377200,0.0,0
2019-05-06,95.21,95.85,94.39,95.46,3766200,0.0,0
2019-05-07,94.25,94.29,91.25,92.67,5712400,0.0,0
2019-05-08,88.54,92.59,88.34,90.11,4226300,0.0,0
2019-05-09,88.17,88.71,85.41,87.98,4517600,0.0,0
2019-05-10,87.96,88.54,85.6,87.84,3322800,0.0,0
2019-05-13,84.39,85.3,81.6,82.3,4840100,0.0,0
2019-05-14,82.89,83.67,82.19,83.33,4228500,0.0,0
2019-05-15,82.4,85.1,82.11,84.46,3396100,0.0,0
2019-05-16,83.49,84.19,82.51,83.75,3138200,0.0,0
2019-05-17,82.39,84.02,81.76,81.96,2304600,0.0,0
2019-05-20,79.57,80.82,77.84,78.64,3849500,0.366,0
2019-05-21,79.84,81.33,79.28,81.02,2933300,0.0,0
2019-05-22,80.07,82.14,79.77,80.9,2739600,0.0,0
2019-05-23,79.59,80.74,78.83,80.67,2895200,0.0,0
2019-05-24,81.21,81.87,79.46,79.51,1785400,0.0,0
2019-05-28,79.63,79.94,76.78,78.21,3822400,0.0,0
2019-05-29,77.68,80.29,77.3,79.64,2951700,0.0,0
2019-05-30,79.73,81.0,79.64,80.42,3208000,0.0,0
