Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,118.92,120.92,118.12,120.81,818500,0.0,0
2019-03-22,120.39,120.58,117.13,117.16,1115800,0.0,0
2019-03-25,117.38,117.38,113.8,114.3,1335900,0.0,0
2019-03-26,114.5,115.58,113.63,114.5,961000,0.0,0
2019-03-27,114.08,115.31,113.13,114.36,831000,0.0,0
2019-03-28,114.77,115.7,113.69,113.95,668800,0.0,0
2019-03-29,114.67,115.88,113.85,115.7,1115900,0.0,0
2019-04-01,116.63,117.54,116.01,117.46,1155400,0.0,0
2019-04-02,115.38,116.83,113.37,113.45,2709300,0.0,0
2019-04-03,114.45,116.42,112.55,113.74,1753000,0.0,0
2019-04-04,114.01,114.31,111.88,113.67,1746900,0.0,0
2019-04-05,114.16,116.45,113.75,115.34,2471000,0.0,0
2019-04-08,115.35,116.44,114.48,115.46,1161100,0.0,0
2019-04-09,114.93,115.61,113.28,114.45,917100,0.0,0
2019-04-10,114.72,115.12,112.1,113.93,1127000,0.0,0
2019-04-11,114.32,114.57,112.16,112.86,989700,0.0,0
2019-04-12,113.53,115.75,113.05,114.7,1343100,0.0,0
2019-04-15,115.13,117.16,114.74,115.84,1059600,0.0,0
2019-04-16,116.64,117.52,113.87,115.25,992700,0.0,0
2019-04-17,115.81,115.88,110.41,111.18,1441600,0.0,0
2019-04-18,111.25,113.28,110.61,112.77,1193600,0.0,0
2019-04-22,112.45,113.52,110.6,111.16,707200,0.0,0
2019-04-23,111.21,115.02,110.92,113.86,1089800,0.0,0
2019-04-24,113.89,114.68,112.74,113.99,958000,0.0,0
2019-04-25,113.74,114.55,112.37,113.87,652400,0.0,0
2019-04-26,114.43,116.5,114.43,116.21,1458400,0.0,0
2019-04-29,116.33,117.6,116.11,116.99,1059100,0.0,0
2019-04-30,117.65,118.94,116.48,117.86,1105700,0.0,0
2019-05-01,118.27,119.19,117.27,117.62,1007200,0.0,0
2019-05-02,117.69,121.22,117.68,121.2,1244500,0.0,0
2019-05-03,121.51,123.88,121.06,122.04,1759200,0.0,0
2019-05-06,120.82,123.74,119.92,123.46,1370800,0.0,0
2019-05-07,122.23,124.45,122.02,124.22,2539700,0.0,0
2019-05-08,125.52,131.67,122.43,130.17,3147800,0.0,0
2019-05-09,129.94,133.93,128.64,133.03,2057900,0.0,0
2019-05-10,132.03,133.26,127.42,129.34,1281100,0.0,0
2019-05-13,127.88,128.29,123.84,124.98,1447600,0.0,0
2019-05-14,125.14,126.03,124.1,124.15,1469700,0.0,0
2019-05-15,124.11,125.21,121.69,124.84,1016100,0.0,0
2019-05-16,125.52,126.51,123.71,124.12,2189600,0.0,0
2019-05-17,122.94,125.42,122.92,123.54,1720500,0.0,0
2019-05-20,122.84,125.1,122.16,124.93,2175700,0.0,0
2019-05-21,125.09,128.92,124.93,126.84,1819900,0.0,0
2019-05-22,126.76,128.55,126.39,128.12,1312600,0.0,0
2019-05-23,127.62,129.2,126.69,127.59,1420400,0.0,0
2019-05-24,127.67,129.06,127.24,128.41,1283800,0.0,0
2019-05-28,127.97,130.1,127.83,128.58,1502000,0.0,0
2019-05-29,128.11,128.39,123.73,123.93,2021500,0.0,0
2019-05-30,124.03,125.04,121.33,122.41,1674500,0.0,0
2019-05-31,121.34,122.48,120.14,121.1,1584900,0.39,0
2019-06-03,121.24,124.18,121.23,123.5,1050900,0.0,0
2019-06-04,125.06,127.51,124.78,126.47,1675500,0.0,0
2019-06-05,127.32,128.5,125.07,126.28,1013300,0.0,0
2019-06-06,125.96,128.33,125.96,127.06,1274500,0.0,0
2019-06-07,127.8,130.09,127.5,129.17,1042700,0.0,0
2019-06-10,130.02,132.77,129.17,131.62,1212100,0.0,0
2019-06-11,132.25,132.86,130.55,131.47,1456900,0.0,0
2019-06-12,131.08,133.05,130.8,132.88,1133400,0.0,0
