Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,174.7,180.84,174.7,180.31,1706100,0.0,0
2019-03-22,178.84,179.3,176.05,176.25,990200,0.0,0
2019-03-25,176.17,177.0,174.87,175.77,826700,0.0,0
2019-03-26,177.65,177.7,174.3,176.27,1108800,0.0,0
2019-03-27,176.36,176.85,174.73,176.2,973900,0.0,0
2019-03-28,176.55,178.16,176.29,177.73,656000,0.0,0
2019-03-29,179.32,179.93,178.31,179.42,1052300,0.0,0
2019-04-01,181.1,182.88,180.98,182.78,739600,0.0,0
2019-04-02,183.18,183.78,181.72,183.34,1245500,0.0,0
2019-04-03,184.73,185.57,183.79,184.5,767400,0.0,0
2019-04-04,185.05,185.92,183.99,185.1,546600,0.0,0
2019-04-05,185.96,186.77,184.87,185.51,652100,0.0,0
2019-04-08,184.98,186.09,183.92,185.44,954600,0.0,0
2019-04-09,184.53,185.29,183.7,184.94,771700,0.0,0
2019-04-10,185.09,186.1,183.08,183.57,1051300,0.0,0
2019-04-11,183.9,183.91,182.87,183.54,862300,0.0,0
2019-04-12,185.17,185.54,184.12,185.38,679800,0.0,0
2019-04-15,185.41,187.74,185.41,187.46,609300,0.0,0
2019-04-16,187.52,189.02,187.16,188.78,718000,0.0,0
2019-04-17,188.92,189.53,186.23,186.23,708100,0.0,0
2019-04-18,186.07,187.79,185.56,187.31,627300,0.0,0
2019-04-22,186.67,187.49,185.93,186.35,673100,0.0,0
2019-04-23,186.58,188.07,184.99,186.9,1211700,0.0,0
2019-04-24,186.89,193.16,183.94,192.57,1607300,0.0,0
2019-04-25,191.99,192.51,188.64,191.45,950900,0.0,0
2019-04-26,191.66,194.04,190.49,193.75,732100,0.0,0
2019-04-29,193.54,194.56,192.48,192.9,733100,0.0,0
2019-04-30,192.7,195.09,191.81,194.8,868000,0.0,0
2019-05-01,195.13,195.59,191.73,192.11,832500,0.0,0
2019-05-02,191.86,193.0,190.34,190.99,784900,0.0,0
2019-05-03,192.25,194.73,191.31,194.63,526100,0.0,0
2019-05-06,190.64,195.9,190.63,195.42,664000,0.0,0
2019-05-07,192.76,194.01,189.24,190.86,806300,0.0,0
2019-05-08,190.82,192.4,190.12,190.25,603800,0.0,0
2019-05-09,189.68,189.68,185.49,187.14,997800,0.0,0
2019-05-10,186.11,187.57,182.57,187.24,921100,0.0,0
2019-05-13,182.96,184.07,181.15,181.82,742100,0.0,0
2019-05-14,182.62,186.86,181.55,185.02,744000,0.0,0
2019-05-15,183.14,186.11,182.87,184.93,766700,0.0,0
2019-05-16,185.52,189.04,184.28,187.52,761800,0.0,0
2019-05-17,185.29,186.8,184.35,184.7,696800,0.5,0
2019-05-20,183.81,185.11,182.28,183.55,753300,0.0,0
2019-05-21,184.83,186.63,184.83,186.47,701400,0.0,0
2019-05-22,186.24,189.14,186.24,188.61,788600,0.0,0
2019-05-23,186.14,187.1,182.88,183.38,1093700,0.0,0
2019-05-24,185.23,185.3,182.37,183.88,1028900,0.0,0
2019-05-28,184.42,190.13,184.42,186.15,3301900,0.0,0
2019-05-29,185.21,187.1,184.29,185.0,933300,0.0,0
2019-05-30,185.33,187.01,185.21,186.06,706300,0.0,0
2019-05-31,184.34,184.98,181.4,181.67,905600,0.0,0
2019-06-03,181.77,183.67,178.57,179.81,1117600,0.0,0
2019-06-04,180.83,183.73,180.45,183.64,736500,0.0,0
2019-06-05,184.43,185.84,182.34,185.6,744800,0.0,0
2019-06-06,185.71,188.54,185.54,187.66,567800,0.0,0
2019-06-07,188.74,190.26,188.51,188.65,476800,0.0,0
2019-06-10,189.65,191.81,189.41,190.68,763800,0.0,0
2019-06-11,191.93,191.93,186.62,188.62,772100,0.0,0
2019-06-12,188.23,189.97,187.24,189.56,688900,0.0,0
2019-06-13,190.46,191.2,188.13,191.09,792100,0.0,0
2019-06-14,189.22,192.28,189.22,191.03,653900,0.0,0
2019-06-17,191.57,192.6,189.79,190.55,788200,0.0,0
2019-06-18,190.69,193.37,190.69,192.76,609700,0.0,0
2019-06-19,193.29,196.0,192.22,194.76,1208000,0.0,0
2019-06-20,197.14,200.05,195.74,196.05,1879400,0.0,0
2019-06-21,196.25,196.25,192.97,193.27,2023600,0.0,0
2019-06-24,193.62,195.14,193.56,193.82,1391000,0.0,0
2019-06-25,194.69,196.07,192.48,192.51,1833700,0.0,0
2019-06-26,193.23,193.23,191.34,192.61,626200,0.0,0
2019-06-27,193.86,194.36,192.27,194.04,409600,0.0,0
2019-06-28,194.98,196.33,194.02,194.02,3133100,0.0,0
2019-07-01,197.15,198.05,196.13,197.02,1091300,0.0,0
2019-07-02,196.81,199.27,196.81,198.94,655600,0.0,0
2019-07-03,200.11,201.39,198.95,201.27,277100,0.0,0
2019-07-05,200.67,201.06,197.71,200.1,605600,0.0,0
2019-07-08,198.87,199.21,195.58,196.27,479400,0.0,0
2019-07-09,194.65,196.89,194.14,196.74,521200,0.0,0
2019-07-10,199.29,199.6,197.84,198.45,607500,0.0,0
