Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,41.54,41.99,41.14,41.66,6523800,0.0,0
2019-03-22,41.13,41.24,39.91,40.28,8601300,0.0,0
2019-03-25,40.37,40.77,39.92,40.36,5364700,0.0,0
2019-03-26,40.8,41.15,40.6,40.93,4456200,0.0,0
2019-03-27,40.83,41.22,40.54,40.96,5448300,0.0,0
2019-03-28,40.95,41.32,40.43,40.94,4130300,0.0,0
2019-03-29,41.38,41.45,40.89,41.03,5756400,0.0,0
2019-04-01,41.21,42.59,41.2,42.54,6164500,0.0,0
2019-04-02,42.52,42.83,42.26,42.34,5029600,0.0,0
2019-04-03,42.75,43.22,42.42,42.59,4013600,0.0,0
2019-04-04,42.75,43.3,42.53,43.12,4042900,0.0,0
2019-04-05,43.24,43.54,42.95,43.43,4505300,0.0,0
2019-04-08,43.28,43.51,43.19,43.38,3243000,0.0,0
2019-04-09,43.14,43.25,42.53,42.7,6128800,0.0,0
2019-04-10,42.65,43.26,42.36,43.21,3240400,0.0,0
2019-04-11,43.44,44.03,43.37,43.64,4251500,0.0,0
2019-04-12,44.31,44.85,43.98,44.2,5493400,0.0,0
2019-04-15,44.14,44.36,43.47,43.62,4355700,0.0,0
2019-04-16,43.85,44.67,43.75,44.52,5209200,0.0,0
2019-04-17,44.69,44.69,43.87,44.15,5176600,0.0,0
2019-04-18,44.02,44.22,43.62,43.68,6078000,0.0,0
2019-04-22,43.62,43.78,43.42,43.58,2460600,0.0,0
2019-04-23,43.42,43.97,43.38,43.79,4035900,0.0,0
2019-04-24,43.62,43.76,43.24,43.31,3491600,0.0,0
2019-04-25,43.13,43.49,42.81,43.09,4337100,0.0,0
2019-04-26,43.18,43.5,42.94,43.47,3087400,0.0,0
2019-04-29,43.66,44.24,43.55,44.07,4265500,0.0,0
2019-04-30,44.18,44.51,43.64,44.46,5010400,0.0,0
2019-05-01,44.37,44.82,43.91,44.06,5326300,0.0,0
2019-05-02,45.01,46.39,44.89,45.7,9433400,0.0,0
