Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,125.68,128.87,125.68,128.14,523000,0,0
2019-03-22,127.66,128.47,124.51,124.86,698200,0,0
2019-03-25,124.91,125.75,123.46,124.75,627600,0,0
2019-03-26,124.69,126.24,123.3,125.26,875400,0,0
2019-03-27,125.83,127.96,125.19,126.13,1004400,0,0
2019-03-28,126.4,127.79,124.59,125.98,758900,0,0
2019-03-29,125.8,127.44,124.45,126.15,681500,0,0
2019-04-01,127.04,128.76,126.51,127.88,537200,0,0
2019-04-02,127.52,128.64,127.05,127.36,399600,0,0
2019-04-03,128.08,128.25,126.58,126.82,745100,0,0
2019-04-04,126.7,129.79,126.42,129.69,532600,0,0
2019-04-05,130.25,132.02,129.98,131.59,379400,0,0
2019-04-08,131.4,132.83,130.65,132.75,532100,0,0
2019-04-09,132.71,132.71,130.64,131.31,595700,0,0
2019-04-10,131.0,132.24,129.12,131.2,646500,0,0
2019-04-11,130.92,132.06,130.71,131.4,320900,0,0
2019-04-12,132.19,133.34,130.75,132.13,467100,0,0
2019-04-15,131.8,133.59,131.45,131.58,691300,0,0
2019-04-16,131.86,132.52,129.24,131.1,587500,0,0
2019-04-17,131.5,132.43,130.38,130.87,395800,0,0
2019-04-18,130.65,131.94,130.07,131.77,615400,0,0
2019-04-22,131.04,132.18,130.89,131.4,709900,0,0
2019-04-23,131.87,134.33,131.54,134.14,880600,0,0
2019-04-24,133.98,134.8,132.47,134.16,1232200,0,0
2019-04-25,133.0,134.13,130.14,130.71,1318400,0,0
2019-04-26,128.88,130.09,118.25,127.0,1971800,0,0
2019-04-29,127.21,131.52,126.88,130.56,720900,0,0
2019-04-30,134.37,137.04,133.02,136.25,1411800,0,0
2019-05-01,136.79,138.49,135.32,135.35,808100,0,0
2019-05-02,135.59,138.15,135.38,135.83,675800,0,0
2019-05-03,137.04,139.44,136.11,139.09,413700,0,0
2019-05-06,136.46,138.34,135.1,137.78,615700,0,0
2019-05-07,136.63,138.12,134.9,136.46,807500,0,0
2019-05-08,136.17,136.82,133.95,134.04,400800,0,0
2019-05-09,132.81,133.78,130.98,132.84,497100,0,0
2019-05-10,133.03,135.58,130.84,135.36,515900,0,0
2019-05-13,132.83,133.09,130.05,131.16,774200,0,0
2019-05-14,131.17,135.12,130.78,134.21,599600,0,0
2019-05-15,132.89,136.13,131.21,135.97,543900,0,0
2019-05-16,137.68,141.49,136.89,140.31,1248000,0,0
2019-05-17,139.27,141.63,138.35,138.69,669200,0,0
2019-05-20,137.74,137.95,136.59,137.12,691100,0,0
2019-05-21,137.58,141.04,137.44,141.03,560200,0,0
2019-05-22,139.73,140.71,138.13,140.49,657800,0,0
2019-05-23,139.49,141.87,138.26,141.71,933800,0,0
2019-05-24,142.4,146.47,142.03,145.9,1264600,0,0
2019-05-28,145.82,145.88,141.43,141.45,1020500,0,0
