Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,235.05,239.78,234.99,238.62,270300,0.0,0
2019-03-22,237.45,239.35,235.66,236.81,180100,0.0,0
2019-03-25,237.27,238.45,235.59,237.59,188700,0.0,0
2019-03-26,239.23,242.94,237.65,242.12,189000,0.0,0
2019-03-27,242.44,244.53,241.34,243.51,150000,0.0,0
2019-03-28,243.94,248.34,242.69,244.94,166900,0.0,0
2019-03-29,246.41,246.72,244.13,244.5,188500,0.0,0
2019-04-01,246.54,247.85,243.01,245.14,196300,0.0,0
2019-04-02,245.89,247.97,244.24,247.09,246700,0.0,0
2019-04-03,248.56,256.58,243.81,245.1,246000,0.0,0
2019-04-04,245.58,247.35,239.57,246.82,303200,0.0,0
2019-04-05,246.82,252.49,246.69,252.26,192300,0.0,0
2019-04-08,252.26,256.75,250.08,256.48,220600,0.0,0
2019-04-09,255.48,258.9,255.27,257.33,191500,0.0,0
2019-04-10,258.15,258.29,256.15,256.8,213400,0.0,0
2019-04-11,257.72,258.52,255.03,255.57,276800,0.0,0
2019-04-12,256.59,258.53,255.85,258.18,209400,0.0,0
2019-04-15,258.66,260.5,258.12,260.06,315900,0.0,0
2019-04-16,260.75,262.95,259.18,261.23,625900,0.0,0
2019-04-17,262.22,263.21,259.56,260.55,283700,0.0,0
2019-04-18,260.24,262.63,259.83,262.23,468100,0.0,0
2019-04-22,261.93,262.69,259.82,260.45,339400,0.0,0
2019-04-23,261.27,261.83,258.97,260.82,564900,0.0,0
2019-04-24,261.66,265.19,254.96,262.68,403000,0.0,0
2019-04-25,261.32,265.12,259.15,263.76,211400,0.0,0
2019-04-26,262.0,269.03,262.0,267.95,279400,0.0,0
2019-04-29,270.69,276.31,269.25,274.53,359100,0.0,0
2019-04-30,274.94,278.1,272.8,276.54,248500,0.0,0
2019-05-01,277.46,281.89,275.81,280.23,279900,0.0,0
2019-05-02,280.6,282.66,278.54,281.1,265000,0.0,0
2019-05-03,282.0,286.61,281.37,284.21,250000,0.0,0
2019-05-06,281.11,292.02,281.11,288.58,403600,0.0,0
2019-05-07,287.26,290.45,278.46,278.56,375600,0.51,0
2019-05-08,278.66,281.39,277.52,279.51,253200,0.0,0
2019-05-09,277.34,279.05,273.84,276.7,283200,0.0,0
2019-05-10,275.79,280.52,274.48,279.64,275200,0.0,0
2019-05-13,275.9,280.66,274.63,280.34,271500,0.0,0
2019-05-14,280.87,288.18,280.87,286.05,437300,0.0,0
2019-05-15,284.76,289.43,284.06,285.66,309400,0.0,0
2019-05-16,287.14,289.36,286.6,288.08,267700,0.0,0
2019-05-17,286.57,291.71,285.97,290.81,470200,0.0,0
2019-05-20,289.21,293.17,289.21,292.22,242900,0.0,0
2019-05-21,292.52,297.6,288.92,290.68,341500,0.0,0
2019-05-22,291.25,293.51,289.17,291.12,295300,0.0,0
