Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,194.43,198.26,193.51,196.94,472700,0.0,0
2019-03-22,196.67,197.56,190.3,190.42,849200,0.0,0
2019-03-25,189.93,195.21,189.93,194.7,387400,0.0,0
2019-03-26,196.16,196.56,191.38,195.01,580700,0.0,0
2019-03-27,194.27,197.26,193.04,194.71,528700,0.0,0
2019-03-28,194.98,197.15,194.36,196.17,404200,0.0,0
2019-03-29,198.27,202.02,198.01,199.41,1004400,0.0,0
2019-04-01,202.1,203.25,200.45,202.2,813000,0.0,0
2019-04-02,202.85,205.88,202.0,203.62,1019800,0.0,0
2019-04-03,203.77,204.87,199.8,200.88,557100,0.0,0
2019-04-04,200.97,204.87,200.29,202.03,452900,0.0,0
2019-04-05,202.85,204.98,202.38,204.01,446100,0.0,0
2019-04-08,203.08,205.01,203.08,204.01,320100,0.0,0
2019-04-09,203.88,204.56,201.77,203.18,357400,0.0,0
2019-04-10,202.82,203.31,200.98,203.04,289300,0.0,0
2019-04-11,203.86,206.07,202.85,205.39,528000,0.0,0
2019-04-12,209.13,212.49,206.59,210.29,736300,0.0,0
2019-04-15,210.03,211.17,207.76,209.79,450600,0.0,0
2019-04-16,207.75,210.26,206.55,210.14,566400,0.0,0
2019-04-17,210.73,210.73,205.91,207.76,469500,0.0,0
2019-04-18,208.58,211.29,208.22,209.71,465400,0.0,0
2019-04-22,208.69,210.6,207.08,210.28,279200,0.0,0
2019-04-23,210.29,211.86,208.88,210.25,351100,0.0,0
2019-04-24,210.79,214.05,210.58,212.16,496900,0.0,0
2019-04-25,211.34,212.54,208.63,210.48,374700,0.0,0
2019-04-26,210.89,213.01,210.16,212.39,799000,0.0,0
2019-04-29,212.07,213.7,211.47,212.33,922700,0.0,0
2019-04-30,224.32,225.18,217.75,219.95,1415800,0.0,0
2019-05-01,221.53,225.31,216.59,217.23,935200,0.0,0
2019-05-02,218.61,222.36,217.83,220.98,726500,0.0,0
2019-05-03,221.4,223.03,218.36,219.49,419500,0.0,0
2019-05-06,216.34,220.62,214.82,218.87,659600,0.0,0
2019-05-07,216.47,218.62,215.82,218.3,488300,0.0,0
2019-05-08,217.83,218.84,213.95,214.24,463100,0.0,0
2019-05-09,212.48,215.58,210.98,215.03,506900,0.0,0
2019-05-10,214.35,216.74,211.6,213.97,606000,0.0,0
2019-05-13,210.53,212.58,208.8,210.62,699300,0.0,0
2019-05-14,211.64,214.96,210.67,213.78,652000,0.0,0
2019-05-15,211.95,215.76,210.89,215.4,624300,0.0,0
2019-05-16,215.82,218.7,215.5,217.68,767500,0.0,0
2019-05-17,215.99,218.28,215.05,215.61,395100,0.0,0
2019-05-20,214.61,217.63,213.55,215.79,493400,0.0,0
2019-05-21,216.5,220.74,216.5,218.38,412700,0.0,0
2019-05-22,217.6,218.23,213.31,213.51,452800,0.0,0
2019-05-23,211.63,212.17,208.31,210.86,451000,0.0,0
2019-05-24,211.28,212.42,208.44,210.25,426300,0.0,0
2019-05-28,211.37,212.67,206.7,206.72,602100,0.0,0
2019-05-29,207.18,208.76,205.21,208.53,434400,0.0,0
2019-05-30,208.59,211.59,208.59,210.69,549200,0.0,0
2019-05-31,207.27,209.98,203.67,209.12,647800,0.48,0
2019-06-03,209.09,215.12,209.09,214.83,715900,0.0,0
2019-06-04,216.11,222.28,215.95,222.19,722800,0.0,0
2019-06-05,222.05,224.47,220.77,224.37,642000,0.0,0
2019-06-06,225.73,228.43,224.52,227.88,688900,0.0,0
2019-06-07,228.49,230.18,227.26,229.12,574200,0.0,0
2019-06-10,230.26,230.91,226.41,228.01,510800,0.0,0
2019-06-11,229.13,229.81,214.7,219.49,980200,0.0,0
2019-06-12,220.07,220.07,216.23,218.08,729100,0.0,0
2019-06-13,218.9,224.32,217.6,221.11,452400,0.0,0
2019-06-14,220.97,222.93,219.02,222.51,306000,0.0,0
2019-06-17,222.53,224.82,222.46,222.96,429900,0.0,0
2019-06-18,225.32,226.17,219.82,219.9,471900,0.0,0
2019-06-19,220.83,221.26,212.78,220.76,513700,0.0,0
2019-06-20,222.59,225.2,219.51,222.54,470900,0.0,0
2019-06-21,223.29,225.81,221.91,223.45,636300,0.0,0
2019-06-24,223.23,224.31,221.39,223.46,355200,0.0,0
2019-06-25,223.47,224.23,222.34,223.18,331800,0.0,0
2019-06-26,223.17,224.16,221.26,222.69,511900,0.0,0
2019-06-27,224.2,226.13,222.44,225.23,409700,0.0,0
2019-06-28,225.08,229.32,224.52,228.6,924800,0.0,0
2019-07-01,230.38,231.28,223.92,226.59,503700,0.0,0
2019-07-02,227.29,227.58,223.84,225.22,467800,0.0,0
2019-07-03,224.99,229.75,224.78,229.5,290000,0.0,0
2019-07-05,228.41,229.53,226.71,229.33,195600,0.0,0
2019-07-08,228.17,228.36,225.69,227.5,436200,0.0,0
2019-07-09,227.56,228.23,225.76,227.44,345800,0.0,0
2019-07-10,228.56,229.13,223.5,224.53,388900,0.0,0
2019-07-11,223.61,224.54,221.6,223.52,363100,0.0,0
2019-07-12,223.99,226.11,222.62,225.01,386500,0.0,0
2019-07-15,225.85,225.85,221.27,223.51,675300,0.0,0
2019-07-16,223.52,229.73,223.5,228.62,426200,0.0,0
2019-07-17,228.62,229.86,224.96,226.92,362800,0.0,0
2019-07-18,226.33,227.3,221.4,224.05,596200,0.0,0
2019-07-19,224.6,227.08,222.74,222.85,461700,0.0,0
2019-07-22,222.01,224.36,219.16,219.61,492500,0.0,0
2019-07-23,221.44,223.53,220.09,222.06,548600,0.0,0
2019-07-24,221.26,225.83,220.77,225.26,1912000,0.0,0
2019-07-25,225.68,226.37,220.02,220.42,522400,0.0,0
2019-07-26,220.08,224.6,219.82,222.35,608400,0.0,0
2019-07-29,222.22,223.59,221.11,222.52,760300,0.0,0
2019-07-30,231.69,244.86,229.48,244.72,1347900,0.0,0
2019-07-31,246.03,250.43,244.22,246.12,1417600,0.0,0
2019-08-01,246.48,247.32,239.8,242.89,686300,0.0,0
