Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,27.79,28.31,27.78,28.0,3122100,0.0,0
2019-03-22,27.66,27.82,26.53,26.57,3796400,0.0,0
2019-03-25,26.46,26.89,26.35,26.64,2494300,0.0,0
2019-03-26,26.81,26.97,25.67,26.14,6458800,0.0,0
2019-03-27,26.24,26.6,26.24,26.32,3874800,0.0,0
2019-03-28,26.74,27.41,26.62,26.88,5906700,0.0,0
2019-03-29,27.09,27.39,26.82,27.02,3913200,0.0,0
2019-04-01,27.11,27.64,27.04,27.54,3181600,0.0,0
2019-04-02,27.53,27.66,27.11,27.22,2925800,0.0,0
2019-04-03,27.5,27.67,26.96,27.07,3661300,0.0,0
2019-04-04,27.0,27.44,26.84,27.43,2294700,0.0,0
2019-04-05,27.48,27.71,27.3,27.62,3509000,0.0,0
2019-04-08,27.63,27.64,27.27,27.55,2275800,0.0,0
2019-04-09,27.4,27.59,27.07,27.15,2449400,0.0,0
2019-04-10,27.21,27.33,26.93,27.07,4568500,0.0,0
2019-04-11,27.0,27.08,26.58,26.71,2770500,0.0,0
2019-04-12,26.53,26.81,26.14,26.52,6289200,0.0,0
2019-04-15,26.57,26.94,26.33,26.35,3459800,0.0,0
2019-04-16,26.39,26.64,26.39,26.56,3146400,0.0,0
2019-04-17,26.68,26.9,26.53,26.61,3801600,0.0,0
2019-04-18,26.53,26.88,26.3,26.78,3989200,0.0,0
2019-04-22,26.7,27.07,26.59,26.87,3243300,0.0,0
2019-04-23,26.73,26.93,25.93,26.55,4685900,0.0,0
2019-04-24,26.51,26.61,25.9,26.04,5112600,0.0,0
2019-04-25,25.95,26.3,25.75,25.77,4825500,0.0,0
2019-04-26,25.75,26.37,25.6,25.9,8929200,0.0,0
2019-04-29,25.75,26.02,25.64,25.85,5078000,0.0,0
2019-04-30,25.86,25.98,25.63,25.83,3478800,0.0,0
2019-05-01,25.84,25.98,25.54,25.54,2875000,0.0,0
2019-05-02,25.01,25.47,24.61,24.98,4500500,0.0,0
2019-05-03,25.17,25.44,24.93,25.35,3412600,0.0,0
2019-05-06,24.53,25.35,24.51,25.0,3760300,0.0,0
