Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,59.61,60.88,59.3,60.34,6306700,0.0,0
2019-03-22,59.7,60.06,58.27,58.91,4664600,0.0,0
2019-03-25,58.75,59.04,58.01,58.79,5190100,0.0,0
2019-03-26,59.41,60.38,58.85,59.54,4191500,0.0,0
2019-03-27,59.29,60.07,58.99,59.77,4793400,0.0,0
2019-03-28,59.38,59.85,58.24,58.57,5095500,0.0,0
2019-03-29,59.01,59.13,57.38,57.52,8245000,0.0,0
2019-04-01,58.1,58.86,57.39,58.67,6993500,0.0,0
2019-04-02,58.32,58.51,57.06,57.58,7284200,0.0,0
2019-04-03,58.03,58.78,57.79,58.03,6979400,0.0,0
2019-04-04,58.07,59.47,57.86,58.96,5838700,0.0,0
2019-04-05,59.0,61.02,59.0,61.0,7359600,0.0,0
2019-04-08,61.1,61.19,60.2,60.89,7353200,0.0,0
2019-04-09,60.57,60.93,59.47,59.74,6046900,0.0,0
2019-04-10,59.92,61.5,59.63,61.12,8247800,0.0,0
2019-04-11,61.36,62.01,60.6,60.65,5284900,0.0,0
2019-04-12,61.33,61.46,59.01,59.19,10104400,0.0,0
2019-04-15,59.09,59.37,57.94,58.18,7075900,0.0,0
2019-04-16,58.13,58.24,57.17,57.68,7899900,0.0,0
2019-04-17,58.33,58.76,57.83,57.89,5500500,0.0,0
2019-04-18,57.9,58.45,57.36,57.48,6363800,0.0,0
2019-04-22,58.01,59.01,57.92,58.75,6186600,0.0,0
2019-04-23,58.9,59.12,58.04,58.68,6804700,0.0,0
2019-04-24,58.67,58.96,57.14,57.18,7056500,0.0,0
2019-04-25,57.43,59.07,57.23,58.29,6554000,0.0,0
2019-04-26,57.94,58.79,57.66,58.04,6244500,0.0,0
2019-04-29,58.14,58.98,57.92,58.61,4506800,0.0,0
2019-04-30,59.08,59.77,58.45,58.5,5005400,0.0,0
2019-05-01,58.72,59.32,57.61,57.61,4991300,0.0,0
2019-05-02,57.69,58.24,55.91,56.4,6849500,0.0,0
2019-05-03,56.95,57.83,56.91,57.62,5626700,0.0,0
2019-05-06,56.94,57.34,56.12,57.17,6409400,0.0,0
2019-05-07,56.46,57.18,55.29,57.11,9697100,0.0,0
2019-05-08,55.62,55.87,52.82,53.08,16021700,0.0,0
2019-05-09,53.02,53.55,50.45,50.9,15870600,0.0,0
2019-05-10,50.92,51.63,50.0,51.08,10158900,0.0,0
2019-05-13,50.27,50.81,48.63,48.74,7505300,0.0,0
2019-05-14,49.01,49.65,48.71,49.31,7644100,0.0,0
2019-05-15,49.2,49.96,48.74,49.71,7209900,0.53,0
2019-05-16,49.81,51.71,49.81,51.33,11750700,0.0,0
2019-05-17,50.84,51.09,50.27,50.45,6239600,0.0,0
2019-05-20,50.2,50.8,49.85,50.61,5315900,0.0,0
2019-05-21,51.07,52.22,50.96,51.74,6908700,0.0,0
2019-05-22,51.4,51.54,50.24,50.42,5547700,0.0,0
2019-05-23,49.6,49.68,48.27,48.69,10245900,0.0,0
2019-05-24,48.91,49.3,48.33,48.83,4860800,0.0,0
2019-05-28,49.12,49.28,47.53,47.58,8418500,0.0,0
2019-05-29,46.85,47.68,46.63,47.57,5894900,0.0,0
2019-05-30,47.33,47.47,45.59,45.75,8279000,0.0,0
2019-05-31,44.87,45.06,44.15,44.66,12939000,0.0,0
2019-06-03,44.77,45.88,44.69,45.77,8684100,0.0,0
2019-06-04,46.11,47.25,45.77,47.09,8225500,0.0,0
2019-06-05,47.45,47.45,45.66,46.31,7868200,0.0,0
2019-06-06,46.27,46.82,45.45,46.71,9358600,0.0,0
2019-06-07,46.99,47.24,44.99,45.63,10342900,0.0,0
2019-06-10,46.1,47.07,46.05,46.3,7440200,0.0,0
2019-06-11,46.75,47.07,46.39,46.39,5619100,0.0,0
2019-06-12,46.26,46.5,45.55,45.61,6600300,0.0,0
2019-06-13,46.07,46.71,45.77,46.51,6491400,0.0,0
2019-06-14,46.42,46.61,45.96,46.57,5463300,0.0,0
2019-06-17,46.59,47.58,46.37,47.3,8369100,0.0,0
2019-06-18,47.39,48.6,47.39,48.2,7502200,0.0,0
