Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,189.1,193.94,189.1,193.62,694300,0.0,0
2019-03-22,192.05,193.24,189.17,189.85,806400,0.0,0
2019-03-25,189.23,190.23,187.94,189.57,591700,0.0,0
2019-03-26,190.71,192.49,189.15,192.4,494600,0.0,0
2019-03-27,192.11,192.77,189.71,191.34,439600,0.0,0
2019-03-28,192.12,194.75,191.32,194.58,471400,0.0,0
2019-03-29,196.1,197.3,194.75,196.76,525600,0.0,0
2019-04-01,198.88,200.2,198.35,199.77,617300,0.0,0
2019-04-02,200.12,203.06,199.6,202.75,859800,0.0,0
2019-04-03,204.02,204.36,202.59,204.18,513600,0.0,0
2019-04-04,205.06,205.1,202.5,204.12,463100,0.0,0
2019-04-05,204.15,205.16,202.91,204.82,530700,0.0,0
2019-04-08,204.87,208.9,204.79,208.79,607800,0.0,0
2019-04-09,208.09,209.73,207.6,209.67,520100,0.0,0
2019-04-10,211.07,213.29,209.94,212.36,623100,0.0,0
2019-04-11,212.53,214.76,212.5,214.04,687700,0.0,0
2019-04-12,216.17,216.22,214.48,215.71,650900,0.0,0
2019-04-15,215.83,217.17,215.35,216.7,477000,0.0,0
2019-04-16,217.24,217.98,215.55,217.04,698500,0.0,0
2019-04-17,218.32,218.32,216.02,216.71,714600,0.0,0
2019-04-18,216.3,219.13,215.23,219.03,523200,0.0,0
2019-04-22,218.21,220.89,217.69,220.2,215400,0.0,0
2019-04-23,220.62,223.77,219.83,223.66,553700,0.0,0
2019-04-24,222.97,224.5,222.27,222.42,511000,0.0,0
2019-04-25,222.23,222.66,218.8,220.94,908600,0.0,0
2019-04-26,221.62,223.71,219.91,223.65,389400,0.0,0
2019-04-29,223.2,224.28,221.11,221.44,499400,0.0,0
2019-04-30,220.71,223.35,220.3,223.02,804100,0.0,0
2019-05-01,223.22,223.99,220.39,220.39,689600,0.0,0
2019-05-02,222.73,222.73,214.85,218.97,925000,0.0,0
2019-05-03,219.07,225.03,218.28,224.55,520500,0.0,0
2019-05-06,221.22,228.03,219.96,227.23,605800,0.0,0
2019-05-07,225.14,225.78,217.75,219.61,737800,0.0,0
2019-05-08,219.89,223.51,219.06,221.49,589000,0.0,0
2019-05-09,218.81,221.22,216.85,219.56,576600,0.0,0
2019-05-10,219.12,222.7,216.14,221.93,388800,0.0,0
2019-05-13,218.53,218.87,207.67,213.1,1587100,0.0,0
2019-05-14,213.23,219.75,213.23,218.13,503400,0.0,0
2019-05-15,216.0,220.56,216.0,218.59,432800,0.0,0
2019-05-16,219.67,226.17,219.4,224.29,562900,0.58,0
2019-05-17,221.99,224.79,221.28,223.04,466200,0.0,0
2019-05-20,222.22,223.02,220.0,220.92,348600,0.0,0
2019-05-21,224.18,225.04,222.22,223.14,692500,0.0,0
