Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,28.57,29.3,28.48,29.25,5119000,0,0
2019-03-22,29.02,29.12,28.32,28.69,5578300,0,0
2019-03-25,28.67,28.67,27.94,28.32,6143800,0,0
2019-03-26,28.38,28.83,27.97,28.18,6004200,0,0
2019-03-27,28.19,28.59,27.83,28.25,4802100,0,0
2019-03-28,28.16,28.44,27.95,28.24,5558500,0,0
2019-03-29,28.29,28.56,28.15,28.34,4364000,0,0
2019-04-01,28.63,28.88,28.39,28.47,4094100,0,0
2019-04-02,28.46,28.51,27.54,27.61,5482700,0,0
2019-04-03,27.69,27.72,26.62,26.98,8373000,0,0
2019-04-04,27.01,27.64,27.01,27.42,4425600,0,0
2019-04-05,27.47,27.82,27.46,27.63,3279500,0,0
2019-04-08,27.57,27.85,27.31,27.77,2298700,0,0
2019-04-09,27.63,27.71,27.07,27.12,3234400,0,0
2019-04-10,27.09,27.34,26.97,27.22,3010400,0,0
2019-04-11,27.19,27.43,26.85,27.01,2362600,0,0
2019-04-12,27.04,27.41,26.8,26.97,2987800,0,0
2019-04-15,26.99,27.1,26.59,26.93,5084700,0,0
2019-04-16,27.18,27.27,26.82,27.07,3200400,0,0
2019-04-17,27.25,27.25,26.44,26.73,4293000,0,0
2019-04-18,26.83,27.18,26.57,26.85,3806700,0,0
2019-04-22,26.7,26.86,26.46,26.72,2694800,0,0
2019-04-23,26.72,27.08,26.42,26.6,5564900,0,0
2019-04-24,26.67,26.79,26.33,26.44,3212900,0,0
2019-04-25,26.35,26.79,26.07,26.68,3710300,0,0
2019-04-26,26.76,27.07,26.51,27.04,3645100,0,0
2019-04-29,27.07,27.36,26.89,27.25,4998800,0,0
2019-04-30,27.32,27.52,26.81,26.99,4850600,0,0
2019-05-01,26.95,27.5,26.86,27.07,7177800,0,0
2019-05-02,27.11,27.91,27.11,27.68,5493500,0,0
2019-05-03,27.7,28.15,27.7,28.01,4864700,0,0
2019-05-06,27.62,28.46,27.38,28.26,7222700,0,0
2019-05-07,26.7,26.95,21.52,21.53,51179900,0,0
2019-05-08,21.59,22.49,21.23,21.89,20281100,0,0
2019-05-09,21.8,23.19,21.62,22.76,14385000,0,0
2019-05-10,22.62,22.98,21.76,22.17,7795600,0,0
2019-05-13,21.29,21.44,19.73,20.08,16383700,0,0
2019-05-14,20.12,20.58,20.12,20.41,6488300,0,0
2019-05-15,20.15,20.19,19.4,20.05,9991900,0,0
2019-05-16,20.12,20.51,19.89,20.21,8423100,0,0
2019-05-17,20.04,20.07,19.63,19.64,5354700,0,0
2019-05-20,19.64,19.77,19.14,19.42,6743600,0,0
2019-05-21,19.51,19.97,19.45,19.67,7061900,0,0
2019-05-22,19.52,19.75,19.15,19.65,7192400,0,0
2019-05-23,19.46,19.54,18.93,19.17,7282700,0,0
2019-05-24,19.25,19.48,18.93,18.98,5052500,0,0
2019-05-28,18.9,18.92,17.71,17.87,17399900,0,0
2019-05-29,17.76,18.09,17.25,18.0,12998900,0,0
2019-05-30,17.98,18.24,17.13,17.21,7451800,0,0
2019-05-31,17.11,17.17,16.63,16.8,11146900,0,0
2019-06-03,16.91,17.46,16.9,17.19,8696900,0,0
2019-06-04,17.46,18.01,17.45,17.82,9038200,0,0
2019-06-05,17.93,18.13,17.31,17.77,6843600,0,0
2019-06-06,17.76,17.9,17.32,17.45,5265100,0,0
2019-06-07,17.55,17.68,17.2,17.4,6906000,0,0
2019-06-10,17.49,17.91,17.41,17.57,4801000,0,0
2019-06-11,17.98,18.06,17.48,17.51,4933100,0,0
2019-06-12,17.46,17.54,16.91,17.16,4721400,0,0
2019-06-13,17.2,17.39,17.03,17.38,3694300,0,0
2019-06-14,17.41,17.51,16.91,17.02,4399700,0,0
2019-06-17,17.04,17.59,16.96,17.27,5107600,0,0
2019-06-18,17.5,17.96,17.27,17.75,5347700,0,0
2019-06-19,17.91,18.45,17.75,18.1,8359600,0,0
2019-06-20,18.4,18.65,18.08,18.21,6978000,0,0
2019-06-21,18.34,18.35,17.74,18.32,10868500,0,0
2019-06-24,18.41,18.43,17.77,17.96,6961500,0,0
2019-06-25,18.31,18.78,18.14,18.65,10356300,0,0
2019-06-26,18.74,18.84,18.5,18.66,5787400,0,0
2019-06-27,18.76,19.23,18.69,18.97,5708000,0,0
2019-06-28,19.1,19.15,18.89,19.04,6604000,0,0
2019-07-01,19.34,19.64,19.27,19.44,6876900,0,0
2019-07-02,19.53,19.62,19.14,19.35,6633700,0,0
2019-07-03,19.49,19.74,19.41,19.68,4133700,0,0
2019-07-05,19.67,19.78,19.27,19.49,4749200,0,0
2019-07-08,19.41,19.54,19.02,19.27,5286200,0,0
2019-07-09,19.2,19.68,18.85,19.62,5089700,0,0
2019-07-10,19.1,19.19,18.55,19.13,8275400,0,0
2019-07-11,19.1,19.34,18.66,19.04,4673400,0,0
2019-07-12,19.11,19.38,18.86,19.22,3314100,0,0
2019-07-15,19.05,19.18,18.87,18.97,4299400,0,0
2019-07-16,18.96,19.0,18.4,18.43,6043600,0,0
2019-07-17,18.45,18.45,17.71,17.91,7003700,0,0
2019-07-18,17.83,17.96,17.63,17.85,7272800,0,0
2019-07-19,17.86,18.25,17.66,18.1,6100600,0,0
2019-07-22,18.14,18.23,17.77,18.05,4202500,0,0
2019-07-23,18.18,18.38,18.02,18.34,5236600,0,0
2019-07-24,18.31,18.97,18.3,18.91,7262200,0,0
2019-07-25,18.96,18.97,18.3,18.44,6439200,0,0
2019-07-26,18.52,18.62,18.37,18.46,3602900,0,0
2019-07-29,20.95,21.88,19.7,20.78,61207800,0,0
2019-07-30,20.71,21.7,20.58,21.43,18440600,0,0
2019-07-31,21.44,21.44,20.62,20.9,12073200,0,0
2019-08-01,20.8,21.19,20.05,20.32,10840200,0,0
2019-08-02,20.36,20.45,19.65,19.84,6574500,0,0
2019-08-05,19.53,19.68,19.09,19.35,8660800,0,0
2019-08-06,19.47,19.48,17.66,18.2,15592800,0,0
2019-08-07,17.88,18.6,17.31,18.49,9715700,0,0
2019-08-08,18.43,19.1,18.08,19.09,7113400,0,0
2019-08-09,19.05,19.62,18.83,19.48,6412500,0,0
2019-08-12,19.24,19.45,19.05,19.13,6010400,0,0
2019-08-13,19.11,19.75,18.93,19.72,5424600,0,0
2019-08-14,19.38,19.43,17.96,18.04,10822700,0,0
2019-08-15,18.23,18.25,17.58,17.61,6434900,0,0
2019-08-16,17.88,18.61,17.68,18.53,5901400,0,0
2019-08-19,18.77,19.42,18.77,19.19,5653900,0,0
2019-08-20,19.18,19.81,18.99,19.09,5730200,0,0
2019-08-21,19.19,19.35,18.87,19.09,3855800,0,0
2019-08-22,19.09,19.37,18.92,19.04,3578200,0,0
2019-08-23,18.89,19.1,18.26,18.34,5126200,0,0
2019-08-26,18.54,18.9,18.44,18.79,4198700,0,0
