Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,55.58,56.67,55.57,56.5,1502300,0,0
2019-03-22,56.35,56.56,55.38,55.62,2998300,0,0
2019-03-25,55.53,55.75,54.77,55.17,1977600,0,0
2019-03-26,53.31,55.34,53.26,54.48,3147900,0,0
2019-03-27,54.65,54.76,53.54,53.94,2322300,0,0
2019-03-28,53.97,54.73,53.9,54.33,1770700,0,0
2019-03-29,54.66,55.13,54.21,54.96,2577900,0,0
2019-04-01,55.47,56.24,55.42,56.11,1708300,0,0
2019-04-02,56.03,56.56,55.65,56.5,1321000,0,0
2019-04-03,56.81,57.0,56.58,56.76,1016900,0,0
2019-04-04,56.84,57.09,56.67,56.73,1175300,0,0
2019-04-05,56.89,57.42,56.82,57.13,1469900,0,0
2019-04-08,57.1,57.31,56.52,57.29,2000900,0,0
2019-04-09,56.99,57.0,55.66,55.88,1569100,0,0
2019-04-10,55.96,56.69,55.7,56.5,1292900,0,0
2019-04-11,56.77,57.68,56.71,57.48,1906600,0,0
2019-04-12,57.96,58.81,57.93,58.6,2154200,0,0
2019-04-15,58.69,58.9,58.14,58.67,2460500,0,0
2019-04-16,58.92,59.64,58.9,59.56,1558900,0,0
2019-04-17,59.49,59.71,57.63,57.84,2661800,0,0
2019-04-18,57.76,57.94,56.6,56.92,2784600,0,0
2019-04-22,56.57,56.78,56.22,56.6,988500,0,0
2019-04-23,56.74,57.43,56.44,57.3,1569600,0,0
2019-04-24,57.22,57.51,56.79,56.98,1627500,0,0
2019-04-25,57.0,57.15,56.36,56.8,1518400,0,0
2019-04-26,56.97,57.47,56.74,57.27,1469600,0,0
2019-04-29,57.3,57.61,57.06,57.08,1389700,0,0
2019-04-30,57.14,57.14,56.11,56.39,2274500,0,0
2019-05-01,58.71,59.6,57.92,58.0,3898700,0,0
2019-05-02,57.67,57.8,56.58,56.9,2163600,0,0
2019-05-03,57.11,58.43,57.02,58.25,2403100,0,0
2019-05-06,57.04,58.57,56.96,58.29,1942300,0,0
2019-05-07,57.69,58.01,56.69,57.19,1733300,0,0
2019-05-08,57.04,57.61,56.79,57.34,2909100,0,0
2019-05-09,58.0,58.26,55.77,57.59,3546800,0,0
2019-05-10,57.63,58.4,55.92,57.9,2560100,0,0
2019-05-13,57.02,57.02,55.09,55.29,3309300,0,0
2019-05-14,55.5,56.9,55.42,56.3,2938600,0,0
2019-05-15,55.77,56.95,55.39,56.73,1511000,0,0
2019-05-16,57.0,57.87,56.76,57.55,1262200,0,0
2019-05-17,56.79,57.77,56.75,56.92,1255400,0,0
2019-05-20,56.0,56.1,55.63,55.89,1492200,0,0
2019-05-21,56.38,56.97,56.3,56.77,2098200,0,0
2019-05-22,56.41,56.99,56.3,56.81,1133600,0,0
2019-05-23,56.06,56.43,55.19,55.55,1444400,0,0
2019-05-24,56.0,56.19,55.32,55.38,1175600,0,0
2019-05-28,55.48,55.83,55.02,55.22,1258700,0,0
2019-05-29,55.0,55.36,54.38,54.66,1888400,0,0
2019-05-30,54.88,55.34,54.78,55.16,711600,0,0
2019-05-31,54.5,54.93,54.27,54.71,1002100,0,0
2019-06-03,54.64,54.87,53.98,54.3,1790700,0,0
2019-06-04,53.96,54.41,51.56,54.26,5897000,0,0
2019-06-05,53.36,53.83,51.25,52.38,6167200,0,0
2019-06-06,52.05,52.28,51.03,51.94,3791300,0,0
2019-06-07,51.7,53.67,51.01,52.59,2570000,0,0
2019-06-10,52.59,54.02,52.53,53.83,2294700,0,0
2019-06-11,54.13,54.38,53.54,53.59,1775600,0,0
2019-06-12,53.43,53.95,53.11,53.84,1270700,0,0
2019-06-13,53.82,53.91,53.2,53.72,1288200,0,0
2019-06-14,53.78,54.54,53.59,54.28,1634400,0,0
