Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,81.52,83.07,81.52,82.76,593200,0.0,0
2019-03-22,82.23,82.74,81.74,82.31,725300,0.0,0
2019-03-25,82.37,83.73,82.37,83.31,725700,0.0,0
2019-03-26,83.75,84.31,83.34,84.2,541000,0.0,0
2019-03-27,84.17,84.6,83.59,84.48,1095800,0.0,0
2019-03-28,84.6,85.17,84.23,85.11,625900,0.0,0
2019-03-29,85.62,86.18,85.26,85.84,1221600,0.0,0
2019-04-01,86.57,86.9,85.99,86.74,648900,0.0,0
2019-04-02,86.64,87.41,86.44,87.33,677800,0.0,0
2019-04-03,87.91,88.19,87.32,87.62,674100,0.0,0
2019-04-04,87.62,87.94,87.0,87.5,487800,0.0,0
2019-04-05,87.75,87.79,86.52,86.92,780400,0.0,0
2019-04-08,86.94,87.7,86.33,87.09,567400,0.0,0
2019-04-09,86.68,87.2,85.8,86.05,396800,0.0,0
2019-04-10,86.21,86.28,85.43,85.85,600400,0.0,0
2019-04-11,86.0,86.16,84.89,85.39,895800,0.0,0
2019-04-12,86.11,86.31,85.29,86.15,647200,0.0,0
2019-04-15,86.15,87.0,85.74,86.8,368200,0.0,0
2019-04-16,87.17,88.16,86.79,88.06,536800,0.0,0
2019-04-17,88.12,88.66,87.83,88.5,457100,0.0,0
2019-04-18,88.58,88.85,88.11,88.3,556400,0.0,0
2019-04-22,88.23,88.41,87.62,88.04,475500,0.0,0
2019-04-23,88.07,88.49,87.67,87.96,1251600,0.0,0
2019-04-24,88.2,89.57,86.31,87.5,940900,0.0,0
2019-04-25,87.18,87.89,86.56,87.76,734400,0.0,0
2019-04-26,87.94,88.39,87.09,88.17,791500,0.0,0
2019-04-29,88.31,89.87,88.15,89.73,628200,0.0,0
2019-04-30,89.72,90.58,89.62,90.46,707200,0.0,0
2019-05-01,90.45,91.56,89.9,90.58,716200,0.0,0
2019-05-02,90.71,91.2,90.25,90.52,689800,0.0,0
2019-05-03,90.87,91.2,90.3,90.39,420700,0.0,0
2019-05-06,89.99,91.17,89.34,90.98,391100,0.0,0
2019-05-07,90.36,90.75,88.75,89.19,455400,0.0,0
2019-05-08,89.1,89.85,88.86,89.28,367200,0.0,0
2019-05-09,88.45,89.66,87.89,89.44,400200,0.0,0
2019-05-10,89.17,90.86,88.7,90.77,593700,0.0,0
2019-05-13,89.6,89.6,88.51,89.19,617000,0.0,0
2019-05-14,89.43,90.45,89.36,89.45,590700,0.0,0
2019-05-15,88.97,89.8,88.56,89.05,398500,0.0,0
2019-05-16,89.16,89.49,88.45,89.22,593400,0.0,0
2019-05-17,88.98,89.35,88.47,88.6,822800,0.0,0
2019-05-20,88.31,88.75,88.11,88.56,415900,0.0,0
2019-05-21,89.17,89.79,89.15,89.56,553100,0.0,0
2019-05-22,89.1,89.34,88.37,88.66,591700,0.0,0
2019-05-23,87.79,88.78,87.5,88.32,542500,0.0,0
2019-05-24,88.72,89.2,88.12,88.33,327700,0.0,0
2019-05-28,88.41,89.53,88.27,88.28,671500,0.0,0
2019-05-29,88.32,88.74,87.93,88.64,508500,0.0,0
2019-05-30,88.89,89.78,88.59,88.94,472500,0.0,0
2019-05-31,88.63,89.28,88.04,88.93,541200,0.0,0
2019-06-03,88.89,89.76,88.47,89.0,638600,0.0,0
2019-06-04,89.78,91.19,89.31,91.01,650100,0.0,0
2019-06-05,91.29,94.51,91.23,94.37,976300,0.0,0
2019-06-06,94.44,94.52,93.54,94.08,601100,0.0,0
2019-06-07,94.24,95.13,93.74,94.35,607500,0.0,0
2019-06-10,94.78,95.28,94.44,94.85,433500,0.0,0
2019-06-11,95.42,95.63,93.34,93.47,439600,0.0,0
2019-06-12,93.17,93.91,92.98,93.65,530700,0.0,0
2019-06-13,93.97,94.18,92.97,94.11,478400,0.47,0
2019-06-14,94.28,94.65,93.67,94.37,391300,0.0,0
2019-06-17,94.59,94.87,93.74,93.84,433900,0.0,0
2019-06-18,94.1,94.98,93.93,94.57,517200,0.0,0
2019-06-19,94.55,95.59,94.11,95.16,428000,0.0,0
2019-06-20,95.63,96.52,95.18,96.37,450200,0.0,0
2019-06-21,96.32,97.35,96.12,96.92,977800,0.0,0
2019-06-24,96.82,97.19,94.95,95.52,665400,0.0,0
2019-06-25,95.72,96.79,95.27,96.63,777300,0.0,0
2019-06-26,96.63,96.71,93.13,93.29,1366900,0.0,0
2019-06-27,93.83,95.17,93.83,94.83,579900,0.0,0
2019-06-28,94.75,95.43,94.66,94.83,904300,0.0,0
2019-07-01,95.68,96.09,95.07,95.79,1031700,0.0,0
2019-07-02,96.07,98.49,95.65,98.27,1400100,0.0,0
2019-07-03,97.84,100.21,97.82,100.0,1180900,0.0,0
2019-07-05,99.86,100.0,98.71,99.64,768700,0.0,0
2019-07-08,99.5,99.88,98.98,99.43,839700,0.0,0
2019-07-09,99.14,100.25,98.97,100.19,458600,0.0,0
2019-07-10,100.74,102.15,100.74,101.58,906400,0.0,0
2019-07-11,101.6,102.66,101.17,102.56,774700,0.0,0
2019-07-12,102.77,103.16,102.3,102.82,532500,0.0,0
2019-07-15,102.9,103.0,102.15,102.76,520700,0.0,0
2019-07-16,102.99,103.23,101.84,101.85,664400,0.0,0
2019-07-17,101.81,102.12,101.08,101.21,803400,0.0,0
2019-07-18,101.08,101.91,100.78,101.7,706400,0.0,0
2019-07-19,101.7,101.94,100.26,100.31,664800,0.0,0
2019-07-22,99.1,100.96,97.86,100.36,730200,0.0,0
2019-07-23,100.39,101.13,99.04,99.45,1174600,0.0,0
2019-07-24,98.59,98.84,94.92,96.85,2170500,0.0,0
2019-07-25,96.86,97.43,96.09,96.25,1147300,0.0,0
2019-07-26,96.42,97.01,96.02,96.69,774000,0.0,0
2019-07-29,96.72,96.85,95.07,95.32,599700,0.0,0
2019-07-30,94.99,95.72,94.62,95.45,587300,0.0,0
2019-07-31,95.62,95.69,94.51,95.02,592400,0.0,0
2019-08-01,94.86,96.88,94.86,96.29,986200,0.0,0
2019-08-02,96.35,97.09,95.6,96.58,775100,0.0,0
2019-08-05,95.95,95.97,92.64,93.04,1072700,0.0,0
2019-08-06,93.68,94.8,92.89,94.51,765900,0.0,0
2019-08-07,93.56,95.13,92.15,94.78,945000,0.0,0
2019-08-08,95.44,97.0,94.71,96.89,742600,0.0,0
2019-08-09,96.55,97.59,96.06,97.16,586900,0.0,0
2019-08-12,96.54,96.8,95.22,95.23,498500,0.0,0
2019-08-13,94.92,97.1,94.76,96.56,573200,0.0,0
2019-08-14,95.05,96.14,93.93,93.99,560500,0.0,0
2019-08-15,94.12,95.99,94.03,95.62,465900,0.0,0
2019-08-16,96.02,96.6,95.59,96.17,585900,0.0,0
2019-08-19,97.02,98.29,96.8,98.03,621500,0.0,0
2019-08-20,97.63,98.3,97.07,97.53,556600,0.0,0
2019-08-21,98.11,98.11,97.22,97.93,408500,0.0,0
2019-08-22,98.24,99.02,97.8,98.73,419600,0.0,0
2019-08-23,98.3,99.05,95.64,96.16,681400,0.0,0
2019-08-26,96.87,97.32,96.1,97.29,598200,0.0,0
2019-08-27,98.0,98.0,96.47,96.9,494100,0.0,0
