Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,186.07,188.01,185.64,187.65,1874800,0.0,0
2019-03-22,187.98,191.21,187.98,189.63,2371500,0.0,0
2019-03-25,190.13,190.77,189.25,189.31,1759600,0.0,0
2019-03-26,189.52,191.0,188.74,190.67,1523300,0.0,0
2019-03-27,190.92,190.97,188.59,189.62,1529200,0.0,0
2019-03-28,189.61,190.08,187.07,187.66,2331000,0.0,0
2019-03-29,187.67,189.18,187.05,189.03,3009800,0.0,0
2019-04-01,189.13,189.45,185.99,186.26,2410100,0.0,0
2019-04-02,186.48,186.76,184.52,185.27,2490100,0.0,0
2019-04-03,184.91,186.06,183.72,185.11,2050700,0.0,0
2019-04-04,185.76,185.82,183.27,184.22,1776700,0.0,0
2019-04-05,185.18,186.12,183.83,185.86,1613200,0.0,0
2019-04-08,185.24,185.61,183.66,184.45,1443200,0.0,0
2019-04-09,184.45,185.72,184.35,185.5,1654300,0.0,0
2019-04-10,185.54,187.17,184.22,184.43,1322900,0.0,0
2019-04-11,184.43,185.96,184.22,185.82,1434600,0.0,0
2019-04-12,185.17,186.81,184.27,186.61,1192100,0.0,0
2019-04-15,186.87,187.81,186.45,186.92,1468200,0.0,0
2019-04-16,186.82,188.04,185.22,185.31,1630800,0.0,0
2019-04-17,185.54,186.32,184.84,185.44,2011400,0.0,0
2019-04-18,185.22,186.45,185.04,185.16,1667700,0.0,0
2019-04-22,184.97,186.59,184.85,186.15,1825900,0.0,0
2019-04-23,186.62,187.22,183.91,185.58,2204500,0.0,0
2019-04-24,185.55,186.86,184.95,185.84,1546800,0.0,0
2019-04-25,185.23,187.47,185.06,186.25,1474600,0.0,0
2019-04-26,187.15,189.1,187.04,187.46,1413400,0.0,0
2019-04-29,187.77,188.62,186.38,187.51,1773600,0.0,0
2019-04-30,187.5,190.33,187.02,190.12,2660900,0.0,0
2019-05-01,189.22,190.71,188.65,188.98,2135300,0.0,0
2019-05-02,188.56,189.57,186.33,187.47,2508900,0.0,0
2019-05-03,187.32,188.35,186.58,188.14,1673700,0.0,0
2019-05-06,187.93,189.04,186.6,186.66,1682500,0.0,0
2019-05-07,185.6,186.53,184.67,185.54,1937100,0.0,0
2019-05-08,185.39,185.79,183.14,183.71,1971800,0.0,0
2019-05-09,184.27,185.01,183.32,184.42,1718100,0.0,0
2019-05-10,184.38,187.93,183.91,187.5,1605000,0.0,0
2019-05-13,187.17,191.07,186.84,190.6,2658200,0.0,0
2019-05-14,190.59,192.34,189.22,190.57,2238600,0.0,0
2019-05-15,190.88,191.78,190.15,190.54,1767900,0.0,0
2019-05-16,190.17,193.53,189.52,192.74,2116400,0.0,0
2019-05-17,191.48,195.03,191.28,194.56,1705400,0.0,0
2019-05-20,194.86,196.16,194.52,194.93,1366000,0.0,0
2019-05-21,195.07,196.53,194.38,194.49,1517300,0.0,0
2019-05-22,195.06,197.86,194.21,197.45,1676700,0.0,0
2019-05-23,197.77,199.27,197.77,199.01,2054000,0.0,0
2019-05-24,199.2,200.19,198.6,198.86,1389800,0.0,0
2019-05-28,199.25,199.56,196.47,196.71,1762100,0.0,0
2019-05-29,197.23,197.79,194.07,194.31,1803600,0.0,0
2019-05-30,194.69,195.61,194.06,194.52,1615700,0.0,0
2019-05-31,195.12,196.2,193.46,195.04,2290400,1.25,0
2019-06-03,195.75,196.46,194.15,196.38,1701500,0.0,0
2019-06-04,196.94,197.1,193.23,196.19,1952900,0.0,0
2019-06-05,197.29,201.57,196.83,201.37,1886600,0.0,0
2019-06-06,201.72,203.11,200.63,202.47,1403600,0.0,0
2019-06-07,203.59,205.13,201.12,201.12,1560700,0.0,0
2019-06-10,200.83,201.41,198.25,200.16,1776200,0.0,0
2019-06-11,199.95,200.55,197.55,198.74,1151700,0.0,0
2019-06-12,200.07,202.02,199.54,201.28,1309000,0.0,0
2019-06-13,201.32,202.21,200.0,201.49,1701600,0.0,0
2019-06-14,202.37,204.01,201.67,203.65,1381300,0.0,0
2019-06-17,203.93,204.67,201.96,203.07,1558400,0.0,0
2019-06-18,204.5,204.62,200.61,202.13,1644100,0.0,0
2019-06-19,201.02,203.75,200.99,202.94,1650700,0.0,0
2019-06-20,203.35,204.14,201.44,203.08,2220900,0.0,0
2019-06-21,203.81,205.13,202.13,204.23,3140200,0.0,0
2019-06-24,205.02,205.31,203.56,204.87,1502300,0.0,0
2019-06-25,205.04,205.57,202.65,202.92,1738500,0.0,0
2019-06-26,202.11,202.94,199.77,199.82,1848600,0.0,0
2019-06-27,201.52,202.17,200.36,201.28,1882300,0.0,0
2019-06-28,200.7,204.9,200.0,201.58,2911900,0.0,0
2019-07-01,201.1,201.58,197.84,200.75,2134500,0.0,0
2019-07-02,201.49,204.57,201.47,204.34,1674000,0.0,0
2019-07-03,204.56,206.11,204.34,205.39,1413600,0.0,0
2019-07-05,204.12,205.13,202.04,204.78,1049100,0.0,0
2019-07-08,205.27,205.98,204.1,205.78,1080600,0.0,0
2019-07-09,204.91,205.65,203.85,204.83,1819000,0.0,0
2019-07-10,205.09,207.44,204.23,206.13,1480500,0.0,0
2019-07-11,206.23,207.35,205.22,207.03,1457600,0.0,0
2019-07-12,206.54,206.89,204.46,205.39,1570800,0.0,0
2019-07-15,205.33,206.26,204.36,205.51,2178500,0.0,0
2019-07-16,205.32,206.08,203.49,204.55,1070400,0.0,0
2019-07-17,205.36,207.96,205.36,206.55,1639200,0.0,0
2019-07-18,206.89,209.08,205.65,208.96,1103300,0.0,0
2019-07-19,208.41,209.1,206.05,206.37,1460900,0.0,0
2019-07-22,206.65,207.32,204.4,206.01,1636900,0.0,0
2019-07-23,206.06,206.15,203.62,203.98,1584300,0.0,0
2019-07-24,205.0,206.74,203.23,206.7,1520000,0.0,0
2019-07-25,204.81,206.09,203.73,204.31,1752500,0.0,0
2019-07-26,204.81,206.39,204.47,205.82,1081200,0.0,0
2019-07-29,206.54,208.15,205.93,208.0,1318500,0.0,0
2019-07-30,208.01,208.97,204.94,206.04,1611800,0.0,0
2019-07-31,206.51,206.81,202.91,203.85,2111500,0.0,0
2019-08-01,203.32,208.22,203.17,206.89,1876900,0.0,0
2019-08-02,207.74,209.82,206.66,208.03,1728200,0.0,0
2019-08-05,208.17,209.24,203.78,204.72,2209600,0.0,0
2019-08-06,204.81,208.75,203.33,208.02,1792900,0.0,0
2019-08-07,208.01,210.57,205.3,209.46,1723200,0.0,0
2019-08-08,209.81,212.44,207.83,211.77,1492800,0.0,0
2019-08-09,212.4,213.7,211.57,213.01,1457200,0.0,0
2019-08-12,213.63,213.63,202.49,212.0,805100,0.0,0
2019-08-13,211.94,213.57,211.34,212.17,1874200,0.0,0
2019-08-14,212.64,214.49,211.29,211.52,2389500,0.0,0
2019-08-15,211.19,214.38,210.86,213.67,1966400,0.0,0
2019-08-16,214.8,216.26,212.94,214.05,2622100,0.0,0
2019-08-19,213.83,216.09,213.15,215.45,1408100,0.0,0
2019-08-20,216.28,216.28,213.91,215.62,2079000,0.0,0
2019-08-21,216.34,217.8,215.64,217.72,1870900,0.0,0
2019-08-22,217.63,218.22,216.02,218.07,2289900,0.0,0
2019-08-23,218.97,220.61,217.1,218.35,2621400,0.0,0
2019-08-26,218.94,220.11,218.04,220.04,1863800,0.0,0
2019-08-27,220.64,221.96,220.32,220.42,2385300,0.0,0
2019-08-28,220.8,221.63,217.86,218.87,2839200,1.25,0
2019-08-29,220.19,220.19,216.91,218.8,2128000,0.0,0
2019-08-30,219.48,219.63,216.55,216.78,2946700,0.0,0
2019-09-03,216.51,223.22,216.51,223.19,2429600,0.0,0
2019-09-04,223.22,223.59,220.49,221.77,2227400,0.0,0
2019-09-05,216.88,219.02,216.31,217.5,4415300,0.0,0
2019-09-06,217.8,218.71,216.47,217.83,2282600,0.0,0
2019-09-09,216.9,218.57,216.59,217.58,2074400,0.0,0
2019-09-10,216.98,217.36,214.1,215.83,2773700,0.0,0
2019-09-11,215.73,218.28,215.17,217.75,2204500,0.0,0
2019-09-12,219.54,219.92,217.42,218.42,2167800,0.0,0
2019-09-13,217.75,217.81,215.51,216.2,2053300,0.0,0
2019-09-16,216.28,216.78,214.98,216.02,1258400,0.0,0
2019-09-17,216.15,220.0,216.15,219.89,1899200,0.0,0
2019-09-18,220.52,221.84,219.05,221.55,1920400,0.0,0
2019-09-19,222.38,223.04,221.22,222.54,1476700,0.0,0
2019-09-20,222.84,223.63,221.29,223.35,4751800,0.0,0
2019-09-23,223.08,224.08,222.48,222.92,1658500,0.0,0
2019-09-24,223.51,226.27,223.0,226.11,2168600,0.0,0
2019-09-25,226.5,227.08,225.12,226.96,2105900,0.0,0
2019-09-26,227.58,230.35,227.17,229.29,2175900,0.0,0
2019-09-27,229.81,230.13,227.74,228.83,1875300,0.0,0
2019-09-30,229.59,231.0,229.32,230.55,2234400,0.0,0
2019-10-01,229.72,230.72,228.23,229.6,1681900,0.0,0
2019-10-02,229.26,230.04,226.13,226.71,2034600,0.0,0
2019-10-03,226.46,227.87,226.16,227.76,2004400,0.0,0
2019-10-04,227.7,231.41,227.59,231.14,1638200,0.0,0
2019-10-07,231.0,231.37,228.75,230.11,1538500,0.0,0
2019-10-08,229.71,229.74,227.55,227.56,1742000,0.0,0
2019-10-09,229.79,231.81,228.58,230.91,1501000,0.0,0
2019-10-10,229.59,230.42,227.83,229.57,1866400,0.0,0
2019-10-11,229.36,229.94,226.15,227.13,2075400,0.0,0
2019-10-14,227.6,227.96,225.16,226.5,1177900,0.0,0
2019-10-15,226.93,227.41,224.45,225.15,1418100,0.0,0
2019-10-16,225.28,227.92,224.2,227.5,1915500,0.0,0
2019-10-17,226.87,229.16,226.87,228.67,1341600,0.0,0
2019-10-18,228.77,230.34,227.89,230.04,2196100,0.0,0
2019-10-21,229.97,230.6,228.23,230.36,1622100,0.0,0
2019-10-22,231.34,237.37,230.57,233.76,3159200,0.0,0
2019-10-23,235.06,236.1,233.24,233.52,2228100,0.0,0
2019-10-24,233.52,235.18,232.36,235.06,1602800,0.0,0
2019-10-25,235.13,235.16,233.1,234.4,1518100,0.0,0
2019-10-28,234.02,234.23,230.2,230.78,1791100,0.0,0
2019-10-29,229.83,230.72,228.78,230.16,1715300,0.0,0
2019-10-30,230.88,234.15,230.57,232.99,1239800,0.0,0
2019-10-31,233.05,236.0,232.46,235.84,2057100,0.0,0
2019-11-01,236.19,236.38,232.62,233.24,2004500,0.0,0
2019-11-04,232.76,232.76,225.8,227.19,3364900,0.0,0
2019-11-05,225.02,226.89,222.35,224.73,2375600,0.0,0
2019-11-06,225.11,226.1,224.22,225.1,1744100,0.0,0
2019-11-07,224.24,224.26,218.35,220.75,3118300,0.0,0
2019-11-08,220.76,222.33,218.72,219.75,1607900,0.0,0
2019-11-11,220.03,221.14,219.38,219.89,1535700,0.0,0
2019-11-12,219.86,221.65,219.76,220.88,1449600,0.0,0
2019-11-13,222.54,225.79,222.54,225.52,1797300,0.0,0
2019-11-14,225.61,227.71,225.22,227.46,1582400,0.0,0
2019-11-15,228.0,229.11,225.95,228.99,1845600,0.0,0
2019-11-18,229.55,231.98,229.32,229.72,1750600,0.0,0
2019-11-19,229.66,231.88,228.71,230.22,1630600,0.0,0
2019-11-20,230.89,234.28,230.28,232.75,2126500,0.0,0
2019-11-21,233.26,233.79,231.65,232.67,1247500,0.0,0
2019-11-22,232.95,233.69,229.29,230.93,1254000,0.0,0
2019-11-25,231.42,232.1,229.33,230.12,1864100,0.0,0
2019-11-26,230.72,232.77,230.56,232.46,3908500,0.0,0
2019-11-27,232.12,232.58,231.35,231.86,2146000,1.25,0
2019-11-29,233.39,234.51,232.02,232.61,889400,0.0,0
2019-12-02,232.5,232.5,229.87,230.05,1779500,0.0,0
2019-12-03,230.79,231.61,230.19,231.02,2312300,0.0,0
2019-12-04,230.45,233.25,230.3,233.04,1674800,0.0,0
2019-12-05,231.91,233.57,231.82,233.34,1603300,0.0,0
2019-12-06,233.19,234.21,232.3,233.17,1549000,0.0,0
2019-12-09,233.72,233.75,232.63,233.05,1140000,0.0,0
2019-12-10,233.14,233.73,232.6,233.23,1086400,0.0,0
2019-12-11,233.78,234.63,232.72,234.56,1553200,0.0,0
2019-12-12,234.3,234.96,231.56,232.68,1742600,0.0,0
2019-12-13,231.87,236.15,231.56,235.72,2086300,0.0,0
2019-12-16,236.01,238.26,235.17,238.23,3571200,0.0,0
2019-12-17,238.22,239.65,237.58,238.57,2593500,0.0,0
2019-12-18,239.48,239.75,237.5,239.04,2146400,0.0,0
2019-12-19,238.9,239.77,238.19,239.4,1720700,0.0,0
2019-12-20,242.81,243.74,238.96,241.45,4049500,0.0,0
2019-12-23,241.52,241.7,237.1,237.54,2368700,0.0,0
2019-12-24,237.67,239.26,236.6,239.26,684900,0.0,0
2019-12-26,239.0,240.7,238.83,240.7,1453300,0.0,0
2019-12-27,241.02,241.51,240.28,241.25,1079800,0.0,0
2019-12-30,240.43,240.96,239.04,240.04,1112500,0.0,0
2019-12-31,240.31,241.33,238.67,240.9,1727500,0.0,0
2020-01-02,240.71,242.41,236.71,237.38,1971200,0.0,0
2020-01-03,237.39,240.11,236.9,239.07,1774300,0.0,0
2020-01-06,239.45,241.34,239.17,240.27,1379700,0.0,0
2020-01-07,239.44,240.95,238.92,240.06,1663300,0.0,0
2020-01-08,240.41,241.69,239.75,239.95,1484000,0.0,0
2020-01-09,239.4,242.55,239.28,241.83,1739500,0.0,0
2020-01-10,242.55,243.43,241.93,242.28,1281400,0.0,0
2020-01-13,241.79,245.55,241.79,245.12,1469900,0.0,0
2020-01-14,244.95,246.51,244.52,246.44,2063200,0.0,0
2020-01-15,247.29,250.88,247.26,250.27,1599300,0.0,0
2020-01-16,249.58,251.0,249.04,250.96,1978600,0.0,0
2020-01-17,251.06,252.43,250.1,252.08,2338500,0.0,0
2020-01-21,252.71,255.96,251.5,255.56,2871600,0.0,0
2020-01-22,257.6,259.43,256.32,258.55,1766400,0.0,0
2020-01-23,258.01,261.38,258.01,258.73,2553100,0.0,0
2020-01-24,255.69,262.71,254.84,262.35,2577600,0.0,0
2020-01-27,261.26,266.37,260.93,265.35,2169700,0.0,0
2020-01-28,265.35,267.6,262.34,264.43,2065700,0.0,0
2020-01-29,265.36,265.42,262.75,264.38,1502100,0.0,0
2020-01-30,264.49,268.85,263.64,268.53,1582200,0.0,0
2020-01-31,268.06,269.25,265.34,266.81,1884200,0.0,0
2020-02-03,267.29,268.08,264.83,265.42,2760300,0.0,0
2020-02-04,264.89,265.92,262.55,263.17,2620700,0.0,0
2020-02-05,262.92,266.27,260.85,265.32,2166700,0.0,0
