Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,25.69,26.45,25.54,26.38,1900800,0.0,0
2019-03-22,26.26,26.32,25.7,25.84,2032500,0.0,0
2019-03-25,25.79,25.86,25.43,25.52,2403400,0.0,0
2019-03-26,25.88,26.04,25.81,26.03,1542900,0.0,0
2019-03-27,26.12,26.29,25.44,25.62,6701400,0.0,0
2019-03-28,23.56,23.66,22.7,22.76,18940900,0.0,0
2019-03-29,22.97,23.17,22.61,22.77,10097900,0.0,0
2019-04-01,22.92,23.51,22.82,23.36,5095200,0.0,0
2019-04-02,23.37,23.71,23.33,23.33,3298600,0.0,0
2019-04-03,23.39,25.13,23.33,25.01,10541200,0.0,0
2019-04-04,25.01,25.65,24.99,25.25,6402800,0.0,0
2019-04-05,25.44,25.54,25.17,25.21,4071100,0.0,0
2019-04-08,25.11,25.14,24.55,25.03,4416300,0.0,0
2019-04-09,24.88,25.82,24.74,25.26,7697100,0.0,0
2019-04-10,25.25,25.62,24.99,25.53,2270100,0.0,0
2019-04-11,25.68,26.24,25.38,25.85,3843100,0.0,0
2019-04-12,25.94,26.07,25.63,25.63,3303800,0.0,0
2019-04-15,25.71,26.0,25.47,25.49,4635400,0.0,0
2019-04-16,25.53,25.83,25.07,25.14,3167300,0.0,0
2019-04-17,25.14,25.38,24.95,25.26,3029600,0.0,0
2019-04-18,25.24,25.49,24.9,25.23,2915200,0.0,0
2019-04-22,25.16,25.29,25.01,25.05,2450800,0.0,0
2019-04-23,25.0,25.12,24.55,24.6,3854800,0.0,0
2019-04-24,24.64,24.75,24.31,24.63,2070500,0.0,0
2019-04-25,24.43,24.52,24.14,24.38,2961400,0.0,0
2019-04-26,24.45,24.62,24.18,24.42,3560300,0.0,0
2019-04-29,24.59,24.83,24.1,24.38,2405400,0.0,0
2019-04-30,24.52,25.0,24.1,24.56,4750400,0.0,0
2019-05-01,24.62,24.69,23.89,23.91,3771400,0.0,0
2019-05-02,23.88,23.98,23.41,23.52,3321800,0.0,0
2019-05-03,23.52,23.82,23.44,23.81,2737700,0.0,0
2019-05-06,23.51,23.79,23.42,23.59,2377200,0.0,0
2019-05-07,23.4,23.48,23.06,23.24,3630000,0.0,0
2019-05-08,23.28,23.57,23.17,23.2,2401900,0.0,0
2019-05-09,22.91,23.38,22.82,23.35,2676200,0.0,0
2019-05-10,23.24,23.78,22.91,23.65,4635100,0.0,0
2019-05-13,23.04,23.14,22.22,22.85,6059100,0.0,0
2019-05-14,22.92,23.34,22.81,23.12,2949200,0.0,0
2019-05-15,22.98,23.17,22.89,22.92,3439700,0.0,0
2019-05-16,23.02,23.07,22.75,22.78,2886400,0.0,0
2019-05-17,22.62,22.88,22.53,22.7,3219700,0.0,0
2019-05-20,22.54,23.35,22.47,22.79,5841000,0.0,0
2019-05-21,22.84,23.26,22.8,23.24,3643300,0.0,0
2019-05-22,23.1,23.39,23.06,23.07,2031900,0.0,0
2019-05-23,22.89,22.89,22.47,22.52,2793500,0.0,0
2019-05-24,22.57,22.6,22.1,22.12,3226900,0.0,0
2019-05-28,22.15,22.24,21.77,21.77,5165700,0.0,0
2019-05-29,21.72,21.89,21.64,21.73,3573300,0.0,0
2019-05-30,21.78,22.26,21.47,21.51,5729300,0.0,0
2019-05-31,21.34,21.88,21.32,21.86,3759600,0.0,0
2019-06-03,21.85,22.14,21.73,22.02,3881000,0.0,0
2019-06-04,22.17,22.27,22.0,22.15,3577100,0.35,0
2019-06-05,22.29,22.29,21.9,22.06,2442300,0.0,0
2019-06-06,22.25,22.36,22.04,22.09,3585300,0.0,0
2019-06-07,22.25,22.36,22.06,22.22,2886900,0.0,0
2019-06-10,22.28,22.41,21.79,21.93,2565400,0.0,0
2019-06-11,22.0,22.16,21.93,22.02,2341200,0.0,0
2019-06-12,22.02,22.28,21.91,22.27,1124300,0.0,0
2019-06-13,22.35,22.66,22.29,22.63,2288500,0.0,0
2019-06-14,22.61,22.65,22.45,22.53,2855200,0.0,0
2019-06-17,22.57,23.03,22.44,22.92,3308900,0.0,0
2019-06-18,23.04,23.32,22.85,22.88,2233300,0.0,0
2019-06-19,22.88,23.09,22.79,23.05,2092400,0.0,0
2019-06-20,23.26,23.26,22.8,22.91,3486700,0.0,0
2019-06-21,22.94,23.17,22.74,22.87,5795500,0.0,0
2019-06-24,22.82,22.89,21.71,21.82,3860100,0.0,0
2019-06-25,21.8,21.91,21.47,21.48,2717500,0.0,0
2019-06-26,21.54,21.67,21.38,21.59,2856100,0.0,0
2019-06-27,21.68,21.9,21.59,21.81,1671300,0.0,0
2019-06-28,21.8,22.08,21.7,22.08,4183800,0.0,0
2019-07-01,22.17,22.56,21.83,21.89,3919300,0.0,0
2019-07-02,21.89,22.4,21.87,22.29,2270100,0.0,0
2019-07-03,22.28,22.48,22.2,22.39,1588000,0.0,0
2019-07-05,22.39,22.56,22.26,22.49,1912100,0.0,0
2019-07-08,22.42,22.46,22.07,22.36,1585200,0.0,0
2019-07-09,22.26,22.28,21.81,21.91,2773800,0.0,0
2019-07-10,21.91,21.97,21.73,21.95,2089200,0.0,0
2019-07-11,22.07,22.42,22.01,22.33,3115000,0.0,0
2019-07-12,22.45,22.45,22.18,22.33,1818300,0.0,0
2019-07-15,22.35,24.12,22.13,22.87,9129100,0.0,0
2019-07-16,23.14,23.14,22.64,22.85,3458900,0.0,0
2019-07-17,22.74,22.95,22.51,22.81,2593800,0.0,0
2019-07-18,22.69,23.02,22.57,23.02,2245300,0.0,0
2019-07-19,23.0,23.2,22.8,22.96,2838000,0.0,0
2019-07-22,23.03,23.18,22.82,22.96,1928400,0.0,0
2019-07-23,23.11,23.11,22.77,22.99,1639200,0.0,0
2019-07-24,23.06,23.34,23.02,23.25,1873400,0.0,0
2019-07-25,23.25,23.31,23.04,23.12,1242900,0.0,0
2019-07-26,23.15,23.16,22.88,23.01,3219700,0.0,0
2019-07-29,23.01,23.15,22.84,22.96,2560100,0.0,0
2019-07-30,22.86,22.86,22.25,22.37,3297400,0.0,0
2019-07-31,23.34,23.54,22.25,22.62,7173700,0.0,0
2019-08-01,22.47,22.99,22.33,22.45,3425800,0.0,0
2019-08-02,22.37,22.5,22.07,22.2,3099100,0.0,0
2019-08-05,21.99,21.99,21.02,21.37,3408800,0.0,0
2019-08-06,21.44,21.52,21.0,21.26,2524300,0.0,0
2019-08-07,21.0,21.33,20.66,21.22,3173300,0.0,0
2019-08-08,21.37,21.71,21.33,21.61,2385600,0.0,0
2019-08-09,21.57,21.58,21.17,21.2,1216200,0.0,0
2019-08-12,21.11,21.11,20.48,20.64,2285500,0.0,0
2019-08-13,20.54,20.95,20.43,20.78,2689000,0.0,0
2019-08-14,20.48,20.54,20.2,20.44,4987600,0.0,0
2019-08-15,20.48,20.48,19.75,19.76,2700100,0.0,0
2019-08-16,19.94,19.96,19.68,19.88,3165000,0.0,0
2019-08-19,20.06,20.35,20.0,20.24,3771400,0.0,0
2019-08-20,20.2,20.33,19.95,20.25,4069000,0.0,0
2019-08-21,20.42,20.77,20.42,20.56,2588600,0.35,0
2019-08-22,20.61,20.78,20.44,20.55,1691800,0.0,0
2019-08-23,20.46,20.49,19.83,19.89,2695800,0.0,0
2019-08-26,20.05,20.18,19.94,20.15,2024900,0.0,0
2019-08-27,20.29,20.4,20.07,20.19,2770400,0.0,0
2019-08-28,20.08,20.42,19.98,20.39,2741300,0.0,0
2019-08-29,20.56,20.77,20.56,20.77,2233400,0.0,0
2019-08-30,20.94,21.02,20.5,20.63,1984500,0.0,0
2019-09-03,20.45,20.62,20.22,20.38,1968900,0.0,0
2019-09-04,20.5,20.61,20.43,20.45,1547500,0.0,0
2019-09-05,20.65,20.97,20.56,20.89,4549700,0.0,0
2019-09-06,20.94,21.34,20.94,21.08,3103000,0.0,0
2019-09-09,21.11,21.54,21.11,21.53,2015500,0.0,0
2019-09-10,21.56,22.25,21.5,22.25,2530900,0.0,0
2019-09-11,22.13,22.76,21.96,22.69,3009700,0.0,0
2019-09-12,22.79,22.8,22.35,22.37,2272500,0.0,0
2019-09-13,22.37,22.7,22.29,22.32,2401000,0.0,0
2019-09-16,22.32,22.65,22.28,22.51,2114900,0.0,0
2019-09-17,22.47,22.53,22.19,22.43,2210400,0.0,0
2019-09-18,22.38,22.68,22.25,22.6,2040900,0.0,0
2019-09-19,22.67,23.16,22.46,22.49,2898400,0.0,0
2019-09-20,22.56,22.78,22.24,22.24,4208800,0.0,0
2019-09-23,22.2,22.38,22.19,22.26,2083800,0.0,0
