Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,265.25,269.57,265.15,268.36,612400,0.0,0
2019-03-22,267.87,267.87,263.16,264.3,830100,0.0,0
2019-03-25,264.94,265.93,262.81,264.54,557300,0.0,0
2019-03-26,266.51,267.25,259.93,261.83,1070800,0.0,0
2019-03-27,261.79,264.44,259.31,259.93,809700,0.0,0
2019-03-28,261.13,263.53,259.83,262.96,1080300,0.0,0
2019-03-29,264.77,266.55,264.01,265.52,935000,0.0,0
2019-04-01,267.03,271.45,267.03,269.96,759200,0.0,0
2019-04-02,270.2,271.37,268.48,269.19,542700,0.0,0
2019-04-03,269.74,269.74,260.5,262.72,1321500,0.0,0
2019-04-04,263.46,268.97,262.7,266.91,1129100,0.0,0
2019-04-05,270.64,272.18,268.1,272.12,734400,0.0,0
2019-04-08,270.84,273.03,269.34,272.71,607600,0.0,0
2019-04-09,271.1,272.04,268.57,269.33,484200,0.0,0
2019-04-10,268.85,269.73,265.34,266.44,774500,0.0,0
2019-04-11,267.93,273.71,267.41,273.19,661900,0.0,0
2019-04-12,274.05,279.06,274.05,278.77,1108700,0.0,0
2019-04-15,278.64,279.35,275.96,275.98,474400,0.0,0
2019-04-16,276.26,278.0,275.43,277.35,608800,0.0,0
2019-04-17,279.17,279.51,274.46,274.55,665800,0.0,0
2019-04-18,275.04,278.32,273.9,276.91,545600,0.0,0
2019-04-22,275.95,278.98,274.54,278.61,494900,0.0,0
2019-04-23,283.35,290.46,283.08,288.18,1678900,0.0,0
2019-04-24,285.17,286.06,274.04,275.76,2439300,0.0,0
2019-04-25,275.17,276.84,269.56,274.97,1298400,0.0,0
2019-04-26,275.63,280.53,273.44,278.85,953200,0.0,0
2019-04-29,279.3,283.34,278.22,281.67,954400,0.0,0
2019-04-30,284.11,286.3,282.18,285.52,931000,0.0,0
2019-05-01,285.55,288.5,284.59,284.93,825800,0.0,0
2019-05-02,284.12,286.71,282.35,285.54,1028100,0.0,0
2019-05-03,286.65,287.82,285.94,287.62,974800,0.0,0
2019-05-06,283.15,287.95,282.43,286.93,549000,0.0,0
2019-05-07,285.15,285.44,280.25,284.02,731800,0.0,0
2019-05-08,283.89,287.11,283.36,286.16,667700,0.0,0
2019-05-09,283.44,291.77,282.79,290.54,1125400,0.0,0
2019-05-10,290.17,296.45,289.48,296.25,1418000,0.0,0
2019-05-13,290.56,292.24,287.76,291.01,987000,0.0,0
2019-05-14,291.34,295.43,290.04,291.17,1256900,0.0,0
2019-05-15,289.36,292.3,286.89,290.03,619700,0.0,0
2019-05-16,291.77,301.71,291.28,300.1,1045900,0.0,0
2019-05-17,298.26,304.06,297.0,302.05,1172000,0.0,0
2019-05-20,301.67,310.24,301.38,309.82,1427500,0.0,0
2019-05-21,310.36,312.7,304.92,311.45,1385300,0.0,0
2019-05-22,310.96,312.26,309.61,311.84,952100,0.0,0
2019-05-23,308.95,309.46,303.45,306.38,1116900,0.0,0
2019-05-24,307.69,310.04,305.08,307.35,723700,0.0,0
2019-05-28,306.18,308.02,302.95,303.57,1419600,0.0,0
2019-05-29,302.14,303.06,299.1,301.38,582000,0.0,0
2019-05-30,302.33,306.51,302.33,305.12,1099500,0.0,0
2019-05-31,301.24,304.47,299.82,299.94,667700,1.32,0
2019-06-03,299.7,305.01,299.7,303.59,746500,0.0,0
2019-06-04,304.51,310.32,304.4,308.86,796700,0.0,0
2019-06-05,310.47,313.53,309.13,313.31,703000,0.0,0
2019-06-06,313.32,313.86,310.95,311.38,595000,0.0,0
2019-06-07,312.44,315.88,310.89,314.82,1010000,0.0,0
2019-06-10,319.47,320.2,306.82,307.91,1088700,0.0,0
2019-06-11,307.91,309.39,294.97,297.45,1603500,0.0,0
2019-06-12,297.91,301.95,296.69,301.52,771500,0.0,0
2019-06-13,302.88,304.88,297.16,304.27,1327600,0.0,0
2019-06-14,305.08,307.09,303.24,306.05,768200,0.0,0
2019-06-17,307.46,307.46,303.74,306.09,572500,0.0,0
2019-06-18,307.23,312.02,306.1,309.77,679000,0.0,0
2019-06-19,309.82,312.14,308.65,311.75,698700,0.0,0
2019-06-20,314.27,320.81,314.27,320.28,1195700,0.0,0
2019-06-21,321.34,321.38,317.23,318.64,1096600,0.0,0
2019-06-24,319.3,320.98,317.85,317.97,359200,0.0,0
2019-06-25,318.69,319.91,316.01,317.64,559200,0.0,0
2019-06-26,317.75,319.22,314.59,315.22,590500,0.0,0
2019-06-27,315.65,316.21,312.81,314.81,640900,0.0,0
2019-06-28,314.76,320.39,313.0,319.58,842800,0.0,0
2019-07-01,321.45,321.45,314.41,315.06,745600,0.0,0
2019-07-02,316.34,320.45,315.73,320.16,547500,0.0,0
2019-07-03,321.45,322.03,319.2,321.7,352000,0.0,0
2019-07-05,320.99,321.71,317.31,321.65,325600,0.0,0
2019-07-08,320.49,322.31,318.98,320.45,377100,0.0,0
2019-07-09,319.73,322.39,317.59,322.25,481600,0.0,0
2019-07-10,322.6,325.21,320.31,320.52,451800,0.0,0
2019-07-11,321.03,324.68,320.48,321.38,718800,0.0,0
2019-07-12,322.72,326.01,319.73,325.93,654700,0.0,0
2019-07-15,326.5,326.65,320.66,321.72,624600,0.0,0
2019-07-16,322.04,323.19,319.47,320.29,625400,0.0,0
2019-07-17,319.63,320.6,316.1,318.48,567700,0.0,0
2019-07-18,318.48,318.51,315.59,317.63,637900,0.0,0
2019-07-19,319.93,321.37,317.66,318.64,881400,0.0,0
2019-07-22,317.51,320.5,316.85,319.67,604600,0.0,0
2019-07-23,322.74,322.92,315.42,320.45,1587800,0.0,0
2019-07-24,320.34,341.02,318.1,339.23,1895300,0.0,0
2019-07-25,342.19,355.04,340.55,350.85,1888600,0.0,0
2019-07-26,349.75,350.6,345.68,348.67,896500,0.0,0
2019-07-29,348.69,352.12,347.07,351.55,698700,0.0,0
2019-07-30,350.38,351.43,345.46,349.06,603300,0.0,0
2019-07-31,347.21,350.13,340.7,341.8,1105100,0.0,0
2019-08-01,341.5,346.52,340.18,341.25,660500,0.0,0
2019-08-02,341.23,343.19,334.82,337.44,621700,0.0,0
2019-08-05,334.08,343.0,331.3,339.07,968500,0.0,0
2019-08-06,346.17,351.55,344.39,350.38,1007200,0.0,0
2019-08-07,348.1,359.44,346.53,357.47,1486300,0.0,0
2019-08-08,360.57,368.34,359.45,364.93,1434700,0.0,0
2019-08-09,364.77,370.59,360.66,366.49,896900,0.0,0
2019-08-12,364.13,369.91,363.34,369.14,868800,0.0,0
2019-08-13,371.46,373.22,364.88,366.61,1002400,0.0,0
2019-08-14,361.57,363.51,356.42,357.47,871900,0.0,0
2019-08-15,359.04,362.04,355.67,361.23,705900,0.0,0
2019-08-16,363.8,365.26,360.81,363.89,841600,0.0,0
2019-08-19,367.74,368.46,365.66,366.04,548400,0.0,0
2019-08-20,366.09,368.81,364.27,364.98,517200,0.0,0
2019-08-21,368.07,369.12,362.5,365.11,655000,0.0,0
2019-08-22,365.47,369.4,362.58,367.96,640300,0.0,0
2019-08-23,365.46,369.07,355.85,357.55,667800,0.0,0
2019-08-26,360.14,362.82,357.55,362.65,446000,0.0,0
2019-08-27,363.52,363.52,357.65,360.2,407200,0.0,0
2019-08-28,359.37,364.38,357.22,359.93,571300,0.0,0
2019-08-29,363.99,364.78,360.27,363.91,625800,0.0,0
2019-08-30,366.54,367.28,363.21,363.85,576300,0.0,0
2019-09-03,360.67,363.18,358.54,362.23,660200,0.0,0
2019-09-04,364.62,368.07,362.85,368.0,625600,0.0,0
2019-09-05,370.91,370.91,362.95,364.41,698400,0.0,0
2019-09-06,366.87,368.84,364.24,365.06,536400,1.32,0
2019-09-09,364.86,365.34,352.38,353.21,1272600,0.0,0
2019-09-10,350.0,352.57,338.73,352.48,1534900,0.0,0
2019-09-11,352.56,357.01,351.31,356.21,1150000,0.0,0
2019-09-12,359.06,363.07,355.13,362.53,776500,0.0,0
2019-09-13,364.0,364.79,360.54,361.0,704400,0.0,0
2019-09-16,365.79,370.06,362.32,368.7,988600,0.0,0
2019-09-17,368.71,374.22,365.12,371.71,1151800,0.0,0
2019-09-18,373.63,375.9,368.31,374.64,1205200,0.0,0
2019-09-19,374.11,377.66,371.77,372.82,1029400,0.0,0
2019-09-20,373.8,374.9,365.4,365.47,3489400,0.0,0
2019-09-23,365.46,369.54,363.11,366.41,979000,0.0,0
2019-09-24,368.74,371.76,363.85,366.79,1120700,0.0,0
2019-09-25,368.3,372.61,366.41,372.25,1349500,0.0,0
2019-09-26,373.44,381.06,370.93,379.34,1255000,0.0,0
2019-09-27,378.36,380.08,366.1,368.45,1117300,0.0,0
2019-09-30,369.64,375.79,369.64,372.03,877100,0.0,0
2019-10-01,373.2,374.31,364.95,365.08,1045700,0.0,0
2019-10-02,363.65,365.84,356.59,359.83,1451000,0.0,0
2019-10-03,359.67,362.3,356.61,361.65,835600,0.0,0
2019-10-04,362.6,367.41,360.9,366.26,953800,0.0,0
2019-10-07,365.31,368.37,364.26,365.21,592000,0.0,0
2019-10-08,363.31,369.43,360.94,365.73,736100,0.0,0
2019-10-09,367.45,368.6,363.33,364.92,1268900,0.0,0
2019-10-10,364.82,368.3,363.84,366.04,967900,0.0,0
2019-10-11,369.71,369.71,356.09,359.55,1535100,0.0,0
2019-10-14,360.38,366.58,360.01,363.72,658000,0.0,0
2019-10-15,363.61,365.77,358.47,359.28,744800,0.0,0
2019-10-16,359.28,362.47,358.65,362.01,553600,0.0,0
2019-10-17,361.85,363.32,353.27,353.65,1081400,0.0,0
2019-10-18,354.72,354.88,345.18,347.05,2198400,0.0,0
2019-10-21,350.01,351.53,347.25,347.81,1102700,0.0,0
2019-10-22,344.94,352.55,344.45,349.79,1154800,0.0,0
2019-10-23,349.41,351.17,345.78,350.6,1117000,0.0,0
2019-10-24,345.44,357.58,337.7,354.28,1312100,0.0,0
2019-10-25,354.95,355.57,342.35,342.46,1563500,0.0,0
2019-10-28,343.2,345.88,341.75,343.98,1348400,0.0,0
2019-10-29,343.9,347.58,343.3,344.61,737000,0.0,0
2019-10-30,345.49,352.12,344.69,351.47,840200,0.0,0
2019-10-31,350.78,353.19,347.77,349.89,829200,0.0,0
2019-11-01,350.75,353.34,348.55,349.54,1167500,0.0,0
2019-11-04,351.05,351.05,335.97,338.16,1984800,0.0,0
2019-11-05,337.5,340.64,333.47,335.36,2410700,0.0,0
2019-11-06,336.68,341.84,335.61,341.49,1168000,0.0,0
2019-11-07,341.48,342.78,338.65,340.9,1154900,0.0,0
2019-11-08,340.41,348.11,340.41,347.53,807800,0.0,0
2019-11-11,346.03,349.14,344.86,347.42,547100,0.0,0
2019-11-12,346.86,350.08,346.82,349.1,514800,0.0,0
2019-11-13,349.87,353.13,347.94,351.12,517200,0.0,0
2019-11-14,350.56,354.99,350.56,353.07,610000,0.0,0
2019-11-15,355.82,357.18,353.59,354.03,871300,0.0,0
2019-11-18,353.26,355.54,352.84,354.07,891400,0.0,0
2019-11-19,355.1,355.92,350.01,350.94,790900,0.0,0
2019-11-20,350.93,354.35,349.84,350.4,777600,0.0,0
2019-11-21,350.17,351.42,345.54,345.66,785100,0.0,0
2019-11-22,346.61,347.46,344.24,346.59,583300,0.0,0
2019-11-25,347.75,348.39,346.29,347.18,988300,0.0,0
2019-11-26,347.7,353.99,346.6,351.25,1294500,0.0,0
2019-11-27,349.74,352.54,348.06,350.28,619700,0.0,0
2019-11-29,349.72,350.64,347.64,350.49,311200,1.32,0
2019-12-02,350.69,351.71,340.37,340.49,886600,0.0,0
2019-12-03,338.94,342.87,337.5,341.9,1320500,0.0,0
2019-12-04,343.5,346.61,341.9,341.96,708900,0.0,0
2019-12-05,343.42,343.86,340.67,343.16,803900,0.0,0
2019-12-06,344.84,346.88,343.07,343.51,931400,0.0,0
2019-12-09,343.51,344.35,337.4,341.8,1137200,0.0,0
2019-12-10,341.81,345.75,341.81,343.23,1041100,0.0,0
2019-12-11,344.47,347.6,343.36,347.44,574500,0.0,0
2019-12-12,347.5,348.57,342.76,344.64,737600,0.0,0
2019-12-13,343.31,346.24,341.54,343.4,865800,0.0,0
2019-12-16,343.08,344.43,341.59,343.44,972900,0.0,0
2019-12-17,344.14,346.01,342.28,344.58,753700,0.0,0
2019-12-18,344.3,345.3,337.17,337.47,1145400,0.0,0
2019-12-19,337.56,342.24,336.78,340.97,1418600,0.0,0
2019-12-20,342.69,344.96,339.19,344.65,1534600,0.0,0
2019-12-23,347.27,349.62,345.24,346.85,652300,0.0,0
2019-12-24,347.55,347.81,344.56,345.82,229400,0.0,0
2019-12-26,346.37,347.71,344.76,346.7,432700,0.0,0
