Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,27.94,28.01,27.37,27.58,2904000,0.0,0
2019-03-22,27.23,27.46,26.31,26.33,2679200,0.0,0
2019-03-25,26.14,26.35,25.79,26.33,1880200,0.0,0
2019-03-26,26.69,26.94,26.24,26.47,2017900,0.0,0
2019-03-27,26.41,26.63,25.92,26.01,2185600,0.0,0
2019-03-28,25.86,26.3,25.7,26.2,2136800,0.0,0
2019-03-29,26.58,26.71,26.02,26.34,2788400,0.0,0
2019-04-01,26.49,26.95,26.39,26.93,2856100,0.0,0
2019-04-02,26.99,27.31,26.7,26.85,2501600,0.0,0
2019-04-03,27.04,27.24,26.63,26.95,3854000,0.0,0
2019-04-04,26.84,27.14,26.42,27.07,2965400,0.0,0
2019-04-05,27.22,27.89,27.11,27.88,2905400,0.0,0
2019-04-08,27.92,28.32,27.75,28.0,3108700,0.0,0
2019-04-09,27.91,27.96,27.46,27.71,2175400,0.0,0
2019-04-10,27.62,28.48,27.5,28.35,2976500,0.0,0
2019-04-11,28.39,29.03,28.16,28.99,4932300,0.0,0
2019-04-12,27.97,28.36,26.5,26.56,9527000,0.0,0
2019-04-15,26.39,27.99,26.36,27.22,6587800,0.0,0
2019-04-16,27.35,27.41,26.29,26.87,3521800,0.0,0
2019-04-17,27.0,27.31,26.83,26.94,2474500,0.0,0
2019-04-18,27.03,27.44,26.33,26.66,2826600,0.0,0
2019-04-22,27.07,27.48,26.7,27.42,2953700,0.0,0
2019-04-23,27.52,27.84,27.41,27.58,3023100,0.0,0
2019-04-24,27.39,27.56,26.17,26.19,2477200,0.0,0
2019-04-25,26.06,26.34,25.78,26.14,5038400,0.0,0
2019-04-26,25.64,28.29,25.15,27.09,9334900,0.0,0
2019-04-29,27.04,27.75,26.77,27.43,3316900,0.0,0
2019-04-30,27.6,27.6,25.58,25.84,6612800,0.0,0
2019-05-01,25.75,25.93,24.6,24.64,4646800,0.0,0
2019-05-02,24.47,24.74,23.77,24.66,7402200,0.0,0
2019-05-03,24.96,25.33,24.84,25.12,4287400,0.0,0
2019-05-06,24.8,25.54,24.64,25.41,8660000,0.0,0
2019-05-07,25.1,25.28,24.89,25.06,4066800,0.0,0
2019-05-08,25.06,25.07,24.08,24.54,4620100,0.0,0
2019-05-09,24.26,24.86,24.17,24.82,4274400,0.0,0
2019-05-10,24.74,24.8,24.43,24.62,5086300,0.0,0
2019-05-13,24.37,24.37,23.15,23.46,5043600,0.0,0
2019-05-14,23.71,24.43,23.62,24.1,2463400,0.0,0
2019-05-15,23.77,24.49,23.58,24.43,3379800,0.0,0
2019-05-16,24.6,24.73,24.33,24.47,2099700,0.0,0
2019-05-17,24.12,24.32,23.62,23.68,2113800,0.0,0
2019-05-20,23.58,23.85,23.43,23.85,2943500,0.0,0
2019-05-21,23.92,24.14,23.71,23.82,3734400,0.0,0
2019-05-22,23.52,23.6,22.37,22.87,4199000,0.0,0
2019-05-23,22.2,22.2,21.42,21.86,13161300,0.0,0
2019-05-24,22.08,22.25,21.87,22.13,4855800,0.0,0
2019-05-28,22.25,22.25,21.58,21.65,3873800,0.0,0
2019-05-29,21.25,21.49,20.98,21.41,3097000,0.0,0
2019-05-30,21.32,21.48,20.62,20.83,4513100,0.0,0
2019-05-31,20.36,20.84,20.15,20.61,4156600,0.0,0
2019-06-03,20.77,21.25,20.54,20.98,4133300,0.0,0
2019-06-04,21.36,21.37,20.87,21.08,3162300,0.0,0
2019-06-05,20.99,21.02,19.91,20.34,4971100,0.0,0
2019-06-06,20.35,20.6,20.1,20.53,7279700,0.0,0
2019-06-07,20.65,20.87,20.3,20.61,3330500,0.0,0
2019-06-10,20.75,20.94,20.57,20.74,5312300,0.0,0
2019-06-11,20.99,21.47,20.92,21.06,3516600,0.0,0
2019-06-12,20.74,20.94,20.26,20.31,4992600,0.0,0
2019-06-13,20.7,21.0,20.42,20.53,4999200,0.05,0
2019-06-14,20.48,20.66,19.39,19.82,6272800,0.0,0
