Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,42.16,43.05,41.94,42.92,2961700,0.0,0
2019-03-22,42.96,43.21,42.05,42.05,3263600,0.0,0
2019-03-25,42.01,42.97,41.81,42.68,3354800,0.0,0
2019-03-26,42.87,43.11,42.61,42.91,2525700,0.0,0
2019-03-27,42.75,42.88,42.19,42.38,2110800,0.0,0
2019-03-28,42.39,42.54,41.97,42.32,3314700,0.0,0
2019-03-29,42.36,42.49,42.04,42.04,3658900,0.0,0
2019-04-01,42.23,42.47,41.18,41.35,3437100,0.0,0
2019-04-02,41.48,42.12,41.4,41.92,3050500,0.0,0
2019-04-03,41.91,42.57,41.74,41.9,2536900,0.0,0
2019-04-04,42.12,42.12,41.62,41.8,2195600,0.0,0
2019-04-05,41.89,42.02,41.25,41.63,2432200,0.0,0
2019-04-08,41.56,41.65,41.11,41.51,2143000,0.0,0
2019-04-09,41.37,41.75,41.37,41.72,2458700,0.0,0
2019-04-10,41.85,42.36,41.73,41.82,2410800,0.0,0
2019-04-11,41.79,42.01,41.61,41.97,2309700,0.0,0
2019-04-12,42.04,42.1,41.77,41.83,1960400,0.0,0
2019-04-15,41.92,42.12,41.7,41.85,1863800,0.0,0
2019-04-16,41.8,42.01,41.55,41.59,2100400,0.0,0
2019-04-17,41.56,41.65,40.37,40.75,6153200,0.0,0
2019-04-18,40.85,41.04,40.42,40.57,3146400,0.0,0
2019-04-22,40.59,40.63,40.16,40.47,2345500,0.0,0
2019-04-23,40.62,41.1,40.47,40.91,3154800,0.0,0
2019-04-24,40.97,41.18,40.69,40.92,1756600,0.0,0
2019-04-25,40.7,40.91,40.38,40.47,2306200,0.0,0
2019-04-26,40.64,40.92,40.43,40.5,1475800,0.0,0
2019-04-29,40.48,40.67,40.17,40.46,1868600,0.0,0
2019-04-30,40.42,40.78,40.16,40.77,2890900,0.03,0
2019-05-01,40.6,40.77,40.1,40.16,2646700,0.0,0
2019-05-02,39.94,40.6,39.13,39.19,3789900,0.0,0
2019-05-03,39.11,39.61,38.48,39.06,3541200,0.0,0
2019-05-06,38.96,39.16,37.47,37.98,4050900,0.0,0
2019-05-07,37.79,38.51,37.72,38.28,4499000,0.0,0
2019-05-08,38.15,38.17,35.84,36.6,8454400,0.0,0
2019-05-09,36.59,36.86,35.89,36.33,5629900,0.0,0
2019-05-10,36.3,37.04,35.85,36.95,4107800,0.0,0
2019-05-13,36.69,37.0,36.27,36.45,3380300,0.0,0
2019-05-14,36.61,36.7,35.72,35.89,4120300,0.0,0
2019-05-15,35.7,35.9,35.25,35.64,3575100,0.0,0
2019-05-16,35.7,35.95,35.26,35.45,3048500,0.0,0
2019-05-17,35.16,35.52,35.09,35.24,2688900,0.0,0
2019-05-20,35.04,35.62,34.79,35.56,5142700,0.0,0
2019-05-21,35.57,36.6,35.47,36.35,4515500,0.0,0
2019-05-22,36.17,36.44,35.98,36.15,3300400,0.0,0
2019-05-23,35.86,35.94,35.1,35.19,4361500,0.0,0
2019-05-24,35.27,35.7,35.12,35.19,2618600,0.0,0
2019-05-28,35.16,35.37,34.48,34.68,5998600,0.0,0
2019-05-29,34.68,34.76,33.91,33.95,3490600,0.0,0
2019-05-30,34.0,34.16,33.36,33.41,3092300,0.0,0
2019-05-31,33.27,34.01,33.11,33.71,4530900,0.0,0
2019-06-03,33.82,34.22,33.61,33.95,3674300,0.0,0
2019-06-04,34.14,34.6,33.7,34.54,6226100,0.0,0
2019-06-05,34.78,34.87,34.26,34.81,4168700,0.0,0
2019-06-06,34.98,35.11,34.42,34.94,3340500,0.0,0
2019-06-07,34.95,35.21,34.31,34.39,3156300,0.0,0
2019-06-10,34.35,34.56,33.69,33.87,3057900,0.0,0
2019-06-11,33.86,34.44,33.82,34.22,3441400,0.0,0
2019-06-12,34.16,34.77,34.03,34.17,2622900,0.0,0
2019-06-13,34.24,34.6,33.83,34.09,2827300,0.0,0
2019-06-14,34.11,34.54,33.89,34.44,2717300,0.0,0
2019-06-17,34.45,34.53,34.01,34.11,3077900,0.0,0
2019-06-18,34.31,34.68,33.94,34.32,3387100,0.0,0
2019-06-19,34.32,34.67,34.05,34.46,4387500,0.0,0
2019-06-20,34.88,34.91,34.41,34.7,3878700,0.0,0
2019-06-21,34.72,35.05,34.54,34.83,6029500,0.0,0
2019-06-24,35.32,35.57,34.67,34.84,4526400,0.0,0
2019-06-25,34.92,35.24,34.69,34.8,3782600,0.0,0
2019-06-26,34.64,34.69,33.36,33.37,4327200,0.0,0
2019-06-27,33.41,33.7,32.69,33.7,6333800,0.0,0
2019-06-28,33.71,34.79,33.56,34.78,5632200,0.0,0
2019-07-01,34.9,35.23,34.58,35.09,4063900,0.0,0
2019-07-02,35.11,35.28,34.47,34.9,2741600,0.0,0
2019-07-03,35.03,35.71,35.0,35.46,1850900,0.0,0
2019-07-05,35.22,35.75,35.16,35.74,2102800,0.0,0
2019-07-08,35.66,35.92,35.09,35.37,3541900,0.0,0
2019-07-09,35.28,35.57,34.9,35.25,2676000,0.0,0
2019-07-10,35.57,35.76,35.31,35.61,2649600,0.0,0
2019-07-11,35.53,35.74,35.32,35.64,1991600,0.0,0
2019-07-12,35.67,35.81,35.44,35.64,2029800,0.0,0
2019-07-15,35.57,35.89,35.18,35.3,2700400,0.0,0
2019-07-16,35.06,35.28,33.59,33.76,4879000,0.0,0
2019-07-17,33.72,34.69,33.72,34.46,6674700,0.0,0
2019-07-18,34.39,34.76,34.03,34.76,2420100,0.0,0
2019-07-19,34.71,35.21,34.48,34.8,4132300,0.0,0
2019-07-22,34.82,34.89,34.16,34.6,2471700,0.0,0
2019-07-23,34.66,34.67,33.93,34.16,2684000,0.0,0
2019-07-24,34.2,34.72,34.2,34.42,2226600,0.0,0
2019-07-25,34.21,34.84,34.14,34.53,1897400,0.0,0
2019-07-26,34.64,34.79,34.0,34.13,2070600,0.0,0
2019-07-29,34.12,34.19,33.78,34.16,1995800,0.0,0
2019-07-30,33.97,34.47,33.97,34.45,2227600,0.0,0
2019-07-31,34.44,34.45,33.72,33.84,3579100,0.03,0
2019-08-01,33.81,34.67,33.8,34.02,4325300,0.0,0
2019-08-02,34.13,34.69,34.02,34.43,2797500,0.0,0
2019-08-05,34.36,34.36,33.22,33.42,2976200,0.0,0
2019-08-06,33.42,33.75,32.87,33.63,3232700,0.0,0
2019-08-07,33.68,34.44,32.34,33.01,4928200,0.0,0
2019-08-08,33.14,34.82,33.04,34.81,4843800,0.0,0
2019-08-09,34.78,34.83,33.64,33.85,3310400,0.0,0
2019-08-12,33.74,34.15,33.27,33.64,2287900,0.0,0
