Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,65.68,67.87,65.28,67.43,2889300,0.0,0
2019-03-22,67.17,67.34,64.66,64.84,2347700,0.0,0
2019-03-25,64.66,65.03,63.72,64.86,1652400,0.0,0
2019-03-26,65.53,66.24,64.94,65.6,1684100,0.0,0
2019-03-27,65.78,65.92,64.79,65.16,2852800,0.0,0
2019-03-28,65.32,65.94,64.85,65.37,1880600,0.0,0
2019-03-29,65.95,67.35,65.95,67.26,2643500,0.0,0
2019-04-01,67.86,68.47,67.42,68.27,1966800,0.0,0
2019-04-02,68.11,68.8,67.61,68.64,2232300,0.0,0
2019-04-03,68.98,70.39,68.8,70.24,4120000,0.0,0
2019-04-04,70.29,70.44,69.19,69.73,2318600,0.4,0
2019-04-05,69.86,70.62,69.84,70.38,1717300,0.0,0
2019-04-08,70.32,71.23,70.01,71.17,1797100,0.0,0
2019-04-09,70.71,71.15,70.53,70.99,1926700,0.0,0
2019-04-10,70.88,72.57,70.87,72.42,2650900,0.0,0
2019-04-11,72.93,73.84,72.64,73.63,2785800,0.0,0
2019-04-12,74.23,74.34,73.33,73.77,2557500,0.0,0
2019-04-15,73.77,74.93,73.44,74.29,2080100,0.0,0
2019-04-16,74.81,75.8,74.45,75.53,2432400,0.0,0
2019-04-17,75.45,76.42,75.14,75.76,1673700,0.0,0
2019-04-18,75.79,76.04,75.03,75.78,1557400,0.0,0
2019-04-22,75.46,75.7,74.66,74.81,1707600,0.0,0
2019-04-23,75.21,75.21,73.98,74.75,2465600,0.0,0
2019-04-24,74.9,74.96,71.26,71.69,4488800,0.0,0
2019-04-25,71.94,72.04,70.15,71.7,4211500,0.0,0
2019-04-26,71.2,71.28,69.26,70.13,2724900,0.0,0
2019-04-29,70.14,71.46,69.88,71.1,2099200,0.0,0
2019-04-30,71.04,71.36,70.12,71.06,2157100,0.0,0
2019-05-01,71.23,71.88,69.97,70.01,1648400,0.0,0
2019-05-02,70.04,70.99,69.27,69.92,1762500,0.0,0
2019-05-03,70.26,70.59,69.88,70.38,1487000,0.0,0
2019-05-06,68.76,69.44,68.29,68.99,1927400,0.0,0
2019-05-07,68.06,68.12,67.0,67.44,2447100,0.0,0
2019-05-08,67.01,68.08,66.67,67.22,1854800,0.0,0
2019-05-09,66.15,67.21,65.45,66.85,2302700,0.0,0
2019-05-10,66.22,67.48,65.26,67.07,2377700,0.0,0
2019-05-13,64.97,65.96,64.28,64.36,2231900,0.0,0
2019-05-14,64.55,66.27,64.49,65.66,2055700,0.0,0
2019-05-15,64.83,66.4,64.38,66.12,2485400,0.0,0
2019-05-16,66.25,68.55,66.05,67.98,2373100,0.0,0
2019-05-17,67.11,68.23,66.91,67.39,1912900,0.0,0
2019-05-20,66.57,67.6,66.18,66.45,2978300,0.0,0
2019-05-21,67.3,68.64,66.76,68.27,2398400,0.0,0
2019-05-22,67.29,67.48,65.07,65.45,6253700,0.0,0
2019-05-23,59.55,60.17,56.68,60.14,13771000,0.0,0
2019-05-24,60.4,61.24,60.06,60.47,2680600,0.0,0
2019-05-28,60.83,60.93,59.2,59.21,3128500,0.0,0
2019-05-29,58.89,59.35,58.23,58.83,2248000,0.0,0
2019-05-30,58.97,59.43,58.37,58.96,1614300,0.0,0
2019-05-31,58.02,58.34,57.49,57.74,4084900,0.0,0
2019-06-03,57.37,57.68,56.77,57.46,4325000,0.0,0
2019-06-04,58.14,59.72,58.12,59.65,2663400,0.0,0
2019-06-05,60.41,60.7,58.94,59.63,2104600,0.0,0
2019-06-06,59.63,59.9,59.03,59.59,2688400,0.0,0
2019-06-07,60.11,60.11,59.24,59.79,2479800,0.0,0
2019-06-10,60.07,61.34,59.94,60.79,1851200,0.0,0
2019-06-11,61.58,61.6,60.48,60.59,2864400,0.0,0
2019-06-12,60.48,60.59,59.83,60.01,1856500,0.0,0
2019-06-13,60.43,61.01,60.05,60.63,1991800,0.0,0
2019-06-14,60.32,60.38,59.27,59.48,1966500,0.0,0
2019-06-17,59.52,59.74,58.53,58.66,2786600,0.0,0
2019-06-18,59.21,60.58,59.12,59.94,2231700,0.0,0
2019-06-19,60.24,60.47,59.61,60.2,1711200,0.0,0
2019-06-20,61.27,61.89,60.47,61.13,1504400,0.0,0
2019-06-21,61.12,61.12,59.38,59.95,4932300,0.0,0
2019-06-24,60.04,60.62,59.67,59.74,1418900,0.0,0
2019-06-25,59.79,60.21,59.42,59.46,1584200,0.0,0
2019-06-26,59.82,60.21,58.99,59.14,1727000,0.0,0
2019-06-27,59.48,60.3,59.44,59.5,2183000,0.0,0
2019-06-28,59.87,60.63,59.67,60.18,2263600,0.0,0
2019-07-01,61.29,61.99,60.85,61.29,1557400,0.0,0
2019-07-02,61.29,61.44,60.07,60.41,2425100,0.0,0
2019-07-03,60.68,61.46,60.41,61.43,935700,0.48,0
2019-07-05,61.09,61.39,60.43,61.35,1174000,0.0,0
2019-07-08,58.23,59.51,58.0,59.39,3374700,0.0,0
2019-07-09,58.86,59.31,58.27,59.13,2293900,0.0,0
2019-07-10,59.74,59.85,58.91,59.26,2287500,0.0,0
2019-07-11,59.36,59.79,58.51,59.54,1972900,0.0,0
2019-07-12,59.86,60.47,59.39,60.08,1845700,0.0,0
2019-07-15,60.19,60.47,59.18,59.79,1338100,0.0,0
2019-07-16,59.84,59.84,57.06,57.95,2954100,0.0,0
2019-07-17,58.28,58.69,58.02,58.31,2469600,0.0,0
2019-07-18,58.01,58.82,57.19,57.82,2065200,0.0,0
2019-07-19,58.15,59.16,57.76,58.41,2168200,0.0,0
2019-07-22,58.41,58.9,57.66,57.7,1637700,0.0,0
2019-07-23,58.21,58.64,57.36,58.1,1349100,0.0,0
2019-07-24,57.72,58.44,57.15,57.82,1627100,0.0,0
2019-07-25,57.82,58.52,57.54,57.73,1400400,0.0,0
2019-07-26,57.99,58.4,57.33,58.11,1698700,0.0,0
2019-07-29,57.13,58.5,56.47,58.23,2470000,0.0,0
2019-07-30,57.84,58.6,57.68,58.48,1478200,0.0,0
2019-07-31,58.56,58.82,56.75,57.5,2144300,0.0,0
2019-08-01,57.42,58.68,56.4,56.73,3081800,0.0,0
2019-08-02,47.09,47.18,44.03,45.26,17339200,0.0,0
2019-08-05,44.54,45.68,44.19,44.39,4534900,0.0,0
2019-08-06,44.71,45.51,44.49,45.23,3229400,0.0,0
2019-08-07,44.6,45.66,44.48,45.48,3408700,0.0,0
2019-08-08,45.49,47.12,45.4,46.94,3666400,0.0,0
2019-08-09,46.57,46.78,45.25,45.79,2257600,0.0,0
2019-08-12,45.6,45.61,44.75,45.33,2099700,0.0,0
2019-08-13,45.43,47.21,45.16,46.19,2784000,0.0,0
2019-08-14,45.2,45.52,43.79,43.95,4401900,0.0,0
2019-08-15,44.94,47.23,44.6,45.68,5101900,0.0,0
2019-08-16,46.04,46.22,45.32,45.97,2892000,0.0,0
2019-08-19,46.89,46.99,46.16,46.21,2507400,0.0,0
2019-08-20,46.12,46.17,45.19,45.31,2136900,0.0,0
2019-08-21,45.94,46.54,45.77,46.09,1914200,0.0,0
2019-08-22,46.06,46.52,45.51,45.99,1852500,0.0,0
2019-08-23,45.17,46.06,44.45,44.66,2541700,0.0,0
2019-08-26,45.62,46.05,45.31,45.77,2377200,0.0,0
2019-08-27,46.14,46.19,45.32,45.72,2693100,0.0,0
2019-08-28,45.8,46.58,45.45,46.02,1970300,0.0,0
2019-08-29,46.84,47.38,46.7,47.09,1765900,0.0,0
2019-08-30,47.63,48.06,47.03,47.24,2747000,0.0,0
2019-09-03,46.7,47.0,45.91,46.6,2351600,0.0,0
2019-09-04,47.38,48.38,47.35,48.32,2853700,0.0,0
2019-09-05,49.12,50.99,48.76,50.88,3424200,0.0,0
2019-09-06,50.88,51.38,50.62,51.1,2983600,0.0,0
2019-09-09,52.84,53.97,51.99,53.85,3968600,0.0,0
2019-09-10,53.69,54.12,52.75,53.58,4172100,0.0,0
2019-09-11,53.9,55.28,53.34,55.27,3431000,0.0,0
2019-09-12,55.1,55.7,54.37,55.4,4103200,0.0,0
2019-09-13,55.41,55.88,54.66,55.61,3102600,0.0,0
2019-09-16,55.68,56.04,55.15,55.87,3256100,0.0,0
2019-09-17,55.31,55.87,54.27,55.58,3020900,0.0,0
2019-09-18,55.28,55.56,53.38,54.0,2537000,0.0,0
2019-09-19,54.16,54.5,53.39,53.51,2242100,0.0,0
2019-09-20,53.5,53.87,52.9,53.18,4678500,0.0,0
2019-09-23,53.11,53.94,52.59,53.6,1917400,0.0,0
2019-09-24,53.59,53.67,51.74,52.06,2942800,0.0,0
2019-09-25,51.88,53.13,51.72,52.9,1855200,0.0,0
2019-09-26,53.21,53.21,51.98,52.78,1686100,0.0,0
2019-09-27,53.01,53.72,52.67,52.99,1459800,0.0,0
2019-09-30,51.83,52.27,51.38,51.62,3207400,0.0,0
2019-10-01,52.17,52.63,50.62,51.11,2325000,0.0,0
2019-10-02,50.57,50.8,49.67,50.51,2517500,0.0,0
2019-10-03,50.34,51.12,49.83,51.02,2184000,0.48,0
2019-10-04,51.23,51.69,50.79,51.66,1774900,0.0,0
2019-10-07,51.5,52.49,51.49,51.63,1670000,0.0,0
2019-10-08,51.01,51.02,50.15,50.17,1887200,0.0,0
2019-10-09,50.68,51.44,50.52,50.97,1401800,0.0,0
2019-10-10,48.66,50.14,48.43,49.4,3954800,0.0,0
2019-10-11,50.1,51.51,50.0,51.09,2056800,0.0,0
2019-10-14,51.11,51.98,50.81,51.8,1762900,0.0,0
2019-10-15,51.83,52.7,51.45,52.63,1735900,0.0,0
2019-10-16,52.72,53.23,52.5,52.81,1327600,0.0,0
2019-10-17,53.03,53.62,52.83,53.6,1582400,0.0,0
2019-10-18,53.54,53.56,52.63,53.08,1759400,0.0,0
2019-10-21,53.72,55.0,53.48,54.15,2665100,0.0,0
2019-10-22,54.24,55.16,53.73,54.75,1508300,0.0,0
2019-10-23,54.78,55.69,54.69,55.58,1689200,0.0,0
2019-10-24,55.89,56.03,54.36,55.02,1560100,0.0,0
2019-10-25,55.11,55.97,54.85,55.58,1437200,0.0,0
2019-10-28,55.88,56.2,55.24,55.43,2229800,0.0,0
2019-10-29,55.35,55.5,54.92,55.04,1645600,0.0,0
2019-10-30,54.86,55.98,54.58,55.94,1558800,0.0,0
2019-10-31,55.75,55.93,54.99,55.45,1983400,0.0,0
2019-11-01,56.01,56.67,55.24,56.65,2216900,0.0,0
2019-11-04,57.46,58.24,57.0,57.47,2201300,0.0,0
2019-11-05,57.47,59.25,57.3,59.07,2665900,0.0,0
2019-11-06,58.86,59.24,57.39,57.43,2771300,0.0,0
2019-11-07,57.92,59.04,57.8,58.49,1742100,0.0,0
2019-11-08,58.18,59.03,57.81,58.95,1597700,0.0,0
2019-11-11,58.76,59.74,58.46,59.41,1978100,0.0,0
2019-11-12,59.7,59.78,59.05,59.68,1997000,0.0,0
2019-11-13,59.55,60.47,59.44,59.61,4392100,0.0,0
2019-11-14,59.4,62.51,59.04,61.5,7650100,0.0,0
2019-11-15,62.01,62.58,61.28,62.39,2456800,0.0,0
2019-11-18,62.08,63.3,61.69,63.0,2389800,0.0,0
2019-11-19,63.31,63.44,61.52,62.41,2972800,0.0,0
2019-11-20,61.85,62.39,60.61,60.97,2471300,0.0,0
2019-11-21,61.17,61.37,60.18,60.23,2246700,0.0,0
2019-11-22,60.45,60.81,59.98,60.76,2502200,0.0,0
2019-11-25,61.29,62.49,60.79,62.17,2196200,0.0,0
2019-11-26,61.94,62.11,59.72,60.04,4633600,0.0,0
2019-11-27,60.09,60.45,59.69,60.08,1654900,0.0,0
2019-11-29,60.0,60.6,60.0,60.12,838700,0.0,0
2019-12-02,59.64,60.27,58.92,58.96,1802800,0.0,0
2019-12-03,57.98,58.23,57.2,58.13,2071900,0.0,0
2019-12-04,58.7,59.17,58.26,58.88,1625300,0.0,0
2019-12-05,59.54,59.98,58.9,59.62,1478000,0.0,0
2019-12-06,60.38,61.03,60.25,60.56,1937700,0.0,0
2019-12-09,60.31,60.9,60.04,60.06,1795300,0.0,0
2019-12-10,60.06,60.45,59.68,59.89,1250100,0.0,0
2019-12-11,59.95,60.25,59.79,60.19,1272800,0.0,0
2019-12-12,60.35,62.33,59.61,62.25,2440000,0.0,0
2019-12-13,61.75,62.81,61.44,62.75,2444800,0.0,0
2019-12-16,63.46,63.99,63.02,63.05,2323300,0.0,0
2019-12-17,63.42,63.51,62.65,62.97,1459600,0.0,0
2019-12-18,62.97,63.43,62.41,62.48,1431800,0.0,0
2019-12-19,62.84,63.22,62.39,62.74,1957400,0.0,0
2019-12-20,62.8,63.2,61.28,61.59,5612700,0.0,0
2019-12-23,61.9,62.81,61.77,62.32,1693000,0.0,0
2019-12-24,62.41,62.76,61.92,62.38,541900,0.0,0
2019-12-26,62.47,62.79,61.74,62.04,1210500,0.0,0
2019-12-27,62.29,62.29,60.92,60.96,1130300,0.0,0
2019-12-30,61.0,61.3,60.47,61.06,1548000,0.0,0
2019-12-31,60.83,61.8,60.79,61.77,1727100,0.0,0
2020-01-02,61.97,62.82,61.8,62.77,1670000,0.48,0
2020-01-03,61.95,62.49,61.21,61.7,1429800,0.0,0
2020-01-06,61.13,62.01,61.12,61.55,1005400,0.0,0
2020-01-07,61.67,62.2,61.24,61.95,1575000,0.0,0
2020-01-08,62.23,63.38,61.98,63.14,1801500,0.0,0
2020-01-09,63.62,64.17,62.97,63.46,2009200,0.0,0
2020-01-10,63.6,63.71,62.85,63.13,1794500,0.0,0
2020-01-13,63.39,64.47,63.39,64.11,1627400,0.0,0
2020-01-14,64.04,64.28,63.61,63.78,1433300,0.0,0
2020-01-15,63.95,64.54,63.83,64.19,1470100,0.0,0
2020-01-16,64.49,65.38,64.19,65.38,2221600,0.0,0
2020-01-17,63.32,63.81,61.93,62.42,4240500,0.0,0
2020-01-21,62.16,62.6,60.41,60.56,2623100,0.0,0
2020-01-22,60.83,61.27,60.17,60.47,2119700,0.0,0
2020-01-23,60.59,60.62,59.08,60.57,2171100,0.0,0
2020-01-24,60.55,60.91,59.06,59.81,1486600,0.0,0
2020-01-27,58.4,58.89,57.76,58.16,2043200,0.0,0
2020-01-28,58.3,58.4,56.85,56.92,3157600,0.0,0
2020-01-29,57.13,57.13,55.5,55.54,2950100,0.0,0
2020-01-30,54.8,55.69,54.07,54.85,2411300,0.0,0
2020-01-31,54.58,54.69,53.17,53.4,2271200,0.0,0
2020-02-03,53.5,54.8,53.49,54.04,1764300,0.0,0
2020-02-04,55.31,56.44,55.1,55.88,1901000,0.0,0
2020-02-05,57.03,57.97,56.73,57.8,2237000,0.0,0
2020-02-06,58.06,58.46,57.34,58.15,1166900,0.0,0
2020-02-07,57.84,57.9,57.24,57.34,1252500,0.0,0
2020-02-10,56.88,58.1,56.88,58.06,1551400,0.0,0
2020-02-11,58.76,59.82,58.37,59.08,2268900,0.0,0
2020-02-12,59.45,60.96,59.22,60.82,4480500,0.0,0
2020-02-13,53.48,55.6,53.2,55.18,10365600,0.0,0
2020-02-14,55.26,55.34,53.68,54.24,3217300,0.0,0
2020-02-18,53.97,54.14,52.76,53.43,2635300,0.0,0
2020-02-19,53.16,54.17,53.05,53.21,1936000,0.0,0
2020-02-20,53.2,53.8,52.68,53.71,2462700,0.0,0
2020-02-21,53.25,53.35,51.86,52.0,3233200,0.0,0
2020-02-24,50.5,50.73,49.68,50.1,2601600,0.0,0
2020-02-25,50.65,51.0,48.42,48.8,2715800,0.0,0
2020-02-26,49.46,50.29,48.25,48.48,2239200,0.0,0
2020-02-27,47.39,48.66,46.39,46.87,3494600,0.0,0
2020-02-28,45.0,46.84,44.89,46.72,5531100,0.0,0
2020-03-02,47.04,47.62,45.81,47.57,3145600,0.0,0
2020-03-03,47.01,48.19,45.26,45.91,2557800,0.0,0
2020-03-04,46.42,46.42,45.34,46.34,2766000,0.0,0
2020-03-05,44.99,45.38,43.71,43.93,2353600,0.0,0
2020-03-06,42.16,44.15,41.75,44.0,4223800,0.0,0
2020-03-09,41.16,42.57,39.73,39.86,2770100,0.0,0
2020-03-10,41.54,43.51,40.41,43.49,3980900,0.0,0
2020-03-11,42.08,42.36,39.94,40.45,2799100,0.0,0
2020-03-12,37.51,39.0,35.86,35.91,3012000,0.0,0
2020-03-13,38.29,40.8,36.78,40.8,3833300,0.0,0
2020-03-16,36.13,42.33,36.0,40.05,4034800,0.0,0
