Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,89.3,90.3,88.28,89.92,1006300,0.0,0
2019-03-22,89.01,89.18,85.8,85.94,1635100,0.0,0
2019-03-25,86.05,86.76,84.61,84.96,1266200,0.0,0
2019-03-26,85.59,86.84,84.88,86.83,1076800,0.0,0
2019-03-27,87.12,87.63,86.34,86.4,1592000,0.0,0
2019-03-28,86.39,87.42,86.07,87.37,974200,0.0,0
2019-03-29,88.26,88.61,87.39,87.7,1066500,0.0,0
2019-04-01,88.26,90.3,88.2,89.93,1101200,0.0,0
2019-04-02,89.78,90.73,89.15,90.49,915500,0.0,0
2019-04-03,91.3,91.97,91.02,91.31,869000,0.0,0
2019-04-04,91.56,92.47,91.41,91.9,686400,0.0,0
2019-04-05,92.23,92.52,91.58,92.22,1156900,0.0,0
2019-04-08,92.17,92.39,91.25,91.57,891400,0.0,0
2019-04-09,91.06,91.06,90.04,90.63,740500,0.0,0
2019-04-10,90.65,91.04,89.8,90.6,938100,0.0,0
2019-04-11,91.14,91.83,90.07,90.83,1028200,0.0,0
2019-04-12,93.64,93.64,91.33,91.72,1224300,0.0,0
2019-04-15,91.65,91.81,90.72,91.23,830000,0.0,0
2019-04-16,91.25,93.01,91.25,92.76,1020300,0.0,0
2019-04-17,91.18,91.19,89.25,89.65,2724400,0.0,0
2019-04-18,89.92,90.06,88.82,89.12,1870700,0.0,0
2019-04-22,88.96,89.73,88.48,89.12,1286300,0.0,0
2019-04-23,90.06,93.53,89.42,93.07,2674500,0.0,0
2019-04-24,93.07,95.26,92.28,94.81,2242800,0.0,0
2019-04-25,94.64,95.2,93.17,94.65,1353200,0.0,0
2019-04-26,94.47,95.0,94.11,94.8,1147500,0.0,0
2019-04-29,94.79,96.1,94.58,95.62,1109900,0.0,0
2019-04-30,95.77,95.93,94.61,95.6,1683000,0.0,0
2019-05-01,95.57,96.39,94.59,94.64,1014000,0.0,0
2019-05-02,94.82,96.75,94.72,95.52,1255800,0.0,0
2019-05-03,95.78,96.83,95.54,96.5,724000,0.0,0
2019-05-06,94.67,96.42,94.34,95.84,656500,0.0,0
2019-05-07,94.98,95.4,93.87,94.56,1011500,0.0,0
2019-05-08,94.3,94.84,93.75,93.96,674500,0.0,0
2019-05-09,93.01,94.23,91.96,94.07,804000,0.0,0
2019-05-10,93.69,94.8,92.69,94.64,731600,0.0,0
2019-05-13,92.83,93.21,90.76,91.14,948000,0.0,0
2019-05-14,91.19,92.72,91.11,92.07,1048900,0.0,0
2019-05-15,91.19,92.42,90.57,91.42,951000,0.0,0
2019-05-16,92.01,92.73,91.61,91.94,789100,0.0,0
2019-05-17,90.97,92.17,90.48,90.62,762200,0.0,0
2019-05-20,90.3,91.04,90.02,90.7,1025800,0.0,0
2019-05-21,91.08,91.98,91.01,91.73,990300,0.0,0
2019-05-22,91.45,91.57,90.55,90.57,725700,0.0,0
2019-05-23,89.63,89.73,87.04,87.43,1568500,0.0,0
2019-05-24,88.01,88.81,87.93,88.61,1038700,0.0,0
2019-05-28,88.53,88.53,86.63,86.8,1444500,0.0,0
2019-05-29,86.23,86.87,85.26,86.76,1112300,0.0,0
2019-05-30,87.08,87.27,84.63,85.04,755900,0.0,0
2019-05-31,83.85,84.45,82.75,82.96,988500,0.0,0
2019-06-03,83.15,83.99,82.53,83.29,1122500,0.0,0
2019-06-04,84.54,86.28,84.33,86.25,726300,0.0,0
2019-06-05,85.97,86.72,84.41,85.19,848600,0.0,0
2019-06-06,84.69,86.69,83.33,85.08,931400,0.0,0
2019-06-07,85.17,85.76,84.49,85.63,919400,0.0,0
2019-06-10,86.44,87.11,85.62,85.74,1478000,0.0,0
2019-06-11,86.24,87.42,84.95,85.15,2443900,0.0,0
2019-06-12,84.89,86.74,83.83,85.38,2207900,0.0,0
2019-06-13,85.82,86.6,84.79,85.21,944600,0.6,0
2019-06-14,85.42,85.74,84.2,85.14,933900,0.0,0
2019-06-17,85.2,85.76,83.74,83.87,687900,0.0,0
2019-06-18,83.2,85.62,82.92,84.39,1238400,0.0,0
2019-06-19,84.46,85.56,83.04,83.27,1121800,0.0,0
2019-06-20,84.11,84.11,82.78,83.75,1318700,0.0,0
2019-06-21,83.87,85.18,83.34,84.67,1673300,0.0,0
2019-06-24,84.31,85.32,83.75,83.88,805900,0.0,0
2019-06-25,83.45,84.03,82.08,83.76,1020300,0.0,0
2019-06-26,84.13,84.86,83.33,84.7,1816000,0.0,0
2019-06-27,84.8,85.92,84.62,85.8,1160500,0.0,0
2019-06-28,86.74,88.12,86.63,87.91,2889300,0.0,0
2019-07-01,88.77,89.66,88.77,89.52,1792700,0.0,0
2019-07-02,89.45,90.4,88.89,89.73,2564000,0.0,0
2019-07-03,89.9,90.8,89.9,90.63,767400,0.0,0
2019-07-05,91.05,91.98,90.79,91.73,1025100,0.0,0
2019-07-08,90.95,90.95,88.52,89.54,1612100,0.0,0
2019-07-09,88.8,89.5,88.7,89.46,870400,0.0,0
2019-07-10,89.41,89.86,88.21,88.32,1567900,0.0,0
2019-07-11,88.6,89.5,87.57,89.21,1068700,0.0,0
2019-07-12,89.01,89.35,88.32,89.21,779700,0.0,0
2019-07-15,89.21,89.71,87.35,87.64,1423000,0.0,0
2019-07-16,88.14,88.74,87.22,87.41,920700,0.0,0
2019-07-17,87.25,88.03,86.75,87.8,1464400,0.0,0
2019-07-18,87.85,89.33,86.88,89.03,1016500,0.0,0
2019-07-19,89.26,91.07,88.83,90.7,1824000,0.0,0
2019-07-22,90.84,91.06,90.17,90.57,1167100,0.0,0
2019-07-23,90.91,92.8,90.71,92.8,1466600,0.0,0
2019-07-24,92.58,98.12,92.58,97.15,3346800,0.0,0
2019-07-25,97.77,97.77,96.31,96.73,1328700,0.0,0
2019-07-26,97.21,97.46,96.08,97.32,941300,0.0,0
2019-07-29,96.93,97.59,96.44,96.72,746200,0.0,0
2019-07-30,95.79,96.81,95.74,96.78,675200,0.0,0
2019-07-31,96.7,96.8,95.66,95.72,1164200,0.0,0
2019-08-01,95.63,96.07,92.32,92.53,1007700,0.0,0
