Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,56.1,57.32,55.97,57.13,1612400,0.0,0
2019-03-22,56.56,56.67,55.05,55.36,2190600,0.0,0
2019-03-25,55.31,55.84,54.84,55.25,1504000,0.0,0
2019-03-26,55.79,55.89,54.93,55.3,1926900,0.0,0
2019-03-27,55.36,56.0,55.19,55.93,2306100,0.0,0
2019-03-28,56.36,56.53,55.7,56.36,1587800,0.4,0
2019-03-29,56.84,57.51,56.77,57.07,2882400,0.0,0
2019-04-01,57.91,58.44,57.46,58.4,2350100,0.0,0
2019-04-02,58.61,58.61,57.73,58.19,1675300,0.0,0
2019-04-03,58.77,59.52,58.71,59.25,2380000,0.0,0
2019-04-04,59.39,59.58,59.06,59.37,1773900,0.0,0
2019-04-05,59.55,59.83,59.08,59.36,1843600,0.0,0
2019-04-08,59.37,59.37,58.77,59.15,1728900,0.0,0
2019-04-09,58.76,58.76,57.47,57.55,1930500,0.0,0
2019-04-10,57.66,57.77,56.59,56.95,2069400,0.0,0
2019-04-11,56.96,57.13,56.05,56.4,2387200,0.0,0
2019-04-12,57.12,57.58,56.72,57.26,2208300,0.0,0
2019-04-15,57.22,57.22,56.52,56.63,1993800,0.0,0
2019-04-16,56.85,57.11,56.56,56.94,1754900,0.0,0
2019-04-17,57.55,58.0,56.67,56.73,2260900,0.0,0
2019-04-18,56.75,56.91,56.08,56.24,3601400,0.0,0
2019-04-22,56.27,56.39,55.52,55.73,2421900,0.0,0
2019-04-23,56.41,57.68,55.54,57.33,4806300,0.0,0
2019-04-24,57.09,57.89,56.81,57.04,2805900,0.0,0
2019-04-25,57.0,57.41,55.95,56.14,2598400,0.0,0
2019-04-26,56.12,56.27,55.07,55.15,2260300,0.0,0
2019-04-29,54.97,55.69,54.76,55.63,2300000,0.0,0
2019-04-30,55.54,56.09,55.13,55.82,2729500,0.0,0
2019-05-01,55.71,55.96,54.53,54.62,2237600,0.0,0
2019-05-02,54.38,55.14,54.1,54.67,2404700,0.0,0
2019-05-03,55.16,56.65,55.14,56.39,2104800,0.0,0
2019-05-06,55.1,55.7,54.91,55.44,1680200,0.0,0
2019-05-07,54.97,55.28,54.23,54.95,2182400,0.0,0
2019-05-08,54.65,55.93,54.61,55.18,2770100,0.0,0
2019-05-09,54.27,55.5,53.78,55.32,2146400,0.0,0
2019-05-10,55.14,55.68,54.56,55.55,1950900,0.0,0
2019-05-13,54.18,54.58,52.85,53.49,3261900,0.0,0
2019-05-14,53.71,54.3,53.43,53.97,1837600,0.0,0
2019-05-15,52.96,53.9,52.7,53.67,1409600,0.0,0
2019-05-16,53.97,54.22,53.43,53.77,1173000,0.0,0
2019-05-17,52.78,53.03,51.36,52.12,2709800,0.0,0
2019-05-20,51.77,52.08,51.4,51.47,1939900,0.0,0
2019-05-21,51.94,52.73,51.78,52.5,1771000,0.0,0
2019-05-22,52.07,52.33,51.35,51.72,2003400,0.0,0
2019-05-23,50.76,50.77,49.88,50.26,2553000,0.0,0
2019-05-24,50.86,51.2,50.0,50.04,1836700,0.0,0
2019-05-28,50.04,50.34,49.45,49.89,3851400,0.0,0
2019-05-29,49.33,49.88,49.07,49.65,2870800,0.0,0
2019-05-30,49.01,49.64,48.04,48.2,2921300,0.0,0
2019-05-31,46.68,47.48,46.1,46.95,3610000,0.0,0
2019-06-03,46.95,48.73,46.94,48.69,3432400,0.0,0
2019-06-04,49.15,49.32,48.49,49.05,3760100,0.0,0
2019-06-05,49.2,49.49,48.47,49.48,2824200,0.0,0
2019-06-06,49.59,49.85,48.93,49.31,3471400,0.0,0
2019-06-07,49.35,49.93,48.76,49.72,2243900,0.0,0
2019-06-10,49.99,50.53,49.68,49.82,4174400,0.0,0
2019-06-11,50.98,51.14,50.33,50.61,2211700,0.0,0
2019-06-12,50.45,50.68,49.93,50.01,1674700,0.0,0
2019-06-13,50.28,51.29,50.22,51.0,1973500,0.0,0
2019-06-14,50.77,51.01,50.41,50.57,1553600,0.0,0
2019-06-17,49.88,50.43,49.2,49.64,2588500,0.0,0
2019-06-18,50.17,52.01,50.17,51.47,2863200,0.0,0
2019-06-19,52.56,53.59,52.36,53.06,5546800,0.0,0
