Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,2741.26,2813.43,2741.26,2760.73,20300,0,0
2019-03-22,2743.5,2815.0,2739.1,2780.91,19100,0,0
2019-03-25,2779.9,2845.94,2770.0,2832.78,14100,0,0
2019-03-26,2831.8,2846.05,2787.18,2826.21,21300,0,0
2019-03-27,2859.2,2893.75,2840.57,2860.24,38300,0,0
2019-03-28,2875.53,2876.69,2778.57,2807.32,21200,0,0
2019-03-29,2819.76,2829.59,2757.51,2767.0,21500,0,0
2019-04-01,2776.99,2799.95,2744.73,2766.99,23000,0,0
2019-04-02,2750.72,2781.78,2745.08,2768.0,13700,0,0
2019-04-03,2771.07,2829.9,2755.55,2793.88,15400,0,0
2019-04-04,2789.55,2869.9,2789.55,2869.9,12600,0,0
2019-04-05,2878.0,2895.0,2860.0,2870.47,11800,0,0
2019-04-08,2856.08,2897.31,2855.62,2881.27,16200,0,0
2019-04-09,2870.0,2902.78,2860.0,2878.06,22300,0,0
2019-04-10,2890.0,2920.0,2876.01,2910.42,11500,0,0
2019-04-11,2926.59,2961.79,2895.0,2944.25,19300,0,0
2019-04-12,2946.0,2985.28,2938.04,2970.1,18600,0,0
2019-04-15,2992.9,2998.72,2967.0,2998.7,19700,0,0
2019-04-16,3000.0,3034.14,2981.82,3022.16,19900,0,0
2019-04-17,3038.31,3049.83,3024.05,3044.62,15700,0,0
2019-04-18,3051.0,3100.0,3015.25,3084.12,23900,0,0
2019-04-22,3130.0,3282.8,3087.55,3271.95,48300,0,0
2019-04-23,3281.65,3335.23,3189.54,3215.0,42100,0,0
2019-04-24,3198.01,3229.88,3146.15,3215.77,34100,0,0
2019-04-25,3179.95,3200.0,3115.08,3145.78,28800,0,0
2019-04-26,3147.0,3147.0,3078.57,3116.14,28300,0,0
2019-04-29,3127.57,3149.98,3070.01,3132.6,26300,0,0
2019-04-30,3121.49,3176.08,3080.0,3152.48,20900,0,0
2019-05-01,3160.0,3244.0,3160.0,3183.53,59200,0,0
2019-05-02,3174.1,3262.0,3156.0,3247.87,21400,0,0
2019-05-03,3258.0,3284.37,3243.06,3270.0,21700,0,0
2019-05-06,3230.73,3311.0,3225.27,3292.37,23800,0,0
2019-05-07,3317.03,3317.03,3217.69,3251.41,23000,0,0
2019-05-08,3236.0,3284.9,3217.53,3228.0,20700,0,0
2019-05-09,3215.24,3307.48,3213.26,3307.48,22100,0,0
2019-05-10,3310.68,3318.59,3274.05,3290.79,19900,0,0
2019-05-13,3251.24,3270.0,3190.07,3249.35,29200,0,0
2019-05-14,3255.0,3325.0,3249.35,3286.04,23500,0,0
2019-05-15,3290.42,3323.54,3275.56,3315.58,26300,0,0
2019-05-16,3319.9,3381.98,3312.54,3344.65,20800,0,0
2019-05-17,3323.16,3364.86,3311.92,3320.0,18200,0,0
2019-05-20,3311.25,3321.44,3247.58,3261.18,25000,0,0
2019-05-21,3267.8,3324.69,3250.0,3309.32,26300,0,0
2019-05-22,3279.75,3318.0,3235.0,3246.78,22900,0,0
2019-05-23,3229.85,3249.78,3194.83,3215.28,29500,0,0
2019-05-24,3231.94,3279.03,3216.52,3272.72,34800,0,0
2019-05-28,3281.92,3293.5,3202.85,3214.32,43700,0,0
2019-05-29,3183.21,3235.66,3162.9,3219.76,24400,0,0
2019-05-30,3223.0,3259.54,3209.0,3226.18,16400,0,0
2019-05-31,3204.95,3264.34,3151.2,3201.57,27400,0,0
2019-06-03,3190.0,3294.7,3170.0,3266.7,25300,0,0
2019-06-04,3281.12,3317.55,3240.0,3317.55,25100,0,0
2019-06-05,3322.0,3374.25,3301.73,3356.68,21400,0,0
2019-06-06,3356.78,3417.53,3327.25,3362.49,21100,0,0
2019-06-07,3375.0,3406.38,3370.1,3391.0,16900,0,0
2019-06-10,3400.0,3439.18,3366.5,3402.35,17500,0,0
2019-06-11,3410.0,3413.03,3323.0,3370.82,16400,0,0
2019-06-12,3361.65,3411.69,3341.2,3395.0,19900,0,0
2019-06-13,3395.1,3420.0,3362.0,3395.81,18500,0,0
2019-06-14,3388.8,3489.0,3368.02,3459.62,19800,0,0
