Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,14.88,15.05,14.82,14.92,4421200,0.0,0
2019-03-22,14.87,14.87,14.16,14.17,6927000,0.0,0
2019-03-25,14.13,14.29,13.92,14.23,4980100,0.0,0
2019-03-26,14.3,14.64,14.22,14.42,4406100,0.0,0
2019-03-27,14.44,14.59,14.26,14.48,3361200,0.0,0
2019-03-28,14.49,14.69,14.34,14.58,4237400,0.0,0
2019-03-29,14.65,14.67,14.34,14.49,6709200,0.0,0
2019-04-01,14.54,14.77,14.42,14.58,5827700,0.0,0
2019-04-02,14.53,14.78,14.48,14.49,4253900,0.0,0
2019-04-03,14.64,14.75,14.35,14.47,4641700,0.0,0
2019-04-04,14.47,14.78,14.43,14.7,5565500,0.0,0
2019-04-05,14.77,15.2,14.72,14.97,5532700,0.0,0
2019-04-08,15.02,15.11,14.77,14.88,4529900,0.0,0
2019-04-09,14.82,14.87,14.41,14.44,5143500,0.0,0
2019-04-10,14.48,14.62,14.36,14.62,3128000,0.0,0
2019-04-11,14.63,14.71,14.47,14.51,4470900,0.0,0
2019-04-12,14.57,14.72,14.46,14.53,5920900,0.0,0
2019-04-15,14.53,14.53,14.31,14.34,4913500,0.0,0
2019-04-16,14.35,14.41,14.19,14.34,5514800,0.0,0
2019-04-17,14.4,14.52,14.28,14.32,4294300,0.0,0
2019-04-18,14.32,14.44,14.28,14.31,7221800,0.0,0
2019-04-22,14.32,14.39,13.6,13.61,10268300,0.0,0
2019-04-23,13.67,13.73,13.36,13.38,7705600,0.0,0
2019-04-24,13.42,13.55,13.27,13.44,5768100,0.0,0
2019-04-25,13.37,13.39,12.82,12.87,8413400,0.0,0
2019-04-26,12.88,13.59,12.88,13.52,7792300,0.0,0
2019-04-29,13.6,13.87,13.52,13.62,5651300,0.0,0
2019-04-30,13.59,13.69,13.4,13.58,7173000,0.0,0
2019-05-01,13.62,13.89,13.43,13.55,7448200,0.0,0
2019-05-02,13.53,13.91,13.53,13.84,7218200,0.0,0
2019-05-03,14.69,15.77,14.64,15.71,19595000,0.0,0
2019-05-06,15.22,15.36,14.95,15.09,8264300,0.0,0
2019-05-07,14.93,15.41,14.91,15.07,7225000,0.0,0
2019-05-08,15.02,15.16,14.64,14.67,5103300,0.0,0
2019-05-09,14.57,14.7,14.34,14.51,5227600,0.0,0
2019-05-10,14.47,14.56,14.1,14.47,4655100,0.0,0
2019-05-13,14.08,14.39,14.01,14.35,4768400,0.0,0
2019-05-14,14.4,14.64,14.24,14.43,4734200,0.0,0
2019-05-15,14.37,14.8,14.25,14.76,7097500,0.0,0
2019-05-16,14.77,15.03,14.65,14.68,3313700,0.0,0
