Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,12.35,12.82,12.35,12.64,2139900,0.0,0
2019-03-22,12.6,12.69,12.37,12.43,1574300,0.0,0
2019-03-25,12.44,12.53,12.34,12.39,1402700,0.0,0
2019-03-26,12.43,12.47,12.23,12.3,662500,0.0,0
2019-03-27,12.34,12.34,12.1,12.19,467000,0.0,0
2019-03-28,12.2,12.26,12.07,12.25,311600,0.0,0
2019-03-29,12.31,12.33,12.22,12.29,367500,0.0,0
2019-04-01,12.4,12.46,12.35,12.41,505800,0.0,0
2019-04-02,12.43,12.46,12.28,12.28,909400,0.0,0
2019-04-03,12.37,12.54,12.32,12.35,607900,0.0,0
2019-04-04,12.36,12.49,12.36,12.38,1011800,0.0,0
2019-04-05,12.39,12.5,12.36,12.43,339900,0.0,0
2019-04-08,12.45,12.49,12.38,12.42,347600,0.0,0
2019-04-09,12.38,12.45,12.37,12.42,291900,0.0,0
2019-04-10,12.45,12.55,12.42,12.55,238800,0.0,0
2019-04-11,12.54,12.55,12.42,12.43,333600,0.0,0
2019-04-12,12.47,12.58,12.47,12.54,387400,0.0,0
2019-04-15,12.5,12.6,12.39,12.44,820000,0.0,0
2019-04-16,12.48,12.63,12.43,12.54,648700,0.0,0
2019-04-17,12.54,12.73,12.47,12.5,528000,0.0,0
2019-04-18,12.52,12.52,12.25,12.42,370200,0.0,0
2019-04-22,12.4,12.41,12.17,12.32,296700,0.0,0
2019-04-23,12.34,12.48,12.34,12.4,428600,0.0,0
2019-04-24,12.4,12.43,12.37,12.41,399500,0.0,0
2019-04-25,12.4,12.4,12.13,12.26,312900,0.0,0
2019-04-26,12.28,12.37,12.21,12.37,482900,0.0,0
2019-04-29,12.33,12.48,12.29,12.32,944200,0.0,0
2019-04-30,12.43,12.43,12.15,12.29,624600,0.0,0
2019-05-01,12.32,12.41,12.21,12.24,1138200,0.0,0
2019-05-02,12.25,12.25,12.05,12.17,582600,0.0,0
2019-05-03,12.19,12.29,12.19,12.23,1213000,0.0,0
2019-05-06,12.06,12.14,11.86,11.97,424900,0.0,0
2019-05-07,11.87,11.88,11.45,11.55,883500,0.0,0
2019-05-08,11.5,11.63,11.4,11.42,679300,0.0,0
2019-05-09,11.38,11.48,11.2,11.47,926700,0.0,0
2019-05-10,11.64,12.08,11.6,11.83,818200,0.0,0
2019-05-13,11.59,11.69,11.29,11.39,1404500,0.0,0
2019-05-14,11.43,11.61,11.41,11.46,1159000,0.0,0
2019-05-15,11.37,11.58,11.26,11.54,532000,0.0,0
2019-05-16,11.57,11.69,11.47,11.49,232800,0.0,0
2019-05-17,11.42,11.49,11.32,11.37,553400,0.0,0
2019-05-20,11.74,11.83,11.59,11.62,1651400,0.0,0
2019-05-21,11.73,11.83,11.71,11.81,545600,0.0,0
2019-05-22,11.76,11.85,11.76,11.8,905100,0.0,0
2019-05-23,11.71,11.84,11.62,11.81,687200,0.0,0
2019-05-24,11.87,11.96,11.79,11.86,675000,0.0,0
2019-05-28,11.87,11.94,11.8,11.8,580400,0.0,0
2019-05-29,11.82,11.84,11.6,11.68,739100,0.0,0
2019-05-30,11.69,11.77,11.52,11.58,801300,0.0,0
2019-05-31,11.48,11.57,11.44,11.46,703800,0.0,0
2019-06-03,11.44,11.6,11.44,11.53,870100,0.0,0
2019-06-04,11.7,11.76,11.59,11.7,712100,0.0,0
2019-06-05,11.69,11.8,11.46,11.78,1344800,0.0,0
2019-06-06,11.77,11.81,11.69,11.74,822200,0.0,0
2019-06-07,11.88,11.93,11.72,11.87,704000,0.0,0
2019-06-10,11.92,11.95,11.84,11.92,621300,0.0,0
2019-06-11,12.0,12.01,11.89,11.93,649400,0.0,0
2019-06-12,11.95,12.0,11.85,11.87,598000,0.0,0
2019-06-13,11.88,11.97,11.84,11.96,533200,0.0,0
2019-06-14,11.92,12.04,11.85,12.01,1291800,0.0,0
2019-06-17,12.05,12.43,12.03,12.41,974900,0.0,0
2019-06-18,12.53,13.11,12.47,12.99,1147200,0.0,0
2019-06-19,13.03,13.55,13.03,13.5,1296000,0.0,0
2019-06-20,13.63,13.75,13.5,13.72,1156600,0.0,0
2019-06-21,13.69,13.84,13.52,13.69,1850200,0.0,0
2019-06-24,13.66,13.67,13.48,13.51,779500,0.0,0
2019-06-25,13.56,13.56,13.41,13.44,527500,0.0,0
2019-06-26,13.45,13.58,13.43,13.48,612300,0.0,0
2019-06-27,13.62,13.69,13.58,13.63,598000,0.0,0
2019-06-28,13.63,13.77,13.56,13.73,1691600,0.0,0
2019-07-01,13.94,13.99,13.62,13.76,904700,0.0,0
2019-07-02,13.74,13.85,13.6,13.68,391300,0.0,0
2019-07-03,13.72,13.73,13.61,13.67,269800,0.0,0
2019-07-05,13.64,13.76,13.56,13.68,526600,0.0,0
2019-07-08,13.61,13.72,13.46,13.49,319200,0.0,0
2019-07-09,13.46,13.55,13.41,13.48,386900,0.0,0
2019-07-10,13.52,13.58,13.44,13.47,643300,0.0,0
2019-07-11,13.49,13.53,13.38,13.42,409800,0.0,0
2019-07-12,13.47,13.53,13.38,13.51,670600,0.0,0
2019-07-15,13.52,13.54,13.41,13.53,466400,0.0,0
2019-07-16,13.56,13.68,13.55,13.65,740300,0.0,0
2019-07-17,13.64,13.75,13.24,13.31,761300,0.0,0
2019-07-18,13.33,13.47,13.28,13.44,794300,0.0,0
2019-07-19,13.32,13.4,13.15,13.29,392400,0.0,0
2019-07-22,13.27,13.39,13.24,13.37,467300,0.0,0
2019-07-23,13.45,13.51,13.34,13.44,914000,0.0,0
2019-07-24,13.4,13.65,13.33,13.61,835500,0.0,0
2019-07-25,13.62,13.62,13.38,13.44,370700,0.0,0
2019-07-26,13.44,13.51,13.39,13.48,415800,0.0,0
2019-07-29,13.44,13.56,13.31,13.43,390200,0.0,0
2019-07-30,13.35,13.47,13.31,13.46,355100,0.0,0
2019-07-31,13.42,13.84,13.18,13.24,695600,0.0,0
2019-08-01,13.2,13.36,13.09,13.12,685400,0.0,0
2019-08-02,13.04,13.1,12.94,13.08,713100,0.0,0
