Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,12.35,12.75,12.33,12.63,4962600,0.0,0
2019-03-22,12.72,12.72,12.32,12.42,3032200,0.0,0
2019-03-25,12.42,12.49,12.3,12.35,7929400,0.0,0
2019-03-26,12.35,12.45,12.16,12.21,2788100,0.0,0
2019-03-27,12.25,12.27,12.03,12.1,4313900,0.0,0
2019-03-28,12.12,12.21,12.01,12.17,1850700,0.0,0
2019-03-29,12.22,12.25,12.14,12.23,2173400,0.0,0
2019-04-01,12.31,12.43,12.26,12.31,3528400,0.0,0
2019-04-02,12.31,12.36,12.2,12.23,3014000,0.0,0
2019-04-03,12.32,12.47,12.23,12.28,2727300,0.0,0
2019-04-04,12.32,12.4,12.28,12.29,2168700,0.0,0
2019-04-05,12.31,12.42,12.27,12.34,1921100,0.0,0
2019-04-08,12.36,12.46,12.28,12.31,1237900,0.0,0
2019-04-09,12.29,12.36,12.25,12.31,1664300,0.0,0
2019-04-10,12.27,12.45,12.27,12.44,1425300,0.0,0
2019-04-11,12.45,12.48,12.33,12.33,1616200,0.0,0
2019-04-12,12.41,12.49,12.37,12.44,1442300,0.0,0
2019-04-15,12.45,12.5,12.28,12.33,1877000,0.0,0
2019-04-16,12.38,12.51,12.32,12.46,2052300,0.0,0
2019-04-17,12.5,12.62,12.36,12.38,2170300,0.0,0
2019-04-18,12.37,12.37,12.12,12.31,4340000,0.0,0
2019-04-22,12.28,12.3,12.19,12.23,1845900,0.0,0
2019-04-23,12.21,12.38,12.21,12.29,3062800,0.0,0
2019-04-24,12.29,12.34,12.26,12.3,2137300,0.0,0
2019-04-25,12.23,12.28,12.03,12.14,2043700,0.0,0
2019-04-26,12.16,12.26,12.1,12.25,3988600,0.0,0
2019-04-29,12.24,12.39,12.16,12.23,2603300,0.0,0
2019-04-30,12.23,12.27,12.07,12.21,3836300,0.0,0
2019-05-01,12.23,12.32,12.14,12.16,2905000,0.0,0
2019-05-02,12.16,12.16,11.96,12.05,1920100,0.0,0
2019-05-03,12.08,12.16,12.08,12.13,1208800,0.0,0
2019-05-06,11.98,12.05,11.77,11.83,2023800,0.0,0
2019-05-07,11.69,11.79,11.3,11.38,3908000,0.0,0
2019-05-08,11.33,11.47,11.23,11.23,3533500,0.0,0
2019-05-09,11.16,11.33,11.03,11.24,4238600,0.0,0
2019-05-10,11.34,11.95,11.34,11.7,4656200,0.0,0
2019-05-13,11.46,11.62,11.18,11.27,3227800,0.0,0
2019-05-14,11.31,11.44,11.26,11.33,2653000,0.0,0
2019-05-15,11.22,11.42,11.12,11.38,2160700,0.0,0
2019-05-16,11.42,11.54,11.33,11.34,1644700,0.0,0
2019-05-17,11.25,11.34,11.16,11.22,1665100,0.0,0
2019-05-20,11.43,11.63,11.37,11.4,3033600,0.0,0
2019-05-21,11.5,11.63,11.45,11.6,1877500,0.0,0
2019-05-22,11.56,11.62,11.49,11.56,1778300,0.0,0
2019-05-23,11.5,11.61,11.4,11.59,4068100,0.0,0
2019-05-24,11.64,11.71,11.53,11.58,1709500,0.0,0
2019-05-28,11.61,11.65,11.45,11.58,2941900,0.0,0
2019-05-29,11.57,11.62,11.35,11.42,2416900,0.0,0
