Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,68.24,69.87,68.24,69.83,1795300,0.0,0
2019-03-22,69.91,70.79,69.87,69.96,1693900,0.0,0
2019-03-25,69.94,70.89,69.56,70.58,1307300,0.0,0
2019-03-26,70.79,71.36,70.67,71.29,1812900,0.0,0
2019-03-27,71.36,71.44,70.44,70.78,1770100,0.0,0
2019-03-28,71.21,71.21,70.59,71.18,2351200,0.0,0
2019-03-29,71.38,71.38,70.37,71.1,2577700,0.226,0
2019-04-01,71.05,71.06,69.62,70.3,2046300,0.0,0
2019-04-02,70.12,70.21,69.31,70.12,1995700,0.0,0
2019-04-03,70.04,70.04,69.35,69.54,1865900,0.0,0
2019-04-04,69.61,69.66,68.96,69.39,1212900,0.0,0
2019-04-05,69.25,69.88,69.22,69.86,1122800,0.0,0
2019-04-08,69.79,70.01,69.32,69.59,1066600,0.0,0
2019-04-09,69.59,69.67,68.7,68.81,1373100,0.0,0
2019-04-10,69.14,69.55,68.95,69.36,1374600,0.0,0
2019-04-11,69.54,69.87,68.86,69.01,1866600,0.0,0
2019-04-12,68.96,68.96,68.36,68.93,1889000,0.0,0
2019-04-15,69.0,69.06,68.56,68.99,1723700,0.0,0
2019-04-16,69.01,69.05,66.71,67.02,1949500,0.0,0
2019-04-17,66.95,66.98,65.5,65.5,2247100,0.0,0
2019-04-18,65.69,66.42,65.69,66.24,1764600,0.0,0
2019-04-22,66.2,66.25,64.97,65.62,1515200,0.0,0
2019-04-23,66.02,66.84,65.77,66.75,1640000,0.0,0
2019-04-24,66.99,67.94,66.81,67.58,1422100,0.0,0
2019-04-25,67.38,68.02,67.02,67.74,904500,0.0,0
2019-04-26,68.04,68.45,67.75,68.22,778900,0.0,0
2019-04-29,68.14,68.28,67.18,67.18,1051400,0.0,0
2019-04-30,67.4,68.17,66.91,67.89,1887400,0.226,0
2019-05-01,67.83,68.71,67.72,67.88,1388000,0.0,0
2019-05-02,68.2,69.67,67.86,68.1,2218600,0.0,0
2019-05-03,68.35,68.57,68.03,68.17,1158500,0.0,0
2019-05-06,68.0,68.56,67.74,67.84,1232700,0.0,0
2019-05-07,65.94,66.11,64.56,64.61,14726300,0.0,0
2019-05-08,64.84,65.75,64.68,64.8,3323800,0.0,0
2019-05-09,64.78,65.49,64.21,65.32,3408000,0.0,0
2019-05-10,65.31,66.2,65.16,66.17,2501800,0.0,0
2019-05-13,65.91,66.65,65.69,66.43,3633900,0.0,0
2019-05-14,66.49,66.99,66.35,66.92,2201500,0.0,0
2019-05-15,66.93,67.39,66.62,67.17,2619100,0.0,0
2019-05-16,67.15,67.63,66.98,67.21,1954100,0.0,0
2019-05-17,67.0,67.21,66.6,67.17,1429300,0.0,0
2019-05-20,67.17,67.44,66.04,66.24,1794000,0.0,0
2019-05-21,66.38,67.13,66.25,66.96,1594900,0.0,0
2019-05-22,67.19,67.62,66.74,67.61,1712200,0.0,0
2019-05-23,67.58,68.46,67.33,68.44,2382100,0.0,0
2019-05-24,68.43,68.85,68.28,68.39,1305600,0.0,0
2019-05-28,68.63,69.06,67.63,67.63,2168500,0.0,0
2019-05-29,67.59,67.67,66.53,66.72,1624400,0.0,0
2019-05-30,66.91,67.78,66.66,67.12,1069200,0.0,0
2019-05-31,67.15,68.53,67.06,68.18,1674400,0.226,0
2019-06-03,68.42,69.5,68.34,69.39,1931600,0.0,0
2019-06-04,69.1,69.1,67.85,68.49,2733100,0.0,0
2019-06-05,68.96,70.53,68.81,70.52,1651500,0.0,0
2019-06-06,70.63,70.85,70.2,70.64,1151700,0.0,0
2019-06-07,71.01,71.49,70.57,70.68,1116500,0.0,0
2019-06-10,70.64,70.69,69.44,69.82,1386400,0.0,0
2019-06-11,69.81,70.45,69.76,70.27,1201900,0.0,0
2019-06-12,70.56,71.23,70.39,71.09,1352900,0.0,0
2019-06-13,71.12,71.31,70.31,70.73,1477500,0.0,0
2019-06-14,70.76,71.67,70.76,71.28,1415100,0.0,0
2019-06-17,71.5,71.97,71.02,71.29,1394900,0.0,0
2019-06-18,71.72,71.9,70.23,70.63,2001100,0.0,0
2019-06-19,70.37,71.49,70.11,71.24,2042600,0.0,0
2019-06-20,71.48,71.76,71.11,71.3,1975700,0.0,0
2019-06-21,71.08,71.11,70.13,70.29,5512000,0.0,0
2019-06-24,70.62,70.88,69.68,69.83,1741300,0.0,0
2019-06-25,69.94,70.22,68.48,68.5,1808400,0.0,0
2019-06-26,68.51,68.51,66.45,66.64,2206600,0.0,0
2019-06-27,67.03,67.61,66.96,67.54,1319800,0.0,0
2019-06-28,67.68,67.92,67.0,67.32,3014100,0.2265,0
2019-07-01,67.48,67.52,66.08,66.4,2140100,0.0,0
2019-07-02,66.72,67.7,66.59,67.45,2198900,0.0,0
2019-07-03,67.66,68.99,67.66,68.97,907600,0.0,0
2019-07-05,68.3,68.58,67.14,68.32,946900,0.0,0
2019-07-08,68.33,68.76,68.05,68.43,1282000,0.0,0
2019-07-09,68.43,69.19,68.18,69.02,2045500,0.0,0
2019-07-10,69.39,69.65,68.79,69.54,1216600,0.0,0
2019-07-11,69.7,69.73,68.49,68.97,1411900,0.0,0
2019-07-12,68.89,69.26,68.52,69.04,1771300,0.0,0
2019-07-15,69.13,69.54,68.55,68.71,1059400,0.0,0
2019-07-16,68.34,68.45,67.56,68.19,1751900,0.0,0
2019-07-17,68.46,68.81,67.81,68.25,1073300,0.0,0
2019-07-18,68.06,68.67,67.6,68.42,1051400,0.0,0
2019-07-19,68.46,68.55,67.06,67.1,1350500,0.0,0
2019-07-22,67.17,67.39,66.54,66.86,1241800,0.0,0
2019-07-23,66.92,67.95,66.7,67.94,1105900,0.0,0
2019-07-24,68.03,68.15,67.49,67.64,1025500,0.0,0
2019-07-25,67.65,67.74,66.67,67.23,1609400,0.0,0
2019-07-26,67.33,67.91,67.11,67.88,1189200,0.0,0
2019-07-29,68.11,68.76,67.9,68.5,2191400,0.0,0
2019-07-30,68.5,69.19,67.81,68.35,1367500,0.0,0
2019-07-31,68.31,68.63,67.56,67.77,2745000,0.2265,0
2019-08-01,67.82,68.51,67.37,68.22,1598500,0.0,0
2019-08-02,68.16,69.09,67.85,68.6,1699000,0.0,0
2019-08-05,68.67,69.22,66.85,67.53,2038300,0.0,0
2019-08-06,66.97,68.81,66.97,68.42,1734800,0.0,0
2019-08-07,68.37,70.44,68.28,69.84,2441900,0.0,0
2019-08-08,69.73,70.69,69.05,70.5,1783600,0.0,0
2019-08-09,70.43,71.24,70.14,71.17,1369200,0.0,0
2019-08-12,71.11,71.6,70.72,71.23,1405400,0.0,0
2019-08-13,71.3,71.52,70.3,70.78,1148500,0.0,0
2019-08-14,70.82,70.96,70.04,70.28,1385500,0.0,0
2019-08-15,70.35,71.06,70.13,70.71,1054600,0.0,0
2019-08-16,70.9,71.52,70.13,71.3,1304900,0.0,0
2019-08-19,71.31,71.96,70.92,71.87,849600,0.0,0
2019-08-20,72.09,72.2,70.98,71.02,926600,0.0,0
2019-08-21,71.25,71.33,70.6,71.14,741200,0.0,0
2019-08-22,71.0,71.75,70.86,71.55,882600,0.0,0
2019-08-23,71.49,72.3,70.77,71.0,1260200,0.0,0
2019-08-26,71.41,71.77,70.98,71.66,1180700,0.0,0
2019-08-27,72.02,72.63,71.61,71.61,2311800,0.0,0
2019-08-28,71.72,72.04,71.51,71.87,1133200,0.0,0
2019-08-29,72.1,72.47,71.73,72.4,941900,0.0,0
2019-08-30,72.56,72.73,72.2,72.5,837200,0.2265,0
2019-09-03,72.44,74.15,72.41,74.12,1674200,0.0,0
2019-09-04,74.5,75.37,74.35,75.13,2062200,0.0,0
2019-09-05,74.46,74.6,73.55,73.67,2273400,0.0,0
2019-09-06,73.83,74.79,73.75,74.6,1677100,0.0,0
2019-09-09,74.38,74.55,73.76,73.91,1394300,0.0,0
2019-09-10,73.44,73.71,71.81,72.39,2054100,0.0,0
2019-09-11,72.15,72.83,71.66,72.31,2167100,0.0,0
2019-09-12,73.04,73.59,72.59,73.17,1588700,0.0,0
2019-09-13,72.67,73.42,71.11,71.34,1915000,0.0,0
2019-09-16,71.45,72.69,71.45,72.66,1336400,0.0,0
2019-09-17,73.08,74.45,73.06,74.43,1813600,0.0,0
2019-09-18,74.72,74.82,73.45,74.03,1308900,0.0,0
2019-09-19,74.26,74.67,74.11,74.28,1300400,0.0,0
2019-09-20,74.5,74.89,74.07,74.54,3401000,0.0,0
2019-09-23,74.55,75.16,74.55,74.69,1292500,0.0,0
2019-09-24,74.83,75.12,74.03,74.75,2320800,0.0,0
2019-09-25,74.77,75.33,74.38,74.78,1647300,0.0,0
2019-09-26,75.04,76.1,74.9,75.91,1208100,0.0,0
2019-09-27,75.93,76.13,75.14,75.76,1153500,0.0,0
2019-09-30,75.62,76.02,75.33,75.54,1450500,0.227,0
2019-10-01,75.49,75.9,74.57,75.7,1219700,0.0,0
2019-10-02,75.62,76.0,75.07,75.59,1096300,0.0,0
2019-10-03,75.54,76.85,75.44,76.66,1929200,0.0,0
2019-10-04,76.68,77.3,76.52,77.25,1450600,0.0,0
2019-10-07,76.82,77.15,76.54,76.66,1201800,0.0,0
2019-10-08,76.97,77.27,76.25,76.76,1136200,0.0,0
2019-10-09,77.19,77.54,76.77,77.13,1057200,0.0,0
2019-10-10,77.42,77.8,76.91,77.56,1637900,0.0,0
2019-10-11,77.36,77.41,76.68,76.73,1288900,0.0,0
2019-10-14,76.84,76.92,76.45,76.81,1312900,0.0,0
2019-10-15,76.89,76.99,76.12,76.92,1167200,0.0,0
2019-10-16,76.84,77.46,76.35,77.43,1060600,0.0,0
