Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,51.72,53.12,51.45,53.11,16686300,0.0,0
2019-03-22,52.7,52.95,51.83,51.86,16201500,0.0,0
2019-03-25,51.65,52.03,51.33,51.83,11755900,0.0,0
2019-03-26,52.37,52.62,52.14,52.36,11657600,0.0,0
2019-03-27,52.36,52.72,51.41,51.9,12636000,0.0,0
2019-03-28,52.09,52.38,51.88,52.27,9103100,0.0,0
2019-03-29,52.55,52.81,52.33,52.78,11485700,0.0,0
2019-04-01,52.95,53.71,52.92,53.64,15191700,0.0,0
2019-04-02,53.47,53.56,52.95,53.22,10812100,0.0,0
2019-04-03,53.23,53.45,52.93,53.13,12853400,0.0,0
2019-04-04,52.93,53.22,52.49,52.89,9978800,0.0,0
2019-04-05,52.81,53.26,52.81,53.0,10016300,0.0,0
2019-04-08,52.8,53.0,52.41,52.79,10126700,0.0,0
2019-04-09,52.58,53.17,52.55,52.9,9789000,0.0,0
2019-04-10,52.93,53.46,52.91,53.28,8477300,0.24,0
2019-04-11,53.36,53.49,52.83,53.1,8147600,0.0,0
2019-04-12,53.4,53.8,53.18,53.8,9014000,0.0,0
2019-04-15,53.8,54.05,53.61,53.93,7694900,0.0,0
2019-04-16,53.97,54.2,53.63,53.89,7265200,0.0,0
2019-04-17,53.98,54.13,53.69,53.78,7792200,0.0,0
2019-04-18,53.74,53.97,53.53,53.82,8233000,0.0,0
2019-04-22,53.7,53.98,53.5,53.92,6088100,0.0,0
2019-04-23,54.05,54.43,54.02,54.23,10923400,0.0,0
2019-04-24,54.29,54.82,54.25,54.47,8769800,0.0,0
2019-04-25,54.44,54.51,53.88,54.3,8226100,0.0,0
2019-04-26,54.51,54.78,54.3,54.7,7101600,0.0,0
2019-04-29,54.58,54.78,54.37,54.37,6443000,0.0,0
2019-04-30,54.35,54.67,54.14,54.62,10562300,0.0,0
2019-05-01,54.61,54.71,54.1,54.17,7792700,0.0,0
2019-05-02,54.11,54.34,53.76,53.9,9652200,0.0,0
2019-05-03,54.1,54.31,53.97,54.09,11066500,0.0,0
2019-05-06,53.21,54.29,53.14,54.15,9305400,0.0,0
2019-05-07,53.5,53.94,52.96,53.31,11712400,0.0,0
2019-05-08,53.65,53.73,53.12,53.3,10729800,0.0,0
2019-05-09,52.77,53.65,52.4,53.55,10711800,0.0,0
2019-05-10,53.08,54.26,52.82,53.95,11200300,0.0,0
2019-05-13,53.03,53.26,52.7,52.74,10664700,0.0,0
2019-05-14,52.95,53.92,52.67,53.43,11520800,0.0,0
2019-05-15,53.22,54.11,53.15,53.86,8573000,0.0,0
2019-05-16,54.2,54.44,53.85,53.94,10013800,0.0,0
2019-05-17,53.49,54.21,53.49,53.8,9057100,0.0,0
2019-05-20,53.26,53.66,52.84,52.97,9820200,0.0,0
2019-05-21,53.51,53.57,53.34,53.47,8482000,0.0,0
2019-05-22,53.53,53.85,53.35,53.5,8389700,0.0,0
2019-05-23,53.03,53.03,51.84,52.4,11213900,0.0,0
2019-05-24,52.69,52.78,51.91,52.09,9090700,0.0,0
2019-05-28,52.4,52.6,51.09,51.09,28230400,0.0,0
2019-05-29,50.77,51.14,50.39,51.03,12448700,0.0,0
2019-05-30,51.26,51.36,50.8,51.06,8569500,0.0,0
2019-05-31,50.58,50.7,49.86,49.95,11847100,0.0,0
2019-06-03,49.91,50.42,49.25,49.59,17434400,0.0,0
2019-06-04,50.14,51.57,49.98,51.35,17073200,0.0,0
2019-06-05,52.1,52.56,51.18,51.43,15855300,0.0,0
2019-06-06,51.42,52.06,51.19,51.91,10266900,0.0,0
2019-06-07,52.12,52.73,52.1,52.58,11591800,0.0,0
2019-06-10,52.99,53.71,52.88,53.32,12984600,0.0,0
2019-06-11,53.8,53.91,53.15,53.25,11288400,0.0,0
2019-06-12,52.99,53.36,52.74,52.93,10235400,0.0,0
2019-06-13,53.29,53.29,52.75,53.15,11289100,0.0,0
2019-06-14,52.92,53.14,52.6,52.6,12973000,0.0,0
2019-06-17,52.65,52.86,52.27,52.45,15207900,0.0,0
2019-06-18,52.18,52.91,51.74,52.22,20999700,0.0,0
2019-06-19,52.07,52.45,51.58,52.0,35449500,0.0,0
2019-06-20,55.26,56.73,54.82,56.26,54173900,0.0,0
2019-06-21,56.41,56.42,55.34,55.4,45169000,0.0,0
2019-06-24,55.53,56.56,55.18,56.01,19544200,0.0,0
2019-06-25,56.14,56.45,55.34,55.35,25462100,0.0,0
2019-06-26,55.7,56.12,55.52,55.93,15045200,0.0,0
2019-06-27,56.27,56.65,56.03,56.04,12605800,0.0,0
2019-06-28,56.17,56.35,55.64,56.24,42570500,0.0,0
2019-07-01,56.42,57.34,56.3,57.26,20438300,0.0,0
2019-07-02,57.14,57.81,57.03,57.71,17569600,0.0,0
2019-07-03,57.7,58.19,57.63,58.1,9989100,0.0,0
2019-07-05,57.78,58.76,57.59,58.52,13838900,0.0,0
2019-07-08,58.43,58.9,58.25,58.77,16105600,0.0,0
2019-07-09,58.44,58.86,58.25,58.83,14348600,0.0,0
2019-07-10,59.17,59.72,58.98,59.38,16059100,0.0,0
2019-07-11,59.41,59.44,58.64,59.22,11150200,0.0,0
2019-07-12,59.32,59.32,58.54,59.04,11234300,0.0,0
2019-07-15,59.08,59.08,58.49,58.77,10721600,0.0,0
2019-07-16,58.65,58.95,58.07,58.09,9698900,0.24,0
2019-07-17,58.28,58.43,57.48,57.48,9090900,0.0,0
2019-07-18,57.18,57.63,57.09,57.61,11883400,0.0,0
2019-07-19,57.79,58.01,57.01,57.03,11663500,0.0,0
2019-07-22,57.37,57.57,57.04,57.09,8761700,0.0,0
2019-07-23,57.55,57.63,56.94,56.94,8141100,0.0,0
2019-07-24,56.94,57.7,56.87,57.6,10778700,0.0,0
2019-07-25,57.85,58.11,57.57,57.77,8175900,0.0,0
2019-07-26,57.82,58.13,57.68,57.98,6057200,0.0,0
2019-07-29,58.27,58.27,57.29,57.55,7439300,0.0,0
2019-07-30,57.25,57.64,56.92,56.98,6367200,0.0,0
2019-07-31,57.37,57.37,55.13,55.8,11966700,0.0,0
2019-08-01,55.8,56.35,55.03,55.39,10215200,0.0,0
2019-08-02,55.69,55.69,54.51,55.35,12644400,0.0,0
2019-08-05,54.61,54.61,53.21,53.28,16204600,0.0,0
2019-08-06,53.72,53.97,53.14,53.48,13149500,0.0,0
2019-08-07,52.66,53.59,52.5,52.87,16344100,0.0,0
2019-08-08,53.24,54.27,53.24,54.17,12460700,0.0,0
2019-08-09,53.76,53.99,53.05,53.42,8471300,0.0,0
2019-08-12,53.2,53.31,52.53,52.78,6171000,0.0,0
2019-08-13,52.67,53.76,52.53,53.49,11014800,0.0,0
2019-08-14,52.88,52.9,51.78,51.86,12489200,0.0,0
2019-08-15,52.18,52.25,51.5,52.12,11257000,0.0,0
2019-08-16,52.71,53.22,52.54,53.12,9913100,0.0,0
2019-08-19,53.74,53.89,53.28,53.39,8273100,0.0,0
2019-08-20,53.05,53.36,52.43,52.51,7577800,0.0,0
2019-08-21,53.06,53.45,52.7,52.77,6113100,0.0,0
2019-08-22,53.11,53.24,52.42,52.72,6744900,0.0,0
2019-08-23,52.59,52.85,50.8,51.12,11374500,0.0,0
2019-08-26,51.68,51.86,51.37,51.67,8582300,0.0,0
2019-08-27,51.98,52.15,51.76,51.93,13853100,0.0,0
2019-08-28,51.74,51.74,51.16,51.49,7499000,0.0,0
2019-08-29,52.18,52.34,51.63,51.7,6858000,0.0,0
2019-08-30,52.04,52.08,51.29,51.6,7920000,0.0,0
2019-09-03,51.48,51.54,51.09,51.43,10128000,0.0,0
2019-09-04,51.89,52.66,51.76,52.5,10558300,0.0,0
2019-09-05,53.25,53.85,53.16,53.36,10414500,0.0,0
2019-09-06,53.62,53.66,52.67,52.69,11636100,0.0,0
2019-09-09,53.15,54.2,52.98,54.06,17803800,0.0,0
2019-09-10,54.06,54.98,53.66,54.98,19976400,0.0,0
2019-09-11,54.78,55.79,54.67,55.79,16749400,0.0,0
2019-09-12,53.86,54.39,52.43,53.41,28184400,0.0,0
