Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,181.35,190.63,181.29,190.05,906600,0,0
2019-03-22,189.47,190.63,180.61,181.16,748900,0,0
2019-03-25,179.49,184.24,174.02,183.81,610300,0,0
2019-03-26,186.87,188.9,184.45,185.71,477400,0,0
2019-03-27,185.96,186.99,178.0,182.97,520300,0,0
2019-03-28,183.54,188.0,182.8,186.69,506600,0,0
2019-03-29,188.5,190.0,186.04,189.13,819200,0,0
2019-04-01,191.08,193.75,186.85,190.28,591700,0,0
2019-04-02,190.29,191.45,187.64,190.72,403000,0,0
2019-04-03,191.99,192.89,188.51,190.31,551100,0,0
2019-04-04,190.18,191.58,180.32,183.69,979000,0,0
2019-04-05,184.99,185.78,183.34,183.48,531200,0,0
2019-04-08,183.49,184.28,179.57,184.25,620500,0,0
2019-04-09,183.0,185.32,183.0,184.34,462300,0,0
2019-04-10,185.16,188.6,185.16,187.59,346100,0,0
2019-04-11,188.07,189.0,186.61,188.58,263900,0,0
2019-04-12,190.33,190.35,186.91,188.76,313400,0,0
2019-04-15,188.53,192.0,188.1,190.16,359400,0,0
2019-04-16,190.89,192.76,187.51,188.89,374400,0,0
2019-04-17,190.41,191.6,185.44,186.94,498500,0,0
2019-04-18,187.01,190.13,182.62,188.95,797300,0,0
2019-04-22,188.13,191.65,188.09,190.19,374700,0,0
2019-04-23,191.4,195.82,191.4,194.62,712300,0,0
2019-04-24,194.87,196.41,191.7,192.6,1039000,0,0
2019-04-25,194.64,197.33,191.59,196.54,513500,0,0
2019-04-26,196.56,200.78,196.04,200.07,682100,0,0
2019-04-29,201.08,202.6,196.09,198.04,760700,0,0
2019-04-30,197.0,203.04,196.45,202.53,993500,0,0
2019-05-01,203.2,203.2,194.0,201.46,1263800,0,0
2019-05-02,201.65,206.89,199.59,201.47,931700,0,0
2019-05-03,202.03,207.15,201.35,206.89,891800,0,0
2019-05-06,204.03,208.21,202.51,207.46,884200,0,0
2019-05-07,205.97,208.02,200.71,201.9,821500,0,0
2019-05-08,201.54,206.2,200.7,204.75,562300,0,0
2019-05-09,202.87,209.92,201.32,207.89,747900,0,0
2019-05-10,206.87,210.55,202.8,208.39,692200,0,0
2019-05-13,203.26,204.5,196.98,197.25,943500,0,0
2019-05-14,199.7,204.17,197.41,203.28,718000,0,0
2019-05-15,201.84,205.67,200.33,204.39,669000,0,0
2019-05-16,205.45,214.93,205.07,212.05,923600,0,0
2019-05-17,210.37,215.38,209.65,210.75,619100,0,0
2019-05-20,208.5,209.89,203.78,207.29,716300,0,0
2019-05-21,209.81,214.35,209.12,213.55,730100,0,0
2019-05-22,212.82,215.65,212.8,213.07,435600,0,0
2019-05-23,210.2,210.21,203.28,206.77,616400,0,0
2019-05-24,207.46,210.91,207.07,208.23,511600,0,0
2019-05-28,208.1,212.7,206.39,208.19,2821600,0,0
2019-05-29,207.0,208.36,203.18,206.05,655600,0,0
2019-05-30,207.11,209.34,205.86,209.14,525800,0,0
2019-05-31,206.64,212.58,206.22,212.1,1200100,0,0
2019-06-03,211.3,213.61,194.84,197.34,1290800,0,0
