Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,15.78,16.0,15.7,15.8,5822600,0.0,0
2019-03-22,15.7,15.72,15.12,15.22,4556800,0.0,0
2019-03-25,15.23,15.36,15.07,15.18,3067900,0.0,0
2019-03-26,15.25,15.63,15.25,15.61,3335000,0.0,0
2019-03-27,15.58,15.74,15.49,15.68,2917800,0.0,0
2019-03-28,15.65,15.9,15.65,15.88,3022700,0.0,0
2019-03-29,15.98,16.06,15.68,15.75,7712300,0.0,0
2019-04-01,15.81,16.05,15.78,16.02,3657800,0.0,0
2019-04-02,16.03,16.14,15.93,16.0,3405800,0.0,0
2019-04-03,16.13,16.22,15.91,15.99,4009100,0.0,0
2019-04-04,15.97,16.19,15.92,16.13,2720300,0.0,0
2019-04-05,16.14,16.32,16.04,16.21,3943600,0.0,0
2019-04-08,16.2,16.28,16.13,16.18,3275700,0.0,0
2019-04-09,16.13,16.22,15.96,15.99,2948800,0.0,0
2019-04-10,16.01,16.11,15.88,16.11,2364200,0.0,0
2019-04-11,16.18,16.29,16.07,16.19,2083800,0.0,0
2019-04-12,16.29,16.53,16.17,16.48,3269300,0.0,0
2019-04-15,16.52,16.53,16.18,16.26,2118300,0.0,0
2019-04-16,16.3,16.65,16.27,16.63,2760000,0.0,0
2019-04-17,16.73,16.73,16.36,16.6,2622300,0.0,0
2019-04-18,16.6,16.6,16.32,16.41,3501000,0.0,0
2019-04-22,16.36,16.37,15.83,15.94,4121400,0.0,0
2019-04-23,15.97,16.47,15.97,16.46,4439700,0.0,0
2019-04-24,16.46,16.55,16.3,16.51,2402400,0.0,0
2019-04-25,16.46,16.58,16.33,16.4,2307700,0.0,0
2019-04-26,16.43,16.59,16.34,16.54,2704300,0.0,0
2019-04-29,16.56,16.86,16.56,16.82,2873000,0.0,0
2019-04-30,16.71,16.91,16.68,16.74,3719900,0.178,0
2019-05-01,16.77,16.87,16.52,16.61,2819300,0.0,0
2019-05-02,16.69,16.88,16.64,16.85,2093800,0.0,0
2019-05-03,16.93,17.06,16.84,17.04,2259300,0.0,0
2019-05-06,16.78,17.09,16.75,17.04,1949600,0.0,0
2019-05-07,16.91,16.92,16.63,16.65,3946900,0.0,0
2019-05-08,16.57,16.65,16.47,16.48,3916600,0.0,0
2019-05-09,16.39,16.56,16.25,16.48,2634100,0.0,0
2019-05-10,16.47,16.63,16.3,16.61,2364300,0.0,0
2019-05-13,16.37,16.44,15.88,15.91,3434700,0.0,0
2019-05-14,15.97,16.14,15.89,16.04,2660400,0.0,0
2019-05-15,15.9,15.91,15.61,15.65,4955300,0.0,0
2019-05-16,15.77,15.9,15.66,15.75,4006000,0.0,0
2019-05-17,15.62,15.87,15.56,15.67,2879500,0.0,0
2019-05-20,15.62,15.84,15.62,15.73,2193000,0.0,0
2019-05-21,15.86,15.91,15.78,15.86,2666900,0.0,0
2019-05-22,15.81,15.86,15.66,15.69,1662500,0.0,0
2019-05-23,15.59,15.67,15.29,15.38,2205900,0.0,0
2019-05-24,15.49,15.57,15.44,15.54,2295300,0.0,0
2019-05-28,15.52,15.55,15.27,15.27,2859600,0.0,0
2019-05-29,15.24,15.38,15.07,15.33,4460300,0.0,0
2019-05-30,15.34,15.45,14.96,15.06,3535000,0.0,0
2019-05-31,14.94,14.98,14.75,14.88,3741900,0.0,0
2019-06-03,14.89,15.22,14.89,15.11,3313500,0.0,0
2019-06-04,15.27,15.57,15.24,15.56,2527300,0.0,0
2019-06-05,15.56,15.66,15.37,15.61,2026500,0.0,0
2019-06-06,15.51,15.65,15.36,15.55,1639500,0.0,0
2019-06-07,15.53,15.54,15.4,15.47,1694800,0.0,0
2019-06-10,15.6,15.71,15.47,15.55,3590900,0.0,0
2019-06-11,15.67,15.85,15.59,15.7,2499100,0.0,0
2019-06-12,15.77,15.86,15.56,15.65,2303900,0.0,0
2019-06-13,15.72,15.79,15.62,15.72,1840800,0.0,0
2019-06-14,15.73,15.85,15.59,15.82,1950900,0.0,0
2019-06-17,15.86,15.92,15.67,15.7,2444400,0.0,0
2019-06-18,15.72,16.03,15.69,16.01,2231300,0.0,0
2019-06-19,16.1,16.18,15.8,15.86,4034800,0.0,0
2019-06-20,15.94,15.99,15.6,15.86,2537900,0.0,0
2019-06-21,15.85,15.97,15.78,15.91,6892600,0.0,0
2019-06-24,15.92,16.01,15.78,15.79,2061700,0.0,0
2019-06-25,15.84,15.89,15.64,15.84,1897100,0.0,0
2019-06-26,15.89,16.01,15.86,15.89,2815200,0.0,0
2019-06-27,15.97,16.13,15.97,16.07,2299300,0.0,0
2019-06-28,16.2,16.37,16.11,16.24,4240300,0.0,0
2019-07-01,16.42,16.47,16.05,16.29,4362000,0.0,0
2019-07-02,16.25,16.32,15.97,16.09,2122200,0.0,0
2019-07-03,16.06,16.32,16.06,16.32,1535600,0.0,0
2019-07-05,16.41,16.55,16.37,16.46,2021400,0.0,0
2019-07-08,16.35,16.46,16.23,16.29,1959900,0.0,0
2019-07-09,16.2,16.32,16.11,16.26,2289900,0.0,0
2019-07-10,16.27,16.33,16.01,16.08,2594400,0.0,0
2019-07-11,16.12,16.25,15.97,16.19,2320100,0.0,0
2019-07-12,16.26,16.33,16.15,16.31,3273300,0.0,0
2019-07-15,16.32,16.32,16.02,16.08,2631600,0.0,0
2019-07-16,15.86,15.95,15.73,15.85,13924200,0.0,0
2019-07-17,15.79,15.81,15.53,15.75,6259100,0.0,0
2019-07-18,15.78,16.0,15.6,15.94,4018300,0.0,0
2019-07-19,15.89,16.03,15.63,15.81,5242900,0.0,0
2019-07-22,15.78,15.79,15.59,15.72,4015500,0.0,0
2019-07-23,15.72,15.82,15.65,15.81,2641300,0.0,0
2019-07-24,15.77,16.16,15.76,16.12,3704500,0.0,0
2019-07-25,16.17,16.28,15.96,16.01,4378800,0.0,0
2019-07-26,16.04,16.23,15.94,16.23,3389200,0.0,0
2019-07-29,16.18,16.3,15.99,16.01,2787000,0.0,0
2019-07-30,15.91,16.12,15.88,16.11,2864500,0.0,0
2019-07-31,16.11,16.19,15.97,16.07,6870000,0.178,0
2019-08-01,16.0,16.05,15.17,15.22,5411200,0.0,0
2019-08-02,15.22,15.27,14.96,15.07,4527100,0.0,0
2019-08-05,14.85,14.89,14.6,14.74,6222800,0.0,0
2019-08-06,14.8,14.88,14.46,14.84,5198000,0.0,0
2019-08-07,14.57,14.79,14.42,14.69,4093700,0.0,0
2019-08-08,14.77,15.01,14.71,14.98,3710400,0.0,0
2019-08-09,14.89,14.99,14.75,14.92,3321700,0.0,0
2019-08-12,14.71,14.76,14.36,14.39,6103600,0.0,0
2019-08-13,14.4,14.87,14.28,14.52,4113400,0.0,0
2019-08-14,14.16,14.32,13.92,14.09,5791900,0.0,0
