Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,64.3,65.25,64.3,65.12,1206400,0.0,0
2019-03-22,64.74,65.02,63.84,64.01,2087900,0.0,0
2019-03-25,64.4,64.77,64.08,64.37,1171300,0.0,0
2019-03-26,64.67,65.08,64.14,64.38,1230700,0.0,0
2019-03-27,64.44,65.0,64.34,64.77,1021000,0.0,0
2019-03-28,64.87,65.76,64.66,65.2,1159200,0.0,0
2019-03-29,65.69,65.85,64.97,65.07,2320000,0.0,0
2019-04-01,65.71,66.12,65.26,65.94,2669500,0.0,0
2019-04-02,65.99,65.99,65.13,65.34,4759500,0.0,0
2019-04-03,65.58,65.85,64.97,65.25,2630600,0.0,0
2019-04-04,65.18,66.29,64.95,65.91,3534800,0.0,0
2019-04-05,66.2,66.3,65.73,65.91,1221400,0.0,0
2019-04-08,65.74,65.98,65.41,65.84,1076800,0.0,0
2019-04-09,65.44,65.67,64.89,65.32,1341200,0.0,0
2019-04-10,65.48,65.81,65.1,65.68,1103000,0.0,0
2019-04-11,65.86,66.63,65.53,66.57,1395800,0.0,0
2019-04-12,66.85,67.55,66.66,67.33,1328500,0.0,0
2019-04-15,67.41,67.66,67.04,67.19,1141400,0.0,0
2019-04-16,67.34,68.33,66.76,68.21,1641400,0.0,0
2019-04-17,68.43,68.96,67.88,67.92,1205000,0.0,0
2019-04-18,68.5,68.71,68.01,68.22,2353100,0.0,0
2019-04-22,67.88,68.11,66.92,67.93,936300,0.0,0
2019-04-23,67.81,68.4,67.33,67.98,1346200,0.0,0
2019-04-24,67.88,68.48,67.52,68.26,1359900,0.0,0
2019-04-25,67.61,67.61,66.81,67.0,1314100,0.0,0
2019-04-26,67.26,67.83,66.96,67.77,2054400,0.0,0
2019-04-29,67.8,68.17,67.54,68.11,1836800,0.0,0
2019-04-30,68.76,69.71,66.7,68.44,3733000,0.0,0
2019-05-01,68.57,69.03,67.64,67.66,2233000,0.0,0
2019-05-02,67.69,67.89,66.81,67.03,2147200,0.0,0
2019-05-03,67.49,68.28,67.24,68.17,1733300,0.0,0
2019-05-06,66.85,67.32,65.83,66.3,2249100,0.0,0
2019-05-07,65.57,66.02,65.01,65.75,2225400,0.0,0
2019-05-08,65.72,66.26,65.33,65.74,1515700,0.0,0
2019-05-09,65.24,66.07,64.45,65.9,1791800,0.0,0
2019-05-10,65.66,66.55,64.7,66.38,1799000,0.0,0
